yearType,year,serial,fuel,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2012,1,CNG ONLY,2889,2281,2355,2027,1945,1917,1971,2106,2232,2845,2116,1925,26609
calendar,2012,2,DIESEL,273982,265789,324615,244692,259628,267140,280031,253360,238250,258758,288590,262691,3217526
calendar,2012,3,DIESEL/HYBRID,5,2,3,0,4,4,5,4,5,4,4,6,46
calendar,2012,4,DUAL DIESEL/CNG,0,1,0,1,1,0,0,0,0,1,1,0,5
calendar,2012,5,ELECTRIC(BOV),671,727,766,445,436,500,446,379,261,249,363,293,5536
calendar,2012,6,ETHANOL(E100),2,0,0,0,0,0,1,0,1,1,1,0,6
calendar,2012,7,FLEX-FUEL(BIO-DIESEL),0,0,2,0,1,0,0,0,0,0,0,0,3
calendar,2012,8,FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,1,0,1
calendar,2012,9,HCNG,0,0,0,0,0,0,0,0,0,1,0,0,1
calendar,2012,10,LNG,0,0,0,0,1,0,0,0,0,0,0,0,1
calendar,2012,11,LPG ONLY,152,250,162,143,115,81,82,87,67,64,221,181,1605
calendar,2012,12,NOT APPLICABLE,8672,9233,10688,7279,7978,9275,8337,8196,7066,6425,6693,7619,97461
calendar,2012,13,PETROL,1204355,1215182,1328566,1149744,1229608,1175795,1152290,1120170,992013,1072251,1440371,1234155,14314500
calendar,2012,14,PETROL/CNG,24891,20862,22273,17798,16816,16362,16262,15609,15076,18736,27354,22209,234248
calendar,2012,15,PETROL(E20),4,2,6,4,3,6,4,2,4,5,4,4,48
calendar,2012,16,PETROL(E20)/CNG,0,0,0,0,0,1,1,0,0,0,0,0,2
calendar,2012,17,PETROL(E20)/LPG,1,0,0,1,0,0,0,0,0,0,0,0,2
calendar,2012,18,PETROL/HYBRID,1,0,1,1,1,0,4,0,1,0,1,1,11
calendar,2012,19,PETROL/LPG,12583,11532,13402,10093,9323,9291,9315,9323,8761,8283,8899,7106,117911
calendar,2012,20,PURE EV,0,0,1,0,1,1,1,1,1,1,1,1,9
calendar,2012,21,SOLAR,19,6,18,18,11,13,12,20,7,13,25,8,170
