yearType,year,serial,vehicle_class,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2021,1,ADAPTED VEHICLE,1051,987,1176,750,172,518,1997,1081,1240,1511,1120,887,12490
calendar,2021,2,AGRICULTURAL TRACTOR,67816,66411,75096,39029,16576,58237,92317,77804,58698,47898,51193,70347,721422
calendar,2021,3,AMBULANCE,632,879,681,893,993,1530,1911,1760,1845,1643,1103,1125,14995
calendar,2021,4,ANIMAL AMBULANCE,3,3,10,2,4,4,8,4,3,9,5,5,60
calendar,2021,5,ARMOURED/SPECIALISED VEHICLE,1,0,0,1,0,0,0,40,15,6,30,0,93
calendar,2021,6,ARTICULATED VEHICLE,671,811,981,1009,314,556,772,790,1006,1013,867,1050,9840
calendar,2021,7,AUXILIARY TRAILER,4,0,0,0,0,0,4,1,0,0,0,0,9
calendar,2021,8,BREAKDOWN VAN,0,1,2,4,4,2,1,1,3,1,0,0,19
calendar,2021,9,BUS,785,925,1167,1050,477,859,946,832,867,964,745,1451,11068
calendar,2021,10,CAMPER VAN / TRAILER,16,16,46,20,16,25,30,49,33,28,26,30,335
calendar,2021,11,CAMPER VAN / TRAILER (PRIVATE USE),15,15,31,32,6,14,20,54,57,34,48,30,356
calendar,2021,12,CASH VAN,22,31,75,54,29,91,17,72,215,95,59,229,989
calendar,2021,13,CONSTRUCTION EQUIPMENT VEHICLE,3352,3768,5078,2630,827,1619,2468,2334,3091,2399,2123,1973,31662
calendar,2021,14,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),278,351,464,185,72,225,225,289,492,296,388,617,3882
calendar,2021,15,CRANE MOUNTED VEHICLE,578,586,848,454,187,490,533,507,580,444,471,536,6214
calendar,2021,16,DUMPER,1001,921,1127,714,225,529,492,497,676,734,689,766,8371
calendar,2021,17,EARTH MOVING EQUIPMENT,963,1123,1705,920,183,457,619,554,933,577,596,570,9200
calendar,2021,18,EDUCATIONAL INSTITUTION BUS,107,112,153,119,30,122,97,112,145,219,282,454,1952
calendar,2021,19,E-RICKSHAW(P),10050,10062,11816,6931,1786,5434,10176,11546,14813,16408,16566,21437,137025
calendar,2021,20,E-RICKSHAW WITH CART (G),702,2225,2744,774,125,763,1221,1005,1256,1253,1101,1491,14660
calendar,2021,21,EXCAVATOR (COMMERCIAL),489,449,644,297,87,218,216,158,191,131,109,93,3082
calendar,2021,22,EXCAVATOR (NT),940,976,1196,372,122,383,394,395,638,570,584,562,7132
calendar,2021,23,FIRE FIGHTING VEHICLE,7,6,20,43,12,21,18,12,15,10,7,13,184
calendar,2021,24,FIRE TENDERS,4,2,6,12,9,4,23,7,10,11,11,10,109
calendar,2021,25,FORK LIFT,111,142,155,109,69,147,130,111,173,157,136,123,1563
calendar,2021,26,GOODS CARRIER,55683,57849,65461,49571,16276,34754,50615,51938,56015,55806,57136,56588,607692
calendar,2021,27,HARVESTER,1552,1835,2308,938,310,1248,1331,1281,1450,1209,684,900,15046
calendar,2021,28,HEARSES,6,6,15,8,6,13,17,17,28,8,13,14,151
calendar,2021,29,LIBRARY VAN,0,1,0,1,0,0,0,0,0,0,0,1,3
calendar,2021,30,LUXURY CAB,119,131,151,81,28,35,68,56,49,34,144,171,1067
calendar,2021,31,MAXI CAB,585,616,688,430,147,407,501,491,560,510,539,554,6028
calendar,2021,32,M-CYCLE/SCOOTER,1372384,1253717,1359527,969825,455211,1080585,1297090,1109688,1039688,1135889,1601772,1308936,13984312
calendar,2021,33,M-CYCLE/SCOOTER-WITH SIDE CAR,1022,1008,1087,822,471,872,1016,939,802,988,1950,912,11889
calendar,2021,34,MOBILE CANTEEN,8431,635,18,5,7,3,3,2,4,1,1,8,9118
calendar,2021,35,MOBILE CLINIC,5,6,9,6,17,1,3,11,16,11,14,12,111
calendar,2021,36,MOBILE WORKSHOP,2,4,27,6,0,24,3,2,4,3,2,4,81
calendar,2021,37,MODULAR HYDRAULIC TRAILER,0,0,0,0,0,0,0,0,1,0,0,0,1
calendar,2021,38,MOPED,32518,31272,31448,22675,9308,22089,34063,29978,28873,29710,35965,31503,339402
calendar,2021,39,MOTOR CAB,4321,4620,5794,3789,1268,2866,4821,4343,4372,3661,4392,5251,49498
calendar,2021,40,MOTOR CAR,320727,284765,316018,231224,94308,212711,293039,283690,263099,253395,269824,271028,3093828
calendar,2021,41,MOTOR CYCLE/SCOOTER-SIDECAR(T),8,8,16,21,5,3,1,6,5,7,11,7,98
calendar,2021,42,MOTOR CYCLE/SCOOTER-USED FOR HIRE,884,776,1184,490,16,121,282,351,688,922,785,1716,8215
calendar,2021,43,MOTOR CYCLE/SCOOTER-WITH TRAILER,0,0,0,0,0,0,0,0,0,0,0,6,6
calendar,2021,44,MOTORISED CYCLE (CC > 25CC),16340,17272,20310,11616,6341,12352,15978,14303,13403,14377,21174,15126,178592
calendar,2021,45,OMNI BUS,44,65,61,46,15,65,73,54,48,78,38,61,648
calendar,2021,46,OMNI BUS (PRIVATE USE),589,652,765,526,220,410,558,831,535,492,641,540,6759
calendar,2021,47,POWER TILLER,4,6,4,0,0,0,2,1,5,0,0,1,23
calendar,2021,48,PRIVATE SERVICE VEHICLE,123,151,189,112,70,86,139,151,216,153,148,170,1708
calendar,2021,49,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),71,77,107,91,46,57,116,141,143,87,88,75,1099
calendar,2021,50,QUADRICYCLE (COMMERCIAL),0,0,0,0,0,0,0,0,0,0,0,6,6
calendar,2021,51,QUADRICYCLE (PRIVATE),0,0,0,0,0,0,0,0,0,2,0,0,2
calendar,2021,52,RECOVERY VEHICLE,10,7,10,12,2,5,10,9,11,9,5,8,98
calendar,2021,53,ROAD ROLLER,28,40,48,16,4,18,18,21,47,47,33,26,346
calendar,2021,54,SEMI-TRAILER (COMMERCIAL),2,0,0,0,0,0,0,0,1,0,0,0,3
calendar,2021,55,SNORKED LADDERS,1,0,0,1,0,0,0,0,0,0,0,1,3
calendar,2021,56,THREE WHEELER (GOODS),8275,8165,9696,6137,1630,5037,8052,7795,8136,8355,8397,8060,87735
calendar,2021,57,THREE WHEELER (PASSENGER),17492,18120,19912,11545,2583,6142,12581,14372,17251,18779,19655,18163,176595
calendar,2021,58,THREE WHEELER (PERSONAL),50,60,72,47,14,12,49,65,72,62,62,73,638
calendar,2021,59,TOWER WAGON,0,10,0,4,1,1,1,2,2,1,2,2,26
calendar,2021,60,TOW TRUCK,7,6,1,7,1,1,4,10,12,7,6,4,66
calendar,2021,61,TRACTOR (COMMERCIAL),9978,10770,11701,6665,3345,8208,10156,8246,7188,7607,7632,8258,99754
calendar,2021,62,TRACTOR-TROLLEY(COMMERCIAL),446,136,180,138,30,97,130,133,192,133,158,200,1973
calendar,2021,63,TRAILER (AGRICULTURAL),5795,6488,7837,4019,906,2970,5286,5360,6217,6220,4618,5597,61313
calendar,2021,64,TRAILER (COMMERCIAL),3958,4833,5307,3064,943,2301,2696,3098,3040,2740,2903,3522,38405
calendar,2021,65,TRAILER FOR PERSONAL USE,5,0,1,0,0,2,3,3,3,1,1,1,20
calendar,2021,66,VEHICLE FITTED WITH COMPRESSOR,30,38,44,29,6,10,25,27,31,19,22,12,293
calendar,2021,67,VEHICLE FITTED WITH GENERATOR,5,6,10,4,4,0,11,7,4,2,8,15,76
calendar,2021,68,VEHICLE FITTED WITH RIG,50,28,39,20,3,22,14,5,17,11,14,14,237
calendar,2021,69,VINTAGE MOTOR VEHICLE,0,0,0,0,0,1,0,0,0,0,0,0,1
calendar,2021,70,X-RAY VAN,1,0,0,0,0,0,0,1,0,0,0,0,2
