yearType,year,serial,fuel,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2017,1,CNG ONLY,1894,2162,2834,2070,2122,2610,2300,1774,1984,2564,2530,2047,26891
calendar,2017,2,DIESEL,232507,230849,337190,239681,225613,242397,248302,234619,245445,253312,291529,250133,3031577
calendar,2017,3,DIESEL/HYBRID,2227,2827,4230,3738,4537,5152,4549,3464,3744,4741,5297,3899,48405
calendar,2017,4,DUAL DIESEL/CNG,0,1,2,1,1,1,0,0,1,1,0,0,8
calendar,2017,5,ELECTRIC(BOV),4577,4408,5995,5039,7029,7467,9001,9110,7693,7668,10089,9135,87211
calendar,2017,6,ETHANOL(E100),0,2,0,1,1,1,0,0,0,0,6,11,22
calendar,2017,7,FLEX-FUEL(BIO-DIESEL),0,0,0,1,0,0,0,0,0,0,0,0,1
calendar,2017,8,HYDROGEN(ICE),0,0,0,0,0,0,0,0,1,0,0,0,1
calendar,2017,9,LNG,0,0,2,0,0,0,0,0,1,1,0,0,4
calendar,2017,10,LPG ONLY,153,186,133,122,172,233,540,658,537,213,423,455,3825
calendar,2017,11,METHANOL,0,0,0,1,0,0,0,0,0,0,0,0,1
calendar,2017,12,NOT APPLICABLE,10150,10634,13575,9473,9735,10065,10246,8412,9698,9778,11928,12819,126513
calendar,2017,13,PETROL,1423706,1450357,1951019,1728863,1818926,1724155,1595619,1520497,1555201,2025291,2188520,1546969,20529123
calendar,2017,14,PETROL/CNG,30168,26510,29485,22849,24033,24886,24014,26120,31716,37709,41439,35448,354377
calendar,2017,15,PETROL(E20),0,2,2,0,0,1,0,1,2,0,0,1,9
calendar,2017,16,PETROL(E20)/CNG,2,2,0,0,0,2,0,1,1,1,0,0,9
calendar,2017,17,PETROL(E20)/HYBRID/CNG,0,0,0,0,0,0,0,1,0,0,0,0,1
calendar,2017,18,PETROL(E20)/LPG,1,1,0,0,2,1,1,1,3,0,0,2,12
calendar,2017,19,PETROL/HYBRID,44,62,100,108,96,136,35,36,39,40,26,22,744
calendar,2017,20,PETROL/HYBRID/CNG,0,0,0,0,0,0,0,0,0,1,0,0,1
calendar,2017,21,PETROL/LPG,7211,7798,9186,6731,7075,8157,7666,8297,8488,9682,10595,7763,98649
calendar,2017,22,PURE EV,0,0,0,17,24,34,40,59,39,0,0,0,213
calendar,2017,23,SOLAR,16,15,22,13,8,10,5,12,15,6,8,7,137
