yearType,year,serial,vehicle_class,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2023,1,ADAPTED VEHICLE,982,1797,4458,2442,2499,2022,2469,2525,2987,3595,1005,1730,28511
calendar,2023,2,AGRICULTURAL TRACTOR,68640,64492,75714,52053,66586,92013,86331,69947,50572,56756,56478,73706,813288
calendar,2023,3,AMBULANCE,818,682,880,775,829,1656,1466,1098,1293,1432,1040,780,12749
calendar,2023,4,ANIMAL AMBULANCE,8,3,317,125,8,7,6,7,12,11,76,216,796
calendar,2023,5,ARMOURED/SPECIALISED VEHICLE,20,1,7,7,2,11,2,14,8,6,11,41,130
calendar,2023,6,ARTICULATED VEHICLE,2451,2770,3103,3017,2512,1970,1934,2193,2268,2734,2779,2178,29909
calendar,2023,7,AUXILIARY TRAILER,1,2,5,1,0,0,0,0,0,0,2,1,12
calendar,2023,8,BREAKDOWN VAN,3,1,2,3,5,4,4,0,3,2,3,2,32
calendar,2023,9,BULLDOZER,1,0,0,0,0,0,0,0,0,0,0,0,1
calendar,2023,10,BUS,3171,3377,4832,4994,5040,5282,4940,4504,4551,4396,4332,3860,53279
calendar,2023,11,CAMPER VAN / TRAILER,70,70,88,61,56,55,42,65,78,61,55,95,796
calendar,2023,12,CAMPER VAN / TRAILER (PRIVATE USE),49,59,52,76,111,107,55,105,65,54,76,90,899
calendar,2023,13,CASH VAN,149,105,187,273,131,45,90,84,45,208,172,192,1681
calendar,2023,14,CONSTRUCTION EQUIPMENT VEHICLE,2890,3507,4085,3593,3554,3229,2952,3361,3681,3839,4106,3916,42713
calendar,2023,15,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),527,469,567,610,644,513,507,440,607,763,788,760,7195
calendar,2023,16,CRANE MOUNTED VEHICLE,607,617,700,623,690,724,630,688,691,772,670,701,8113
calendar,2023,17,DUMPER,1138,1234,1498,1073,1020,1066,740,765,1023,1273,1226,1184,13240
calendar,2023,18,EARTH MOVING EQUIPMENT,744,834,926,748,642,654,675,703,833,837,781,593,8970
calendar,2023,19,EDUCATIONAL INSTITUTION BUS,728,885,1879,2142,2649,4115,3802,2678,1678,1345,936,937,23774
calendar,2023,20,E-RICKSHAW(P),29957,30730,37321,31585,36595,39044,43524,46175,46713,45745,41718,45096,474203
calendar,2023,21,E-RICKSHAW WITH CART (G),1986,2431,3203,2688,3110,2891,2782,3096,3038,3022,3189,3697,35133
calendar,2023,22,EXCAVATOR (COMMERCIAL),24,22,22,15,14,51,14,8,10,9,9,9,207
calendar,2023,23,EXCAVATOR (NT),632,565,468,425,381,270,252,270,391,542,617,550,5363
calendar,2023,24,FIRE FIGHTING VEHICLE,71,34,31,65,88,18,45,13,19,61,23,32,500
calendar,2023,25,FIRE TENDERS,17,24,24,61,30,11,33,33,42,24,22,15,336
calendar,2023,26,FORK LIFT,95,109,114,132,154,122,128,148,90,135,95,176,1498
calendar,2023,27,GOODS CARRIER,78105,72621,81367,73231,64139,59564,60533,64508,69172,76858,72851,63055,836004
calendar,2023,28,HARVESTER,1011,1377,1932,805,863,3617,202,167,450,686,520,638,12268
calendar,2023,29,HEARSES,5,6,13,8,11,9,10,13,14,12,11,9,121
calendar,2023,30,LIBRARY VAN,1,0,0,0,0,1,1,0,1,1,0,0,5
calendar,2023,31,LUXURY CAB,370,442,633,481,620,492,202,107,113,134,66,53,3713
calendar,2023,32,MAXI CAB,1078,1161,1611,1754,1751,2010,2128,2256,2107,1906,1516,1351,20629
calendar,2023,33,M-CYCLE/SCOOTER,1274502,1275251,1448271,1234803,1496980,1317699,1236207,1272282,1318963,1512313,2255512,1474742,17117525
calendar,2023,34,M-CYCLE/SCOOTER-WITH SIDE CAR,930,1007,1310,1072,1158,933,878,961,965,1118,2131,830,13293
calendar,2023,35,MOBILE CANTEEN,4,1,7,3,2,1,1,5,2,6,2,7,41
calendar,2023,36,MOBILE CLINIC,428,18,7,158,124,15,14,16,11,149,187,125,1252
