yearType,year,serial,state,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2021,1,ANDAMAN & NICOBAR ISLAND,525,541,636,728,8,6,690,542,450,462,586,544,5718
calendar,2021,2,ANDHRA PRADESH,110365,85501,84835,81262,52706,67629,76194,75388,67646,107191,82534,56070,947321
calendar,2021,3,ARUNACHAL PRADESH,1950,2153,2518,2204,1063,1469,1875,2099,2123,1950,2107,1996,23507
calendar,2021,4,ASSAM,50903,45137,46337,41274,19769,28789,30973,35132,34660,42569,40158,41361,457062
calendar,2021,5,BIHAR,74742,84400,98764,94458,59683,113799,85266,69735,60946,65673,123390,79245,1010101
calendar,2021,6,CHANDIGARH,3192,3258,4129,2753,943,3451,3335,3318,2887,3799,4161,3374,38600
calendar,2021,7,CHHATTISGARH,41115,45127,47032,13474,7558,40138,40683,36422,32875,44704,73507,33254,455889
calendar,2021,8,DELHI,48853,44459,51855,24596,70,37088,43780,42633,31377,43468,54045,36073,458297
calendar,2021,9,GOA,5196,4990,5224,5011,846,2401,2843,3947,4559,5313,5632,4964,50926
calendar,2021,10,GUJARAT,106132,108647,106243,74166,54686,87739,117407,97357,108488,121426,145075,129674,1257040
calendar,2021,11,HARYANA,57869,51760,61851,54959,13236,53268,45930,54360,56531,46609,68256,66227,630856
calendar,2021,12,HIMACHAL PRADESH,10771,7917,10174,8870,3500,9289,12063,10472,9452,8652,12859,11009,115028
calendar,2021,13,JAMMU AND KASHMIR,10181,11057,14101,14058,4964,14699,17263,17272,13001,14511,14674,11442,157223
calendar,2021,14,JHARKHAND,38725,40056,61466,32243,24804,40082,37504,34677,31495,36403,59631,33596,470682
calendar,2021,15,KARNATAKA,136319,112126,126280,87092,6573,31765,121340,115973,117154,108186,103118,113158,1179084
calendar,2021,16,KERALA,80391,70562,82726,85173,12567,29371,63127,79021,74491,61008,63017,64569,766023
calendar,2021,17,LADAKH,375,145,110,33,105,155,712,604,546,363,393,250,3791
calendar,2021,18,LAKSHADWEEP,126,112,208,132,64,74,90,39,43,63,121,123,1195
calendar,2021,19,MADHYA PRADESH,133360,96572,112386,38467,7310,114780,131032,93558,88661,70713,124636,139458,1150933
calendar,2021,20,MAHARASHTRA,203373,185955,187530,74117,35451,114635,206643,178395,142523,188268,219180,186982,1923052
calendar,2021,21,MANIPUR,2916,4237,5098,4214,327,311,671,1809,4916,3280,3573,4757,36109
calendar,2021,22,MEGHALAYA,2495,2502,3157,2442,502,756,1714,2413,2629,2421,2570,2289,25890
calendar,2021,23,MIZORAM,3365,3333,3107,2020,26,1152,1460,1453,1980,2415,2464,2314,25089
calendar,2021,24,NAGALAND,1849,2274,2611,2270,443,401,2413,2021,2160,2008,1952,1455,21857
calendar,2021,25,ODISHA,54163,59847,59553,46834,8486,29585,48943,43732,36997,62785,50784,35048,536757
calendar,2021,26,PUDUCHERRY,5381,4896,5129,3283,441,3030,4478,4374,3899,3481,3452,3241,45085
calendar,2021,27,PUNJAB,48375,44737,58496,38447,22964,34440,40479,40803,36842,42213,59325,51070,518191
calendar,2021,28,RAJASTHAN,89582,91351,96281,69528,24786,85443,99212,81633,73338,90864,172073,90460,1064551
calendar,2021,29,SIKKIM,766,1011,1077,807,220,507,964,969,960,869,900,944,9994
calendar,2021,30,TAMIL NADU,154985,183353,177857,136914,23219,56518,153630,139400,137138,108940,134672,108551,1515177
calendar,2021,31,TELANGANA,86662,90130,89411,67257,17682,59513,80713,74177,77024,65733,83953,77089,869344
calendar,2021,32,TRIPURA,4445,4244,4722,3866,2677,2082,3035,3647,3723,4121,4969,4801,46332
calendar,2021,33,UT OF DNH AND DD,2146,1630,1479,1193,740,951,1114,1125,1314,1288,1675,1747,16402
calendar,2021,34,UTTARAKHAND,19324,17261,19115,11149,4337,13717,17758,16303,14449,17782,26137,18699,196031
calendar,2021,35,UTTAR PRADESH,273081,198597,236533,176957,167941,309222,267220,194444,181734,174335,277955,337715,2795734
calendar,2021,36,WEST BENGAL,87151,85103,97235,78144,35170,77522,90836,78196,80212,63881,93562,87796,954808
