yearType,year,serial,state,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2009,1,ANDAMAN & NICOBAR ISLAND,544,581,486,454,464,462,672,635,486,658,451,603,6496
calendar,2009,2,ANDHRA PRADESH,26794,35784,48482,44107,45098,41676,46838,43933,39391,51314,43892,32093,499402
calendar,2009,3,ARUNACHAL PRADESH,372,259,513,685,867,883,785,783,1311,1167,1021,793,9439
calendar,2009,4,ASSAM,5474,6090,5796,6149,6745,6668,7551,7565,9402,11587,9248,10342,92617
calendar,2009,5,BIHAR,3592,4400,6211,7061,7121,10709,10552,8356,8698,12386,12151,12531,103768
calendar,2009,6,CHANDIGARH,3018,2938,2781,2745,2734,2940,2997,3084,2636,3672,3491,2810,35846
calendar,2009,7,CHHATTISGARH,15678,14297,14418,13191,14069,12720,12204,11774,12778,20818,24618,21258,187823
calendar,2009,8,DELHI,34051,30869,27535,30434,26047,28874,30683,28556,30144,41717,37502,26475,372887
calendar,2009,9,GOA,3628,2914,3509,2872,2675,2541,2453,3479,3731,3931,3263,3930,38926
calendar,2009,10,GUJARAT,33867,37664,38766,33601,40770,42538,41693,44686,50572,72810,59945,47995,544907
calendar,2009,11,HARYANA,32710,31210,34199,28376,30469,38088,35849,32435,31667,29999,44530,36426,405958
calendar,2009,12,HIMACHAL PRADESH,5314,4461,5136,5380,5647,5655,6009,5200,4502,7470,7648,6085,68507
calendar,2009,13,JAMMU AND KASHMIR,3179,3633,5633,4941,5711,4845,4682,5521,5798,7135,5951,5555,62584
calendar,2009,14,JHARKHAND,11834,15273,16258,13161,17224,16252,19727,15245,14017,19944,23123,19450,201508
calendar,2009,15,KARNATAKA,75267,65950,68874,63882,68025,73297,68731,73787,73678,79893,76854,59398,847636
calendar,2009,16,KERALA,40827,34665,39411,36730,38838,41325,40525,55821,47084,44082,37691,43124,500123
calendar,2009,17,LADAKH,46,38,38,38,49,111,161,402,204,116,128,77,1408
calendar,2009,18,LAKSHADWEEP,110,78,108,90,73,101,94,93,65,46,163,137,1158
calendar,2009,19,MADHYA PRADESH,80434,50348,47074,45897,54680,50655,57290,41761,34220,66271,58447,58230,645307
calendar,2009,20,MAHARASHTRA,97535,78476,87108,83326,81454,77604,79345,82422,93827,132026,112002,95814,1100939
calendar,2009,21,MANIPUR,1366,1117,1405,1405,1605,1719,1679,1294,1663,1870,1355,1655,18133
calendar,2009,22,MEGHALAYA,1674,1395,1717,1448,1602,1338,1625,1388,1370,1611,1485,1351,18004
calendar,2009,23,MIZORAM,768,645,879,796,880,843,963,912,1003,838,1065,1026,10618
calendar,2009,24,NAGALAND,798,849,1113,1013,1088,1192,1377,1257,1324,1346,1332,1218,13907
calendar,2009,25,ODISHA,20760,20052,22014,21312,25185,26008,25358,23426,26617,35110,24787,28629,299258
calendar,2009,26,PUDUCHERRY,5148,5036,5647,5268,4471,5757,6280,6039,5526,5184,4694,3427,62477
calendar,2009,27,PUNJAB,31967,33202,34149,28557,29002,31979,32572,30572,35697,36312,32763,35452,392224
calendar,2009,28,RAJASTHAN,25459,26995,27698,29592,30821,35348,35997,28465,32614,50125,40686,41771,405571
calendar,2009,29,SIKKIM,123,138,187,139,191,251,238,249,260,370,375,203,2724
calendar,2009,30,TAMIL NADU,86585,92591,92627,89878,78825,99084,118164,91387,103463,101972,89698,76121,1120395
calendar,2009,31,TELANGANA,19541,19052,22548,20593,20987,21428,24131,22016,21069,27635,23479,20063,262542
calendar,2009,32,TRIPURA,1076,1253,1143,942,1286,1271,1591,1599,1670,2230,1810,1790,17661
calendar,2009,33,UT OF DNH AND DD,862,772,788,745,755,743,775,719,813,1005,1283,982,10242
calendar,2009,34,UTTARAKHAND,9307,8452,8767,7510,9325,9513,10447,9435,8331,12886,11514,10193,115680
calendar,2009,35,UTTAR PRADESH,101853,91125,95282,93066,119394,121705,108368,88681,78848,142795,102584,104485,1248186
calendar,2009,36,WEST BENGAL,23697,25579,26910,25252,24838,31550,32448,29977,32946,43028,41090,41008,378323
