yearType,year,serial,fuel,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2010,1,BIO-CNG/BIO-GAS,1,0,0,0,0,0,0,0,0,0,0,0,1
calendar,2010,2,CNG ONLY,3246,2990,3777,2420,1886,2219,2682,2640,3182,3322,3453,3311,35128
calendar,2010,3,DIESEL,167220,179534,210891,170209,175878,179098,186225,178777,188364,195614,194507,193363,2219680
calendar,2010,4,DIESEL/HYBRID,6,4,7,4,6,2,2,4,2,8,8,4,57
calendar,2010,5,DUAL DIESEL/CNG,1,0,1,1,0,0,0,0,0,1,0,0,4
calendar,2010,6,ELECTRIC(BOV),387,384,467,380,336,425,435,382,330,352,420,401,4699
calendar,2010,7,ETHANOL(E100),0,0,1,1,0,1,0,0,0,0,1,1,5
calendar,2010,8,FUEL CELL HYDROGEN,1,0,0,0,1,0,0,0,0,0,0,0,2
calendar,2010,9,HCNG,0,0,0,0,0,0,0,0,0,1,0,1,2
calendar,2010,10,LNG,0,0,1,0,0,0,0,0,0,0,0,0,1
calendar,2010,11,LPG ONLY,1535,2162,1579,1096,1276,1253,1229,952,1037,676,680,887,14362
calendar,2010,12,METHANOL,0,1,1,0,0,1,0,0,0,1,0,0,4
calendar,2010,13,NOT APPLICABLE,6399,8118,8796,6771,6069,6199,6859,6543,7833,7881,8836,8517,88821
calendar,2010,14,PETROL,815801,846888,958929,811123,892619,935101,953307,924278,940325,989315,1130918,1032725,11231329
calendar,2010,15,PETROL/CNG,16804,15333,18828,13749,16553,14086,15409,15818,17304,21124,21771,19021,205800
calendar,2010,16,PETROL(E20),17,8,5,8,9,8,8,5,9,10,16,9,112
calendar,2010,17,PETROL(E20)/CNG,1,0,0,0,0,0,0,0,0,2,1,0,4
calendar,2010,18,PETROL(E20)/HYBRID,0,0,0,0,0,0,1,0,0,0,0,0,1
calendar,2010,19,PETROL(E20)/LPG,3,3,4,3,0,1,1,0,0,0,0,0,15
calendar,2010,20,PETROL/HYBRID,1,0,2,1,1,1,0,1,0,1,0,0,8
calendar,2010,21,PETROL/LPG,11824,11095,13258,9370,8533,9084,10850,13226,13113,11551,12474,10346,134724
calendar,2010,22,PETROL/METHANOL,0,0,0,1,1,0,0,0,0,0,0,0,2
calendar,2010,23,PURE EV,1,1,1,0,0,0,0,0,0,1,1,0,5
calendar,2010,24,SOLAR,8,7,21,25,19,11,11,9,9,8,20,8,156
