yearType,year,serial,vehicle_class,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2006,1,ADAPTED VEHICLE,25,31,46,29,34,32,21,36,40,28,40,51,413
calendar,2006,2,AGRICULTURAL TRACTOR,14781,15964,20434,13540,14836,16768,16467,14480,15196,12532,18132,15669,188799
calendar,2006,3,AMBULANCE,210,221,258,271,208,273,251,252,265,251,269,340,3069
calendar,2006,4,ANIMAL AMBULANCE,0,1,3,0,1,0,0,2,0,0,0,0,7
calendar,2006,5,ARMOURED/SPECIALISED VEHICLE,0,0,2,1,1,0,0,0,0,0,1,0,5
calendar,2006,6,ARTICULATED VEHICLE,406,564,741,706,684,756,732,687,720,757,820,688,8261
calendar,2006,7,AUXILIARY TRAILER,0,0,1,1,0,1,0,0,1,0,0,0,4
calendar,2006,8,BREAKDOWN VAN,1,2,3,2,3,4,2,2,5,2,6,3,35
calendar,2006,9,BULLDOZER,1,1,1,0,1,0,0,0,0,1,1,0,6
calendar,2006,10,BUS,2985,2853,3488,3207,3356,3247,3037,2903,3039,2687,3140,2946,36888
calendar,2006,11,CAMPER VAN / TRAILER,24,16,10,25,25,15,9,26,26,33,17,37,263
calendar,2006,12,CAMPER VAN / TRAILER (PRIVATE USE),173,240,296,177,176,193,177,198,157,135,203,177,2302
calendar,2006,13,CASH VAN,6,5,6,27,19,10,7,1,5,2,3,11,102
calendar,2006,14,CONSTRUCTION EQUIPMENT VEHICLE,157,157,213,156,171,206,239,256,191,233,248,210,2437
calendar,2006,15,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),3,6,3,2,6,2,4,5,1,3,3,9,47
calendar,2006,16,CRANE MOUNTED VEHICLE,253,282,418,333,310,319,294,279,286,256,373,296,3699
calendar,2006,17,DUMPER,85,75,124,103,99,62,95,92,100,81,142,93,1151
calendar,2006,18,EARTH MOVING EQUIPMENT,248,265,345,245,346,352,330,294,320,317,365,297,3724
calendar,2006,19,EDUCATIONAL INSTITUTION BUS,375,376,487,446,713,1488,1137,977,784,503,488,417,8191
calendar,2006,20,E-RICKSHAW(P),3,2,1,3,1,4,5,6,8,6,4,4,47
calendar,2006,21,E-RICKSHAW WITH CART (G),0,0,0,0,0,0,0,0,1,0,1,0,2
calendar,2006,22,EXCAVATOR (COMMERCIAL),100,80,132,112,117,113,111,137,111,118,145,110,1386
calendar,2006,23,EXCAVATOR (NT),226,242,287,222,252,246,271,285,235,211,283,229,2989
calendar,2006,24,FIRE FIGHTING VEHICLE,3,17,9,12,10,4,11,4,2,16,8,10,106
calendar,2006,25,FIRE TENDERS,4,4,15,18,11,5,4,3,7,5,3,3,82
calendar,2006,26,FORK LIFT,32,42,62,56,56,85,57,81,91,55,75,55,747
calendar,2006,27,GOODS CARRIER,31983,33917,38191,33708,33097,33446,31334,31417,35739,36266,40633,33022,412753
calendar,2006,28,HARVESTER,200,238,309,177,164,157,169,192,245,157,225,190,2423
calendar,2006,29,HEARSES,6,5,4,8,5,6,8,11,5,17,7,9,91
calendar,2006,30,LIBRARY VAN,1,0,2,1,0,1,3,1,0,1,0,2,12
calendar,2006,31,LUXURY CAB,152,199,231,152,176,152,162,209,216,158,179,187,2173
calendar,2006,32,MAXI CAB,1785,1670,1811,1600,1525,1706,1727,1599,1860,1726,1975,1704,20688
calendar,2006,33,M-CYCLE/SCOOTER,381290,387580,421446,359281,421487,424956,371612,390555,380574,469463,537657,350865,4896766
calendar,2006,34,M-CYCLE/SCOOTER-WITH SIDE CAR,159,115,179,155,135,133,109,129,145,130,144,114,1647
calendar,2006,35,MOBILE CANTEEN,0,1,8,1,0,3,3,6,0,3,4,3,32
calendar,2006,36,MOBILE CLINIC,9,6,4,11,1,6,4,4,10,3,2,3,63
calendar,2006,37,MOBILE WORKSHOP,1,4,0,5,3,1,3,4,10,7,0,1,39
calendar,2006,38,MOPED,8878,9714,9334,8143,9134,9652,8909,9416,15095,8533,9942,6994,113744
calendar,2006,39,MOTOR CAB,4201,4150,4360,3274,3656,3884,3965,4374,4413,3724,4328,3977,48306
calendar,2006,40,MOTOR CAR,101931,86034,108062,86370,93846,98005,90020,92547,92636,100041,104928,89092,1143512
calendar,2006,41,MOTOR CYCLE/SCOOTER-SIDECAR(T),9,9,11,8,10,12,7,13,14,19,14,16,142
calendar,2006,42,MOTOR CYCLE/SCOOTER-USED FOR HIRE,45,66,48,26,40,37,16,72,124,137,160,265,1036
calendar,2006,43,MOTOR CYCLE/SCOOTER-WITH TRAILER,0,0,0,1,0,0,0,0,0,0,0,0,1
calendar,2006,44,MOTORISED CYCLE (CC > 25CC),241,249,283,227,237,202,180,235,224,349,333,230,2990
calendar,2006,45,OMNI BUS,529,456,471,430,419,461,387,362,496,371,465,360,5207
calendar,2006,46,OMNI BUS (PRIVATE USE),2319,2081,2345,2025,2341,2198,1951,2007,2182,1873,2328,1762,25412
calendar,2006,47,POWER TILLER,25,27,27,25,17,20,18,23,200,27,32,34,475
calendar,2006,48,POWER TILLER (COMMERCIAL),48,48,62,53,41,22,22,21,20,20,17,32,406
calendar,2006,49,PRIVATE SERVICE VEHICLE,145,134,161,114,146,191,141,167,188,119,139,174,1819
calendar,2006,50,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),629,444,440,406,530,569,584,619,588,553,592,485,6439
calendar,2006,51,RECOVERY VEHICLE,24,17,23,26,22,33,13,14,22,9,22,15,240
calendar,2006,52,ROAD ROLLER,12,17,13,22,14,24,28,16,251,11,24,15,447
calendar,2006,53,SCHOOL BUS,0,0,1,0,0,0,0,1,0,0,0,0,2
calendar,2006,54,SEMI-TRAILER (COMMERCIAL),0,0,0,0,1,0,0,1,0,0,0,0,2
calendar,2006,55,THREE WHEELER (GOODS),6380,6086,6533,5181,5856,6143,6256,7031,7025,6699,7588,6004,76782
calendar,2006,56,THREE WHEELER (PASSENGER),11062,12831,13844,11065,12157,13942,13722,14123,14157,13112,14557,13109,157681
calendar,2006,57,THREE WHEELER (PERSONAL),1075,903,1042,883,1103,1103,1146,1116,1034,1068,1106,925,12504
calendar,2006,58,TOWER WAGON,1,1,6,1,0,0,2,0,1,2,4,0,18
calendar,2006,59,TOW TRUCK,10,17,6,9,13,13,12,15,18,9,16,13,151
calendar,2006,60,TRACTOR (COMMERCIAL),1894,2148,2631,1900,1852,1894,2129,1976,2012,1904,2567,2335,25242
calendar,2006,61,TRACTOR-TROLLEY(COMMERCIAL),64,97,85,90,84,64,87,71,45,57,73,75,892
calendar,2006,62,TRAILER (AGRICULTURAL),3985,3992,5542,3687,3370,3711,3550,3461,3745,3540,4637,3868,47088
calendar,2006,63,TRAILER (COMMERCIAL),1363,1613,2054,1389,1317,1208,1328,1312,1647,1256,1710,1634,17831
calendar,2006,64,TRAILER FOR PERSONAL USE,26,38,45,41,22,50,43,46,59,72,58,46,546
calendar,2006,65,TREE TRIMMING VEHICLE,10,2,4,0,1,0,0,1,1,1,3,18,41
calendar,2006,66,VEHICLE FITTED WITH COMPRESSOR,75,70,108,86,99,89,94,68,70,81,93,63,996
calendar,2006,67,VEHICLE FITTED WITH GENERATOR,72,73,64,45,30,66,60,46,45,42,38,40,621
calendar,2006,68,VEHICLE FITTED WITH RIG,57,71,84,69,77,64,58,56,80,80,65,75,836
calendar,2006,69,X-RAY VAN,0,0,0,0,0,1,0,0,0,0,0,0,1
