yearType,year,serial,fuel,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2011,1,CNG ONLY,3772,3334,3149,2224,2603,2063,2391,2937,2490,2797,2448,2108,32316
calendar,2011,2,DIESEL,216622,212053,252079,195641,206082,220772,219552,210124,218657,225353,261048,235942,2673925
calendar,2011,3,DIESEL/HYBRID,3,5,1,3,1,5,5,1,2,5,5,4,40
calendar,2011,4,DUAL DIESEL/CNG,0,0,0,1,1,1,2,0,3,0,0,2,10
calendar,2011,5,ELECTRIC(BOV),440,510,516,502,610,549,495,506,551,630,831,866,7006
calendar,2011,6,ETHANOL(E100),0,0,1,1,0,0,0,0,0,0,2,0,4
calendar,2011,7,FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,1,0,0,0,1
calendar,2011,8,HCNG,0,0,1,0,0,1,1,0,1,0,0,0,4
calendar,2011,9,LPG ONLY,1009,783,914,767,650,451,424,439,584,339,314,273,6947
calendar,2011,10,METHANOL,0,0,0,0,0,1,0,0,0,0,0,0,1
calendar,2011,11,NOT APPLICABLE,7618,8813,10882,7130,7013,8494,8653,10856,7889,6819,9249,9623,103039
calendar,2011,12,PETROL,1078895,1045773,1173628,1018193,1116544,1138319,1076038,1028414,1051152,1121107,1403109,1058871,13310043
calendar,2011,13,PETROL/CNG,24633,20132,22677,18777,19003,19367,18629,17948,18324,23339,23111,18088,244028
calendar,2011,14,PETROL(E20),18,2,13,5,13,8,5,3,5,3,7,1,83
calendar,2011,15,PETROL(E20)/CNG,0,0,0,0,0,0,0,1,1,2,0,2,6
calendar,2011,16,PETROL(E20)/LPG,1,0,1,0,0,1,0,0,0,0,1,0,4
calendar,2011,17,PETROL/HYBRID,0,0,2,0,0,0,0,0,3,0,0,0,5
calendar,2011,18,PETROL/LPG,12606,10677,10900,8103,9690,9873,10233,10120,10236,9827,11678,9742,123685
calendar,2011,19,PURE EV,0,1,0,0,0,0,0,0,1,0,0,0,2
calendar,2011,20,SOLAR,14,13,16,8,11,33,38,32,23,19,45,25,277
