yearType,year,serial,fuel,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2021,1,CNG ONLY,6103,11041,13676,8553,2259,7110,13930,16343,20942,22005,22832,22110,166904
calendar,2021,2,DIESEL,205423,205097,232825,148501,59749,153339,219268,201079,178637,161436,166983,189304,2121641
calendar,2021,3,DIESEL/HYBRID,9,6,0,4,3,3,3,5,0,1,2,2,38
calendar,2021,4,DUAL DIESEL/CNG,0,0,0,5,1,4,1,2,0,0,1,0,14
calendar,2021,5,ELECTRIC(BOV),17262,20504,29013,15638,3736,12734,29150,31796,37723,42099,46441,55144,341240
calendar,2021,6,LNG,0,0,0,0,0,0,0,0,0,0,1,0,1
calendar,2021,7,LPG ONLY,1244,1173,996,1350,324,483,1334,1414,1505,1279,1676,1412,14190
calendar,2021,8,METHANOL,0,1,0,0,0,0,1,0,0,0,0,0,2
calendar,2021,9,NOT APPLICABLE,10091,11304,13241,7181,1881,5282,8024,8535,9368,9045,7642,9318,100912
calendar,2021,10,PETROL,1660466,1502252,1626600,1170014,533753,1259791,1534944,1333696,1253361,1344919,1833953,1526978,16580727
calendar,2021,11,PETROL/CNG,33848,28875,31777,18957,10555,18154,31639,29934,24725,22049,23171,25009,298693
calendar,2021,12,PETROL(E20),0,1,0,0,0,0,0,0,0,0,1,2,4
calendar,2021,13,PETROL(E20)/CNG,7,1,3,3,0,4,0,4,2,4,2,5,35
calendar,2021,14,PETROL(E20)/HYBRID/CNG,3,1,2,1,0,2,1,2,1,2,3,1,19
calendar,2021,15,PETROL(E20)/LPG,2,1,0,0,0,0,0,0,0,1,0,0,4
calendar,2021,16,PETROL/HYBRID,13599,11263,12942,8619,3281,7777,13305,12696,11040,13230,12475,10396,130623
calendar,2021,17,PETROL/HYBRID/CNG,43,48,41,24,4,35,46,38,35,51,58,35,458
calendar,2021,18,PETROL/LPG,3049,3413,4150,1545,321,1059,1744,1899,1884,1626,1854,1629,24173
calendar,2021,19,SOLAR,0,0,0,0,0,0,0,0,0,0,1,0,1
