yearType,year,serial,fuel,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2020,1,CNG ONLY,3250,3701,6968,1991,190,1869,2448,2902,4169,5020,6150,4902,43560
calendar,2020,2,DIESEL,291296,280618,341036,47330,19872,100756,156879,155559,184918,178818,189633,211872,2158587
calendar,2020,3,DIESEL/HYBRID,1397,748,594,113,0,3,1,3,42,13,7,9,2930
calendar,2020,4,DUAL DIESEL/BIO CNG,1,0,0,0,0,0,0,0,0,0,0,0,1
calendar,2020,5,DUAL DIESEL/CNG,0,0,2,2,0,0,0,0,0,0,1,0,5
calendar,2020,6,ELECTRIC(BOV),16956,16645,14170,981,1330,6628,7876,8713,11548,11563,13549,16043,126002
calendar,2020,7,ETHANOL(E100),0,1,0,0,0,1,0,1,0,0,0,0,3
calendar,2020,8,LNG,3,12,4,0,0,0,0,0,0,0,0,0,19
calendar,2020,9,LPG ONLY,177,340,1249,76,196,797,926,908,1407,1371,1457,1400,10304
calendar,2020,10,METHANOL,0,1,0,0,0,0,1,0,0,0,0,0,2
calendar,2020,11,NOT APPLICABLE,9818,10553,12294,497,2300,8118,9036,8600,12133,11060,10630,11258,106297
calendar,2020,12,PETROL,1707113,1696021,2437727,431065,227806,1055467,1193727,1255027,1411421,1483736,1950040,1923166,16772316
calendar,2020,13,PETROL/CNG,44344,34855,27491,3492,1642,9933,14504,18370,18645,25668,28371,27224,254539
calendar,2020,14,PETROL(E20),0,4,1,0,1,1,2,1,0,1,0,3,14
calendar,2020,15,PETROL(E20)/CNG,3,2,0,0,1,0,0,3,5,3,2,3,22
calendar,2020,16,PETROL(E20)/HYBRID/CNG,0,0,2,0,0,0,3,4,0,5,4,4,22
calendar,2020,17,PETROL(E20)/LPG,1,2,0,0,0,0,0,1,0,0,0,0,4
calendar,2020,18,PETROL/HYBRID,6017,5231,7767,492,1701,6544,6631,8437,9745,11085,12903,12597,89150
calendar,2020,19,PETROL/HYBRID/CNG,14,17,20,2,0,22,37,40,43,42,41,42,320
calendar,2020,20,PETROL/LPG,10853,10654,11121,810,254,789,1263,1200,2422,1847,1907,2108,45228
calendar,2020,21,PURE EV,9,10,9,0,0,0,0,0,0,0,0,0,28
