yearType,year,serial,fuel,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2008,1,CNG ONLY,2462,2290,1913,2259,2738,2496,2951,2523,2599,2637,2108,1935,28911
calendar,2008,2,DIESEL,141109,142557,146105,137877,142822,130180,136393,119416,125600,121401,116766,97761,1557987
calendar,2008,3,DIESEL/HYBRID,6,1,4,3,5,5,1,0,1,3,4,3,36
calendar,2008,4,DUAL DIESEL/CNG,0,0,0,1,0,1,0,0,0,1,0,0,3
calendar,2008,5,ELECTRIC(BOV),580,782,693,847,955,1298,1759,1469,1242,1236,1319,1007,13187
calendar,2008,6,ETHANOL(E100),0,0,0,0,0,1,0,0,0,0,1,0,2
calendar,2008,7,FUEL CELL HYDROGEN,0,0,1,1,0,0,0,0,0,0,0,0,2
calendar,2008,8,LPG ONLY,394,320,284,256,217,273,353,241,240,304,255,250,3387
calendar,2008,9,METHANOL,2,0,0,1,0,1,1,0,1,0,1,0,7
calendar,2008,10,NOT APPLICABLE,6491,6985,7580,5735,5733,5794,5743,4716,4928,5298,5665,6187,70855
calendar,2008,11,PETROL,623987,572484,546462,600488,655762,555734,559942,494212,511051,585950,648065,500214,6854351
calendar,2008,12,PETROL/CNG,13315,10632,10499,10378,10317,9173,9951,9270,8866,12242,9976,7989,122608
calendar,2008,13,PETROL(E20),4,6,3,6,4,3,7,2,3,7,5,4,54
calendar,2008,14,PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,1,1
calendar,2008,15,PETROL(E20)/LPG,0,0,1,0,0,0,0,0,0,0,1,0,2
calendar,2008,16,PETROL/HYBRID,0,0,0,0,0,0,1,0,1,1,0,1,4
calendar,2008,17,PETROL/LPG,10286,7397,6941,6841,8256,7319,8882,7869,8891,9231,9150,6411,97474
calendar,2008,18,PETROL/METHANOL,0,0,0,1,1,0,0,0,0,0,0,0,2
calendar,2008,19,PURE EV,0,0,0,2,0,0,0,0,0,0,0,0,2
calendar,2008,20,SOLAR,10,7,5,6,3,3,7,6,7,7,11,4,76
