yearType,year,serial,state,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2014,1,ANDAMAN & NICOBAR ISLAND,662,654,670,682,712,630,757,661,741,740,775,733,8417
calendar,2014,2,ANDHRA PRADESH,66169,45419,90027,73417,68274,75001,88273,75865,86789,68068,78312,60598,876212
calendar,2014,3,ARUNACHAL PRADESH,1250,861,1274,1432,1567,1450,1393,1169,1414,1189,1061,1038,15098
calendar,2014,4,ASSAM,20064,19116,20742,20421,23996,21123,22686,20516,23299,24496,23168,20849,260476
calendar,2014,5,BIHAR,41828,47552,62047,59197,72017,64063,53729,45730,50289,66619,64951,46881,674903
calendar,2014,6,CHANDIGARH,4378,3492,3445,3949,3967,3329,4245,3888,4069,3739,4639,3934,47074
calendar,2014,7,CHHATTISGARH,46169,38544,41138,40304,41790,36070,37124,32037,32010,49351,56399,39595,490531
calendar,2014,8,DELHI,47582,37926,38509,43529,45766,41243,43997,41997,39020,55626,50913,33419,519527
calendar,2014,9,GOA,7583,6016,6756,5658,5366,4598,4465,7034,5995,8011,6615,6992,75089
calendar,2014,10,GUJARAT,114722,111273,119438,112347,123356,112168,127789,106100,109808,155796,178439,134803,1506039
calendar,2014,11,HARYANA,52851,45359,56689,52543,57674,54731,53596,52753,52574,48011,70906,50919,648606
calendar,2014,12,HIMACHAL PRADESH,8811,6711,7538,8845,8826,8627,9313,8117,7403,10347,13382,9070,106990
calendar,2014,13,JAMMU AND KASHMIR,8218,8056,8865,9689,9568,10401,9767,12056,6955,8528,9906,8046,110055
calendar,2014,14,JHARKHAND,26138,25305,29004,9375,20334,35571,40938,35107,29624,22058,36076,39656,349186
calendar,2014,15,KARNATAKA,143035,122585,135855,130974,131210,134726,120917,126092,136602,128559,140447,94719,1545721
calendar,2014,16,KERALA,86956,66226,97235,55417,75478,73174,67820,73345,95643,80015,66902,65849,904060
calendar,2014,17,LADAKH,71,53,45,51,135,351,356,433,213,211,246,218,2383
calendar,2014,18,LAKSHADWEEP,114,107,124,156,137,161,107,84,111,89,94,137,1421
calendar,2014,19,MADHYA PRADESH,96053,76535,81759,81338,99074,89613,91361,73704,72587,68982,110784,106817,1048607
calendar,2014,20,MAHARASHTRA,232832,168045,183100,192562,188696,163880,171591,162290,178970,225315,219356,179057,2265694
calendar,2014,21,MANIPUR,2587,2232,2189,2243,3009,2354,2560,2826,2368,2575,2471,2527,29941
calendar,2014,22,MEGHALAYA,2356,1826,1943,2019,2171,1881,1914,1603,1784,1586,1695,1357,22135
calendar,2014,23,MIZORAM,1581,1178,1367,1169,1178,1218,1244,1087,1075,1114,1050,1254,14515
calendar,2014,24,NAGALAND,1710,1536,1799,1852,1814,1606,1890,1625,2017,1458,1713,1488,20508
calendar,2014,25,ODISHA,43659,39819,53546,48124,49503,44108,44571,33012,39066,50908,47437,39929,533682
calendar,2014,26,PUDUCHERRY,5409,4259,4816,4247,4619,4988,5329,4606,4919,4167,3551,2887,53797
calendar,2014,27,PUNJAB,64391,68164,73356,61670,57838,58630,76696,61719,69725,37299,111050,75689,816227
calendar,2014,28,RAJASTHAN,100530,85718,88315,92976,116423,112527,115399,98715,97829,146495,144678,117242,1316847
calendar,2014,29,SIKKIM,333,381,370,381,421,413,395,429,491,402,443,314,4773
calendar,2014,30,TAMIL NADU,153307,141299,141812,137934,135347,144519,152622,132366,153797,123745,128684,103744,1649176
calendar,2014,31,TELANGANA,61020,54306,60106,57359,52999,52960,85130,59903,72713,65722,74939,56341,753498
calendar,2014,32,TRIPURA,2438,2465,2819,2446,2640,2375,2728,2531,2597,2613,2487,2554,30693
calendar,2014,33,UT OF DNH AND DD,1354,1338,1230,1162,1145,1128,1206,1024,1217,1276,1835,1674,15589
calendar,2014,34,UTTARAKHAND,16101,14225,15345,17210,16454,15891,16171,15922,15591,19125,23205,14723,199963
calendar,2014,35,UTTAR PRADESH,191560,176376,194439,221196,256369,227870,183112,163840,145080,241857,215914,141830,2359443
calendar,2014,36,WEST BENGAL,60770,52503,53795,53927,53224,69355,68219,61120,68227,56467,74116,71372,743095
