yearType,year,serial,fuel,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2015,1,BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,1,0,0,1
calendar,2015,2,CNG ONLY,2733,2022,2186,2162,1911,2017,2371,2333,2499,2396,2651,2276,27557
calendar,2015,3,DIESEL,271391,236447,251040,223725,220949,236267,238157,221691,231541,230310,250115,238178,2849811
calendar,2015,4,DIESEL/HYBRID,1,3,4,6,2,7,1,3,5,55,183,245,515
calendar,2015,5,DUAL DIESEL/CNG,0,0,0,0,0,0,1,0,0,1,2,0,4
calendar,2015,6,ELECTRIC(BOV),178,173,210,167,194,282,376,704,969,1067,1248,2181,7749
calendar,2015,7,FUEL CELL HYDROGEN,0,0,0,0,0,1,0,0,0,0,0,0,1
calendar,2015,8,HCNG,0,0,0,0,0,0,0,0,1,0,0,0,1
calendar,2015,9,LNG,0,0,0,0,0,0,2,0,0,0,0,0,2
calendar,2015,10,LPG ONLY,155,227,383,246,323,469,356,307,350,191,168,181,3356
calendar,2015,11,NOT APPLICABLE,9560,10929,11774,9671,9908,10221,10692,9374,9639,9486,9855,13504,124613
calendar,2015,12,PETROL,1374332,1328638,1398596,1373616,1456416,1503967,1442847,1277994,1330712,1333893,1738094,1529034,17088139
calendar,2015,13,PETROL/CNG,25181,19420,21478,20666,20415,23143,23561,20893,22344,22730,25968,23164,268963
calendar,2015,14,PETROL(E20),8,7,4,5,7,1,5,2,1,2,2,1,45
calendar,2015,15,PETROL(E20)/CNG,0,0,0,0,1,1,3,0,0,1,0,1,7
calendar,2015,16,PETROL(E20)/LPG,0,1,1,1,0,0,0,0,0,1,2,1,7
calendar,2015,17,PETROL/HYBRID,1,1,1,1,5,1,3,8,17,17,23,20,98
calendar,2015,18,PETROL/LPG,7244,6528,6482,5386,8725,8151,7140,6336,6595,6591,6902,6374,82454
calendar,2015,19,PURE EV,1,1,0,2,0,0,2,0,1,0,0,0,7
calendar,2015,20,SOLAR,7,14,7,32,27,16,8,14,11,17,21,22,196
