yearType,year,serial,state,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2004,1,ANDAMAN & NICOBAR ISLAND,259,220,218,191,238,240,270,260,256,200,267,284,2903
calendar,2004,2,ANDHRA PRADESH,16849,19341,21271,18835,18161,20975,22875,21014,22309,18992,21276,17561,239459
calendar,2004,3,ARUNACHAL PRADESH,204,161,246,330,328,293,271,352,399,278,393,346,3601
calendar,2004,4,ASSAM,3096,2787,3402,3448,3649,3618,3134,3214,3575,4145,4202,4333,42603
calendar,2004,5,BIHAR,1385,1322,1257,1245,972,1365,1151,1315,1420,1584,1502,1555,16073
calendar,2004,6,CHANDIGARH,1043,1085,1160,1169,1182,1074,1182,925,1448,1105,1273,1506,14152
calendar,2004,7,CHHATTISGARH,5981,5065,5326,5423,5287,5587,5765,4930,6310,6237,10509,9456,75876
calendar,2004,8,DELHI,25378,22976,24894,22941,20385,22674,26554,24743,20528,24248,31829,26941,294091
calendar,2004,9,GOA,2033,1536,2084,1496,1377,1375,1495,1717,2464,2242,2634,2151,22604
calendar,2004,10,GUJARAT,20667,19859,21521,20418,17594,19649,19574,15961,24712,27200,31510,21396,260061
calendar,2004,11,HARYANA,12234,12923,13605,14624,12184,15099,16164,13675,14131,13440,14804,17166,170049
calendar,2004,12,HIMACHAL PRADESH,3167,3207,3545,3449,3558,3892,4338,3437,3014,2834,3958,3812,42211
calendar,2004,13,JAMMU AND KASHMIR,659,864,989,1004,1258,1223,1240,1139,1185,1247,1359,1062,13229
calendar,2004,14,JHARKHAND,4891,4184,4462,4390,4929,5663,5699,5398,6425,7215,7825,9633,70714
calendar,2004,15,KARNATAKA,63477,50747,57745,47621,47010,54067,55731,51289,60727,58338,64311,49447,660510
calendar,2004,16,KERALA,27960,21402,26519,26105,21968,24487,28824,36550,36322,27018,28046,28891,334092
calendar,2004,17,LADAKH,1,1,19,4,74,133,194,127,102,34,46,56,791
calendar,2004,18,LAKSHADWEEP,40,33,41,31,41,38,31,33,25,26,42,52,433
calendar,2004,19,MADHYA PRADESH,40054,40650,36031,33751,32882,33861,34081,24739,29390,28700,41221,42791,418151
calendar,2004,20,MAHARASHTRA,27918,20841,27832,23559,19809,20596,22824,21666,26984,28578,37013,26241,303861
calendar,2004,21,MANIPUR,646,515,687,582,600,689,445,556,701,683,707,942,7753
calendar,2004,22,MEGHALAYA,912,656,967,740,885,965,872,883,1065,895,1214,1006,11060
calendar,2004,23,MIZORAM,571,574,552,590,490,463,462,537,493,564,537,527,6360
calendar,2004,24,NAGALAND,462,392,572,664,549,618,602,563,608,535,663,604,6832
calendar,2004,25,ODISHA,14229,13715,15267,13651,15439,15026,17717,14147,14642,16212,18108,17154,185307
calendar,2004,26,PUDUCHERRY,2560,2352,2550,2310,1958,2311,2711,2905,2872,2465,2237,1999,29230
calendar,2004,27,PUNJAB,21709,20348,21656,20571,20269,19917,19745,23253,20695,17629,20561,21244,247597
calendar,2004,28,RAJASTHAN,13329,13864,14329,14888,13499,16264,16886,14316,16289,18557,24605,16721,193547
calendar,2004,29,SIKKIM,62,102,97,83,61,67,62,36,45,35,44,43,737
calendar,2004,30,TAMIL NADU,27822,26103,28687,26480,21708,28717,31140,29459,31497,25186,27214,20773,324786
calendar,2004,31,TELANGANA,7847,7323,8301,8250,8232,9004,9804,8667,9495,8290,10130,9065,104408
calendar,2004,32,TRIPURA,771,968,1004,705,816,1014,858,918,919,1099,1085,845,11002
calendar,2004,33,UT OF DNH AND DD,802,645,765,709,685,704,711,521,779,760,1027,1067,9175
calendar,2004,34,UTTARAKHAND,3868,3294,3452,3523,3781,3966,3821,3289,3872,3356,4710,3899,44831
calendar,2004,35,UTTAR PRADESH,53139,54141,58246,55211,59552,71157,62862,52525,53855,53305,65633,61221,700847
calendar,2004,36,WEST BENGAL,13800,12605,15033,16850,12869,15811,16360,14935,15466,15568,19599,20048,188944
