yearType,year,serial,fuel,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2013,1,CNG ONLY,2143,1830,2045,2160,1874,1606,1926,1596,1736,1971,1751,1694,22332
calendar,2013,2,DIESEL,301229,267019,297348,271230,259634,245680,252663,224972,231039,271416,256054,235767,3114051
calendar,2013,3,DIESEL/HYBRID,7,7,4,4,3,2,3,4,1,4,3,2,44
calendar,2013,4,DUAL DIESEL/CNG,0,1,1,0,0,0,1,2,0,0,1,1,7
calendar,2013,5,ELECTRIC(BOV),251,240,219,216,224,219,197,174,222,248,263,253,2726
calendar,2013,6,ETHANOL(E100),0,1,0,0,0,0,0,0,1,0,0,1,3
calendar,2013,7,FLEX-FUEL(BIO-DIESEL),0,0,1,0,0,0,0,0,0,0,0,0,1
calendar,2013,8,LNG,0,0,0,0,0,0,0,0,0,0,1,0,1
calendar,2013,9,LPG ONLY,197,196,386,373,316,304,266,129,199,205,182,206,2959
calendar,2013,10,METHANOL,0,0,0,0,0,0,0,0,0,0,0,1,1
calendar,2013,11,NOT APPLICABLE,7396,8462,10517,7918,8244,8105,7732,5475,5956,6762,9434,10799,96800
calendar,2013,12,PETROL,1279571,1200722,1203035,1243141,1300193,1190798,1172117,1062943,1103157,1353998,1517080,1221017,14847772
calendar,2013,13,PETROL/CNG,25394,22307,18852,18487,18120,15408,16961,15243,14557,20414,17027,14243,217013
calendar,2013,14,PETROL(E20),2,5,3,7,2,2,2,1,2,6,9,2,43
calendar,2013,15,PETROL(E20)/CNG,1,0,2,1,0,0,0,1,0,0,1,0,6
calendar,2013,16,PETROL(E20)/LPG,0,0,0,0,0,0,0,0,0,0,1,0,1
calendar,2013,17,PETROL/HYBRID,0,1,1,1,0,0,1,0,0,0,0,1,5
calendar,2013,18,PETROL/LPG,9849,8167,7216,6435,6228,6747,9361,8913,9366,8193,5977,5158,91610
calendar,2013,19,PURE EV,1,0,0,0,1,0,0,0,0,3,1,0,6
calendar,2013,20,SOLAR,20,18,17,21,19,18,11,9,19,13,18,12,195
