yearType,year,serial,state,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2008,1,ANDAMAN & NICOBAR ISLAND,457,391,367,318,277,372,520,380,410,496,580,554,5122
calendar,2008,2,ANDHRA PRADESH,31254,43909,42151,41076,48160,43246,42648,36179,41661,34754,40449,27571,473058
calendar,2008,3,ARUNACHAL PRADESH,332,267,264,474,464,316,340,418,503,470,505,480,4833
calendar,2008,4,ASSAM,3913,3731,3911,4689,4889,4024,4682,4065,4750,6134,5301,5403,55492
calendar,2008,5,BIHAR,4151,4561,3875,4638,4995,4482,3412,2708,3007,3491,3990,4667,47977
calendar,2008,6,CHANDIGARH,2739,2635,2327,2383,2694,2306,2679,2461,2192,2637,3175,2443,30671
calendar,2008,7,CHHATTISGARH,14488,13713,12539,12130,12832,11202,11689,10765,11721,13288,20376,15377,160120
calendar,2008,8,DELHI,37060,30742,28617,34400,31585,29459,32931,28891,23791,35090,34919,21399,368884
calendar,2008,9,GOA,3880,2609,3021,3223,2586,2114,2238,2876,3302,4335,2789,3364,36337
calendar,2008,10,GUJARAT,34215,34563,40050,40177,39923,35381,36925,31959,32285,54490,48910,26923,455801
calendar,2008,11,HARYANA,38666,31966,31066,29000,33104,31592,32079,28600,28411,26698,32821,33828,377831
calendar,2008,12,HIMACHAL PRADESH,4703,4322,4073,4342,5921,4490,4335,4260,3753,4229,7264,4726,56418
calendar,2008,13,JAMMU AND KASHMIR,3724,2681,3379,1900,2623,3138,5099,678,5115,3845,4623,3940,40745
calendar,2008,14,JHARKHAND,14335,12017,11093,13237,15235,13467,15778,11158,13143,12308,16777,15941,164489
calendar,2008,15,KARNATAKA,85231,79139,78512,75505,80159,79218,74125,66026,68222,72744,70596,48324,877801
calendar,2008,16,KERALA,38844,29560,31579,36237,36725,33291,34521,32758,48571,34536,30953,32758,420333
calendar,2008,17,LADAKH,13,22,26,54,39,23,122,102,52,67,47,69,636
calendar,2008,18,LAKSHADWEEP,77,53,52,42,83,79,75,53,41,47,73,79,754
calendar,2008,19,MADHYA PRADESH,51718,52151,48716,47385,58534,44469,37981,35863,33625,38534,17968,39140,506084
calendar,2008,20,MAHARASHTRA,102923,81374,73126,92894,84062,71474,71716,64838,65367,96082,105529,65075,974460
calendar,2008,21,MANIPUR,885,611,706,1105,1098,1010,1156,1099,1155,1144,839,940,11748
calendar,2008,22,MEGHALAYA,1406,927,1120,1301,1295,1227,1294,1222,1374,1283,1466,1116,15031
calendar,2008,23,MIZORAM,704,432,450,589,662,626,720,709,695,608,851,737,7783
calendar,2008,24,NAGALAND,914,900,1075,1287,1222,1311,1290,1059,1114,925,1045,861,13003
calendar,2008,25,ODISHA,20139,18486,19162,21406,24778,20211,20267,15382,15304,25665,22043,19836,242679
calendar,2008,26,PUDUCHERRY,4463,3923,3370,4095,4163,4480,4916,4763,4231,3933,3307,3210,48854
calendar,2008,27,PUNJAB,32129,30719,28655,26019,30101,28714,29994,29451,28677,27220,31798,37343,360820
calendar,2008,28,RAJASTHAN,24784,25240,24329,28140,29110,25318,27235,23938,22751,35945,37597,24058,328445
calendar,2008,29,SIKKIM,135,112,109,73,125,107,90,128,100,54,121,81,1235
calendar,2008,30,TAMIL NADU,103524,104125,90520,94003,107415,78765,95258,80056,88655,72412,72305,54363,1041401
calendar,2008,31,TELANGANA,20424,21302,20424,20322,22805,21750,22350,18998,19129,18863,21934,17331,245632
calendar,2008,32,TRIPURA,1028,784,722,828,930,1091,1207,1144,1303,1016,1191,1063,12307
calendar,2008,33,UT OF DNH AND DD,1169,1072,866,974,934,844,802,746,784,961,1151,820,11123
calendar,2008,34,UTTARAKHAND,9286,8172,7623,7419,8540,7437,7402,7048,5728,7457,10635,6763,93510
calendar,2008,35,UTTAR PRADESH,79673,74623,78965,89441,105812,82298,73254,68516,57794,76316,112991,75209,974892
calendar,2008,36,WEST BENGAL,25260,21627,23651,23596,22933,22949,24861,20427,24714,20241,26408,25975,282642
