yearType,year,serial,fuel,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2018,1,CNG ONLY,2914,2583,2656,2876,2640,2382,2329,2357,2593,3012,2719,2800,31861
calendar,2018,2,DIESEL,297606,274599,313630,286868,283436,269571,291926,265214,253188,280061,277994,273866,3367959
calendar,2018,3,DIESEL/HYBRID,5548,4860,5507,5018,5316,4792,4873,4785,4399,4631,4771,5132,59632
calendar,2018,4,DUAL DIESEL/CNG,0,1,1,0,0,0,0,0,1,1,2,1,7
calendar,2018,5,ELECTRIC(BOV),9003,7389,7740,7390,8360,8902,11503,11864,13725,15122,14232,15997,131227
calendar,2018,6,ETHANOL(E100),6,0,0,5,0,1,1,1,0,1,0,1,16
calendar,2018,7,FLEX-FUEL(BIO-DIESEL),0,0,1,0,0,0,0,0,0,0,0,0,1
calendar,2018,8,HCNG,0,0,0,0,0,0,0,0,0,1,0,0,1
calendar,2018,9,LNG,0,0,1,0,1,1,0,1,0,1,0,0,5
calendar,2018,10,LPG ONLY,227,265,330,484,379,284,222,446,393,372,267,397,4066
calendar,2018,11,NOT APPLICABLE,11709,11429,12335,12644,11632,10659,10384,9096,9108,11210,11709,13290,135205
calendar,2018,12,PETROL,1810637,1637269,1895149,1858602,2047088,1850417,1857037,1706943,1683399,1740164,2150476,1922007,22159188
calendar,2018,13,PETROL/CNG,45684,41235,41757,41294,40700,37679,38225,37161,35297,38397,39730,36891,474050
calendar,2018,14,PETROL(E20),1,0,0,0,2,0,0,2,0,1,3,0,9
calendar,2018,15,PETROL(E20)/CNG,0,1,3,0,1,0,2,2,0,1,0,1,11
calendar,2018,16,PETROL(E20)/HYBRID,0,0,0,0,0,0,0,0,0,0,0,1,1
calendar,2018,17,PETROL(E20)/HYBRID/CNG,0,0,0,0,0,1,0,0,0,0,0,1,2
calendar,2018,18,PETROL(E20)/LPG,1,0,0,2,0,3,0,1,2,0,0,1,10
calendar,2018,19,PETROL/HYBRID,43,44,73,83,64,90,56,250,1683,2438,2794,4283,11901
calendar,2018,20,PETROL/HYBRID/CNG,0,0,0,0,0,0,0,1,4,6,9,20,40
calendar,2018,21,PETROL/LPG,9711,10702,11307,10927,11464,11519,12686,11977,12142,11954,11101,9668,135158
calendar,2018,22,PURE EV,0,0,0,1,0,0,0,0,0,0,4,7,12
calendar,2018,23,SOLAR,14,6,2,6,3,3,4,6,5,2,4,8,63
