yearType,year,serial,vehicle_class,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2007,1,ADAPTED VEHICLE,46,42,40,42,37,47,36,50,46,51,44,31,512
calendar,2007,2,AGRICULTURAL TRACTOR,16424,17959,20115,13503,16696,17953,18042,16757,15165,16181,16267,16380,201442
calendar,2007,3,AMBULANCE,484,489,427,406,291,335,298,316,246,285,302,259,4138
calendar,2007,4,ANIMAL AMBULANCE,2,0,3,7,0,0,4,2,0,1,1,0,20
calendar,2007,5,ARMOURED/SPECIALISED VEHICLE,0,0,0,0,1,0,0,6,0,1,0,0,8
calendar,2007,6,ARTICULATED VEHICLE,787,1079,1292,854,796,695,745,855,878,977,1005,769,10732
calendar,2007,7,AUXILIARY TRAILER,0,1,1,0,1,1,0,0,0,0,3,1,8
calendar,2007,8,BREAKDOWN VAN,2,1,3,1,4,4,3,3,2,5,2,8,38
calendar,2007,9,BULLDOZER,1,1,1,4,1,2,1,1,2,1,1,1,17
calendar,2007,10,BUS,3171,3091,3839,3640,3957,3592,3661,3923,3550,3699,3514,3738,43375
calendar,2007,11,CAMPER VAN / TRAILER,33,26,37,24,43,6,7,5,10,3,3,8,205
calendar,2007,12,CAMPER VAN / TRAILER (PRIVATE USE),179,223,229,183,157,136,177,140,152,171,132,100,1979
calendar,2007,13,CASH VAN,2,6,1,4,9,8,20,3,7,4,10,6,80
calendar,2007,14,CONSTRUCTION EQUIPMENT VEHICLE,291,306,320,333,364,363,360,369,319,479,368,391,4263
calendar,2007,15,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),7,6,7,3,7,4,3,5,3,7,5,2,59
calendar,2007,16,CRANE MOUNTED VEHICLE,330,369,462,406,450,399,459,492,393,382,454,430,5026
calendar,2007,17,DUMPER,200,141,146,108,131,115,110,88,78,142,142,144,1545
calendar,2007,18,EARTH MOVING EQUIPMENT,347,413,500,547,606,662,719,613,531,586,553,499,6576
calendar,2007,19,EDUCATIONAL INSTITUTION BUS,380,390,465,469,794,1662,1428,1194,1035,870,822,671,10180
calendar,2007,20,E-RICKSHAW(P),6,4,3,2,3,6,4,2,3,5,2,3,43
calendar,2007,21,E-RICKSHAW WITH CART (G),0,0,1,1,1,0,0,0,0,1,1,0,5
calendar,2007,22,EXCAVATOR (COMMERCIAL),130,161,168,170,204,198,173,205,149,176,174,159,2067
calendar,2007,23,EXCAVATOR (NT),311,320,383,313,319,337,404,322,343,367,386,377,4182
calendar,2007,24,FIRE FIGHTING VEHICLE,21,12,12,10,11,15,13,7,4,3,8,11,127
calendar,2007,25,FIRE TENDERS,3,8,3,3,2,1,2,4,6,2,4,9,47
calendar,2007,26,FORK LIFT,82,83,97,102,74,72,87,107,73,60,73,80,990
calendar,2007,27,GOODS CARRIER,42011,42586,44316,36206,35340,31653,31955,32738,34144,37545,38897,33670,441061
calendar,2007,28,HARVESTER,302,280,281,178,177,143,133,208,205,155,150,263,2475
calendar,2007,29,HEARSES,6,10,14,11,11,9,7,11,22,7,9,31,148
calendar,2007,30,LIBRARY VAN,0,1,0,0,0,0,3,0,0,0,0,0,4
calendar,2007,31,LUXURY CAB,163,244,248,217,216,199,236,241,225,218,237,172,2616
calendar,2007,32,MAXI CAB,2054,2016,2133,1997,2127,2075,2064,2004,1945,2229,2358,2020,25022
calendar,2007,33,M-CYCLE/SCOOTER,435397,435287,470517,419155,485037,433433,438533,434267,394006,441746,625826,450498,5463702
calendar,2007,34,M-CYCLE/SCOOTER-WITH SIDE CAR,167,117,146,127,129,98,135,106,90,108,155,121,1499
calendar,2007,35,MOBILE CANTEEN,1,3,6,6,2,1,4,1,2,13,4,1,44
calendar,2007,36,MOBILE CLINIC,1,4,9,6,1,3,21,3,0,3,8,8,67
calendar,2007,37,MOBILE WORKSHOP,1,2,3,1,2,4,0,2,0,2,0,8,25
