yearType,year,serial,fuel,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2004,1,BIO-CNG/BIO-GAS,0,0,0,0,0,0,1,0,0,0,0,0,1
calendar,2004,2,CNG ONLY,275,276,337,348,231,282,335,277,244,240,277,270,3392
calendar,2004,3,DIESEL,74659,68197,79059,73076,65668,74707,77445,66765,75090,72915,74501,73951,876033
calendar,2004,4,DIESEL/HYBRID,3,2,9,5,7,3,4,3,5,8,4,2,55
calendar,2004,5,ELECTRIC(BOV),52,27,50,57,43,44,48,30,53,55,57,54,570
calendar,2004,6,ETHANOL(E100),2,1,1,0,0,0,0,0,3,0,1,0,8
calendar,2004,7,FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,1,1
calendar,2004,8,LNG,0,0,0,0,0,0,0,0,1,0,0,0,1
calendar,2004,9,LPG ONLY,92,101,147,253,244,292,336,280,345,273,273,220,2856
calendar,2004,10,METHANOL,1,0,0,0,0,0,1,0,0,0,0,1,3
calendar,2004,11,NOT APPLICABLE,4293,4231,5162,4088,3831,4746,5445,4106,4139,3618,3787,4583,52029
calendar,2004,12,PETROL,327647,303145,327272,307521,295239,332498,341912,318518,343869,330293,410678,351651,3990243
calendar,2004,13,PETROL/CNG,6242,5195,5768,5049,4218,4567,5288,4926,5301,5959,6564,5999,65076
calendar,2004,14,PETROL(E20),0,1,1,0,1,1,1,1,1,2,1,1,11
calendar,2004,15,PETROL/HYBRID,0,0,1,1,1,1,3,0,1,1,1,0,10
calendar,2004,16,PETROL/LPG,6555,5621,6523,5436,4790,5458,5634,5086,5965,5434,5947,5102,67551
calendar,2004,17,PETROL/METHANOL,0,0,0,0,0,0,1,0,0,0,0,0,1
calendar,2004,18,PURE EV,0,0,0,1,0,0,0,0,0,0,0,0,1
calendar,2004,19,SOLAR,4,4,2,6,6,3,1,2,2,2,3,3,38
