yearType,year,serial,fuel,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2016,1,CNG ONLY,2902,2652,3010,3046,3508,2948,2735,2320,2442,2324,2077,1395,31359
calendar,2016,2,DIESEL,259048,255003,262682,227134,248118,250625,227127,227246,224087,261526,253053,214917,2910566
calendar,2016,3,DIESEL/HYBRID,236,412,664,872,805,796,1056,1302,1132,1646,984,1453,11358
calendar,2016,4,DUAL DIESEL/CNG,2,3,3,0,0,0,0,3,0,1,2,0,14
calendar,2016,5,ELECTRIC(BOV),1946,2493,4518,3447,4007,5118,4366,4016,4167,6325,4892,4505,49800
calendar,2016,6,ETHANOL(E100),0,1,0,2,0,0,0,0,0,0,0,0,3
calendar,2016,7,FLEX-FUEL(BIO-DIESEL),0,0,0,2,0,0,0,0,0,0,0,0,2
calendar,2016,8,LNG,2,1,1,0,0,0,1,0,0,0,0,0,5
calendar,2016,9,LPG ONLY,350,482,953,362,479,271,159,244,143,174,200,154,3971
calendar,2016,10,NOT APPLICABLE,13818,11718,14052,10356,12430,12513,12719,10608,11380,11229,11288,12987,145098
calendar,2016,11,PETROL,1492510,1515615,1519557,1521569,1625134,1592010,1485326,1449657,1425830,1745828,1917795,1354402,18645233
calendar,2016,12,PETROL/CNG,28235,28176,29092,32293,31156,30418,28456,27995,27944,34063,24875,21462,344165
calendar,2016,13,PETROL(E20),2,0,0,0,2,2,1,1,1,0,1,2,12
calendar,2016,14,PETROL(E20)/CNG,0,4,1,0,1,0,1,1,0,0,1,1,10
calendar,2016,15,PETROL(E20)/LPG,0,0,2,0,1,0,1,0,0,0,0,1,5
calendar,2016,16,PETROL/HYBRID,28,27,27,36,70,81,49,37,45,51,32,54,537
calendar,2016,17,PETROL/LPG,8008,7875,8271,7158,7214,7963,7358,8598,8743,8985,8448,5572,94193
calendar,2016,18,PURE EV,0,0,0,0,0,0,0,2,0,0,2,1,5
calendar,2016,19,SOLAR,16,14,28,20,17,14,21,15,14,26,35,10,230
