yearType,year,serial,vehicle_class,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2014,1,ADAPTED VEHICLE,560,498,477,388,410,554,585,354,660,548,480,568,6082
calendar,2014,2,AGRICULTURAL TRACTOR,48884,39799,45332,35427,42464,46470,48563,38201,35324,30893,55359,56824,523540
calendar,2014,3,AMBULANCE,1060,1017,1063,775,925,988,963,1194,1010,883,971,666,11515
calendar,2014,4,ANIMAL AMBULANCE,3,2,4,3,2,1,1,3,1,0,2,0,22
calendar,2014,5,ARMOURED/SPECIALISED VEHICLE,0,0,0,1,0,0,0,0,0,0,0,3,4
calendar,2014,6,ARTICULATED VEHICLE,486,514,765,1079,807,697,1086,981,1140,970,1096,1042,10663
calendar,2014,7,AUXILIARY TRAILER,0,0,2,0,0,0,1,0,2,0,1,0,6
calendar,2014,8,BREAKDOWN VAN,4,2,2,1,4,4,3,2,1,4,0,5,32
calendar,2014,9,BULLDOZER,2,0,0,0,0,0,1,1,0,0,1,1,6
calendar,2014,10,BUS,3722,3499,3911,3971,4406,5027,5268,4513,4115,3612,3353,3182,48579
calendar,2014,11,CAMPER VAN / TRAILER,17,14,14,12,15,12,15,9,19,13,7,16,163
calendar,2014,12,CAMPER VAN / TRAILER (PRIVATE USE),27,28,32,29,27,18,32,18,36,24,17,22,310
calendar,2014,13,CASH VAN,72,26,6,29,35,32,45,36,46,23,24,17,391
calendar,2014,14,CONSTRUCTION EQUIPMENT VEHICLE,519,460,683,737,471,410,505,459,580,397,439,501,6161
calendar,2014,15,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),24,10,33,14,23,17,21,13,20,15,10,23,223
calendar,2014,16,CRANE MOUNTED VEHICLE,355,326,320,230,279,247,311,273,305,283,310,275,3514
calendar,2014,17,DUMPER,268,244,331,236,248,187,201,158,198,208,317,324,2920
calendar,2014,18,EARTH MOVING EQUIPMENT,704,577,716,581,626,602,645,541,690,571,583,634,7470
calendar,2014,19,EDUCATIONAL INSTITUTION BUS,535,490,715,804,1529,3144,2502,1918,1432,774,725,568,15136
calendar,2014,20,E-RICKSHAW(P),3,8,5,3,8,12,12,11,12,5,2,4,85
calendar,2014,21,E-RICKSHAW WITH CART (G),0,1,0,0,0,0,0,0,1,0,0,0,2
calendar,2014,22,EXCAVATOR (COMMERCIAL),279,209,257,234,186,214,223,169,193,172,250,295,2681
calendar,2014,23,EXCAVATOR (NT),702,631,644,459,489,488,552,477,496,447,499,583,6467
calendar,2014,24,FIRE FIGHTING VEHICLE,37,26,31,33,33,21,25,24,27,25,20,21,323
calendar,2014,25,FIRE TENDERS,3,13,9,5,8,4,7,4,5,1,6,14,79
calendar,2014,26,FORK LIFT,35,42,40,30,54,54,45,47,45,38,54,52,536
calendar,2014,27,GOODS CARRIER,49783,43286,48844,45653,44218,42043,45356,40935,48183,47719,49983,41172,547175
calendar,2014,28,HARVESTER,478,671,653,366,422,339,290,285,470,347,316,310,4947
calendar,2014,29,HEARSES,7,17,10,8,11,4,6,7,4,5,14,6,99
calendar,2014,30,LIBRARY VAN,3,1,1,0,2,1,1,3,0,0,0,2,14
calendar,2014,31,LUXURY CAB,279,249,228,144,162,234,357,272,367,224,259,356,3131
calendar,2014,32,MAXI CAB,4072,3315,3785,3404,3421,3614,3868,3378,3652,3137,3332,2813,41791
calendar,2014,33,M-CYCLE/SCOOTER,1232201,1098931,1235269,1207488,1310668,1252123,1258053,1116600,1186482,1355378,1505743,1123630,14882566
calendar,2014,34,M-CYCLE/SCOOTER-WITH SIDE CAR,3312,2267,2620,2620,1818,1976,1748,2174,2318,2661,2357,1399,27270
calendar,2014,35,MOBILE CANTEEN,1,3,2,2,0,2,1,1,0,2,9,4,27
calendar,2014,36,MOBILE CLINIC,2,2,4,6,7,7,4,7,4,4,7,1,55
calendar,2014,37,MOBILE WORKSHOP,2,3,1,12,6,1,2,3,2,2,3,2,39
calendar,2014,38,MOPED,45134,40929,42977,41790,42278,42167,43862,38330,41908,44455,51806,39317,514953
calendar,2014,39,MOTOR CAB,10371,8260,9484,7708,7745,7931,8150,8076,8749,7595,7879,7869,99817
calendar,2014,40,MOTOR CAR,246395,174175,214293,198784,207483,194165,207056,187755,196942,215028,209152,193545,2444773
calendar,2014,41,MOTOR CARAVAN,0,0,0,1,0,0,0,0,0,0,0,0,1
calendar,2014,42,MOTOR CYCLE/SCOOTER-SIDECAR(T),15,7,16,6,1,6,4,8,8,11,10,6,98
calendar,2014,43,MOTOR CYCLE/SCOOTER-USED FOR HIRE,76,77,84,67,85,81,67,74,77,132,95,81,996
calendar,2014,44,MOTORISED CYCLE (CC > 25CC),2488,2293,2580,2283,2205,1752,3512,2228,2909,2374,3181,2834,30639
calendar,2014,45,OMNI BUS,548,475,477,448,470,496,601,535,494,367,310,370,5591
calendar,2014,46,OMNI BUS (PRIVATE USE),3973,3268,3954,3834,3451,3398,3627,3509,3572,3002,3316,2873,41777
calendar,2014,47,POWER TILLER,3,2,0,1,0,1,2,0,0,2,1,2,14
calendar,2014,48,POWER TILLER (COMMERCIAL),92,64,66,39,49,63,78,67,103,82,70,57,830
calendar,2014,49,PRIVATE SERVICE VEHICLE,189,144,200,141,184,240,178,200,183,142,150,140,2091
calendar,2014,50,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),543,425,727,250,342,448,437,424,434,412,333,349,5124
calendar,2014,51,RECOVERY VEHICLE,29,22,17,22,21,26,19,17,22,12,13,14,234
calendar,2014,52,ROAD ROLLER,13,12,4,10,10,14,9,10,13,10,12,13,130
calendar,2014,53,SCHOOL BUS,0,0,1,2,0,4,5,3,0,0,0,1,16
calendar,2014,54,SEMI-TRAILER (COMMERCIAL),0,0,0,0,0,0,0,1,0,0,0,0,1
calendar,2014,55,THREE WHEELER (GOODS),7575,6485,7234,6296,6724,7106,7343,6366,7345,7306,8117,6682,84579
calendar,2014,56,THREE WHEELER (PASSENGER),29772,26323,31432,26480,31708,37199,40767,38977,45250,38697,39674,31203,417482
calendar,2014,57,THREE WHEELER (PERSONAL),745,696,613,545,574,519,524,547,582,537,490,515,6887
calendar,2014,58,TOWER WAGON,0,2,0,1,1,0,1,3,0,5,1,0,14
calendar,2014,59,TOW TRUCK,10,8,13,11,10,5,11,11,10,7,6,5,107
calendar,2014,60,TRACTOR (COMMERCIAL),7244,6461,8259,5906,6427,7908,10545,6780,7279,6226,8207,7865,89107
calendar,2014,61,TRACTOR-TROLLEY(COMMERCIAL),151,106,140,63,60,96,83,120,106,53,75,98,1151
calendar,2014,62,TRAILER (AGRICULTURAL),6852,6131,7309,5264,6088,5987,6894,9547,5351,3569,4841,4782,72615
calendar,2014,63,TRAILER (COMMERCIAL),3484,3248,4307,2711,2968,3210,3802,3101,3149,2980,4126,4098,41184
calendar,2014,64,TRAILER FOR PERSONAL USE,224,454,324,204,290,259,397,1440,142,26,64,45,3869
calendar,2014,65,TREE TRIMMING VEHICLE,0,1,1,3,1,0,0,0,0,0,1,0,7
calendar,2014,66,VEHICLE FITTED WITH COMPRESSOR,50,58,65,49,35,36,50,31,47,42,52,38,553
calendar,2014,67,VEHICLE FITTED WITH GENERATOR,25,21,20,11,20,23,23,23,21,16,12,21,236
calendar,2014,68,VEHICLE FITTED WITH RIG,150,132,100,87,83,45,65,52,76,86,96,97,1069
calendar,2014,69,X-RAY VAN,0,0,1,0,0,1,0,0,0,0,0,0,2
