yearType,year,serial,state,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2023,1,ANDAMAN & NICOBAR ISLAND,616,596,769,521,658,604,680,811,618,672,857,671,8073
calendar,2023,2,ANDHRA PRADESH,70413,69117,73881,64728,73174,63337,68677,75627,70023,86751,98584,77059,891371
calendar,2023,3,ARUNACHAL PRADESH,1941,1901,2544,2139,2691,2615,2762,2917,2736,2783,3081,2854,30964
calendar,2023,4,ASSAM,56723,52424,60302,49735,52555,47597,48587,48458,51640,70896,58529,55537,652983
calendar,2023,5,BIHAR,82262,96875,112629,101956,145371,111874,90948,78500,88719,90278,176589,112645,1288646
calendar,2023,6,CHANDIGARH,4793,3253,3559,4851,5325,5772,4663,4359,4029,4365,4940,3325,53234
calendar,2023,7,CHHATTISGARH,46437,41786,45571,39971,39471,42099,40166,39330,42010,52086,91797,43845,564569
calendar,2023,8,DELHI,59488,48788,54317,48008,53029,48342,51028,54118,52479,58424,80850,48938,657809
calendar,2023,9,GOA,6692,5955,7822,5505,6101,5457,4929,6605,8758,7886,9127,6452,81289
calendar,2023,10,GUJARAT,113926,131639,135788,133163,126663,123731,164330,142115,189192,221241,207704,132202,1821694
calendar,2023,11,HARYANA,66370,62998,68072,69414,69348,68344,36819,73985,79465,68739,75374,96911,835839
calendar,2023,12,HIMACHAL PRADESH,9675,9818,9373,10086,10157,10193,10570,10636,10365,8673,11406,16869,127821
calendar,2023,13,JAMMU AND KASHMIR,10001,11304,15866,12317,16665,15272,16897,16989,15426,13863,16375,10662,171637
calendar,2023,14,JHARKHAND,35640,39973,48232,44716,50222,45435,41915,36724,40792,43313,75740,42303,545005
calendar,2023,15,KARNATAKA,139352,127602,154317,131591,136142,148332,137873,148522,150176,155373,182794,134530,1746604
calendar,2023,16,KERALA,65189,59527,81568,46831,61671,58268,56835,75561,78835,60537,57852,56647,759321
calendar,2023,17,LADAKH,202,130,184,552,825,775,628,512,414,331,317,273,5143
calendar,2023,18,LAKSHADWEEP,62,38,61,66,91,42,41,25,36,31,45,79,617
calendar,2023,19,MADHYA PRADESH,115390,109159,139776,83799,127054,113222,103721,106547,103340,132124,243947,120394,1498473
calendar,2023,20,MAHARASHTRA,223934,188823,226277,193934,186773,182250,185965,197088,199779,242666,305780,230153,2563422
calendar,2023,21,MANIPUR,4413,4129,4576,4684,766,579,1700,1447,708,1349,1131,1245,26727
calendar,2023,22,MEGHALAYA,3096,2576,3757,3010,3433,3305,3502,3735,3580,3618,3792,2948,40352
calendar,2023,23,MIZORAM,2336,2235,2251,2022,2183,2323,2359,2509,2206,2671,2772,2804,28671
calendar,2023,24,NAGALAND,1853,2119,2970,2508,2329,2050,2232,2292,2326,2466,2499,1687,27331
calendar,2023,25,ODISHA,59965,60329,65657,55053,56818,54872,50848,48657,58290,87495,78705,63119,739808
calendar,2023,26,PUDUCHERRY,5468,4141,4762,3875,4740,4584,4822,5199,4349,4836,4762,3755,55293
calendar,2023,27,PUNJAB,48875,51795,56078,43391,50067,55807,48436,50695,53613,50836,66942,64579,641114
calendar,2023,28,RAJASTHAN,101886,97472,128850,100817,118803,108074,113556,113154,120161,149116,238569,134869,1525327
calendar,2023,29,SIKKIM,936,733,1051,952,1016,1014,831,966,1089,801,902,718,11009
calendar,2023,30,TAMIL NADU,172748,150970,158868,127958,142660,159466,154534,167305,151979,173586,153144,112891,1826109
calendar,2023,31,TELANGANA,82423,74994,78896,72938,74084,75807,74460,83852,76792,74347,92931,90472,951996
calendar,2023,32,TRIPURA,4072,4111,4344,3713,4860,4103,4648,4757,4611,5619,6749,5107,56694
calendar,2023,33,UT OF DNH AND DD,1554,1663,1893,1478,1612,1527,1740,1467,1786,2571,2433,2577,22301
calendar,2023,34,UTTARAKHAND,20004,17069,20070,19791,21998,20248,19515,19411,18991,20560,32181,27077,256915
calendar,2023,35,UTTAR PRADESH,254344,260705,285525,267349,376407,298878,235605,225089,219822,243435,483086,294174,3444419
calendar,2023,36,WEST BENGAL,66090,80360,88343,66965,91311,78313,80622,79044,72846,81186,112384,104787,1002251
