yearType,year,serial,state,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2022,1,ANDAMAN & NICOBAR ISLAND,471,536,535,615,511,581,569,613,673,611,639,698,7052
calendar,2022,2,ANDHRA PRADESH,76793,68199,68796,72539,65476,55038,57824,71255,71348,90813,85428,64903,848412
calendar,2022,3,ARUNACHAL PRADESH,1907,1779,2093,2168,2545,2659,2484,2450,2272,1824,2535,2030,26746
calendar,2022,4,ASSAM,36772,37873,45101,39743,42269,33523,39858,40744,48233,51766,48659,51420,515961
calendar,2022,5,BIHAR,67202,74206,104453,97366,129308,96310,79821,82918,76691,110868,132562,78126,1129831
calendar,2022,6,CHANDIGARH,2928,3283,4362,4184,4342,4061,5052,4043,4313,5866,4357,4068,50859
calendar,2022,7,CHHATTISGARH,41850,37475,41166,41111,37898,38158,36843,31869,32368,71472,53884,36951,501045
calendar,2022,8,DELHI,42400,42678,47844,51711,47377,46461,51730,51973,44729,76225,62547,42277,607952
calendar,2022,9,GOA,4443,4581,6094,5434,4885,4587,4569,7150,5955,8808,7351,6959,70816
calendar,2022,10,GUJARAT,91169,103574,118891,127993,102049,121121,121246,110672,122269,173778,225315,151220,1569297
calendar,2022,11,HARYANA,55506,50664,59799,58086,61278,57861,58111,61831,49516,69989,90783,66416,739840
calendar,2022,12,HIMACHAL PRADESH,7313,8692,8122,8964,10069,10248,10422,10062,8029,10065,15382,11934,119302
calendar,2022,13,JAMMU AND KASHMIR,9173,11394,12958,14992,16347,14360,15974,15973,14691,15412,10498,11098,162870
calendar,2022,14,JHARKHAND,31621,34387,47056,43122,46237,40134,40766,32873,31165,59698,49296,35278,491633
calendar,2022,15,KARNATAKA,110296,106523,130975,140662,117078,130385,113432,127614,129575,159437,152179,114057,1532213
calendar,2022,16,KERALA,67326,59595,71812,62238,59947,64880,56708,76493,77627,65563,60401,61596,784186
calendar,2022,17,LADAKH,267,115,161,565,944,1095,770,608,347,431,452,282,6037
calendar,2022,18,LAKSHADWEEP,84,56,45,19,104,56,24,23,27,38,44,88,608
calendar,2022,19,MADHYA PRADESH,101018,92533,104685,96416,121874,109309,110775,132025,73730,169037,159760,95785,1366947
calendar,2022,20,MAHARASHTRA,197829,170485,197515,191790,177847,172958,167444,180566,181170,268308,269743,197863,2373518
calendar,2022,21,MANIPUR,4567,5881,4493,2370,3361,4629,5140,4491,3542,3483,7451,5943,55351
calendar,2022,22,MEGHALAYA,2569,2475,3362,2761,3274,2795,2777,3320,3217,3166,3193,2712,35621
calendar,2022,23,MIZORAM,1973,2257,2534,2129,2286,2298,1885,2648,2178,2186,2173,2455,27002
calendar,2022,24,NAGALAND,1994,2135,2212,2475,2178,2136,2103,2587,2428,1885,2103,1723,25959
calendar,2022,25,ODISHA,56072,50896,58718,54628,48615,50224,43210,40720,46594,84077,49881,50156,633791
calendar,2022,26,PUDUCHERRY,4850,4078,4790,3794,3906,4192,4053,4621,4692,4342,3827,3154,50299
calendar,2022,27,PUNJAB,42708,38686,47874,45695,45764,42252,40916,46475,40050,51670,60105,54071,556266
calendar,2022,28,RAJASTHAN,78750,86081,92736,101607,110209,90050,94378,89264,82618,175368,198277,89423,1288761
calendar,2022,29,SIKKIM,742,855,942,934,971,1000,908,879,1082,735,886,624,10558
calendar,2022,30,TAMIL NADU,155288,136797,159016,135595,132795,142465,131972,152695,155023,139463,151718,107905,1700732
calendar,2022,31,TELANGANA,72152,68576,77322,68885,69912,75281,73447,67663,77042,79468,99074,78532,907354
calendar,2022,32,TRIPURA,4174,3747,5120,4121,3941,4066,3920,3871,5440,4670,4750,4878,52698
calendar,2022,33,UT OF DNH AND DD,1732,1605,1476,1595,1409,1424,1344,1342,1366,1525,2210,1819,18847
calendar,2022,34,UTTARAKHAND,16159,14559,17404,18781,18699,19140,18399,18110,14237,26488,32545,16503,231024
calendar,2022,35,UTTAR PRADESH,233982,218497,242285,287988,334345,257858,214789,190866,152426,333484,351161,195951,3013632
calendar,2022,36,WEST BENGAL,74158,69684,88889,82762,81993,81896,76704,77005,81540,59832,116077,81566,972106
