yearType,year,serial,fuel,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2005,1,CNG ONLY,243,337,495,488,400,572,554,455,571,585,341,616,5657
calendar,2005,2,DIESEL,84779,84382,97631,79524,79399,79932,79417,78589,86526,89417,82392,84867,1006855
calendar,2005,3,DIESEL/HYBRID,3,6,4,6,2,4,8,9,15,3,6,7,73
calendar,2005,4,DUAL DIESEL/LNG,1,0,0,0,0,0,0,0,0,0,0,0,1
calendar,2005,5,ELECTRIC(BOV),62,72,82,84,94,117,114,134,110,113,84,73,1139
calendar,2005,6,ETHANOL(E100),0,0,0,0,0,0,0,1,2,0,0,0,3
calendar,2005,7,FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,1,1
calendar,2005,8,LNG,0,0,0,0,0,0,0,0,0,0,1,0,1
calendar,2005,9,LPG ONLY,252,281,356,323,308,313,360,214,219,257,218,178,3279
calendar,2005,10,METHANOL,2,0,0,0,0,0,0,1,0,0,0,0,3
calendar,2005,11,NOT APPLICABLE,4034,4901,6709,5136,5080,4419,4575,4703,5344,5151,5129,6259,61440
calendar,2005,12,PETROL,372596,374894,395522,354133,398915,392907,354484,368362,375747,441614,457918,384485,4671577
calendar,2005,13,PETROL/CNG,6036,6258,7080,5744,6124,5831,6474,7041,6664,9341,6732,6980,80305
calendar,2005,14,PETROL(E20),0,1,1,1,1,2,1,2,1,0,5,1,16
calendar,2005,15,PETROL(E20)/LPG,0,1,0,0,0,0,0,0,0,0,0,0,1
calendar,2005,16,PETROL/HYBRID,1,1,0,0,0,1,0,0,0,1,0,1,5
calendar,2005,17,PETROL/LPG,5809,5534,6127,5526,5292,5491,5763,6210,5542,6340,5390,4726,67750
calendar,2005,18,PETROL/METHANOL,0,0,0,0,0,0,0,0,0,0,1,0,1
calendar,2005,19,PURE EV,0,0,0,0,1,0,0,0,0,0,0,0,1
calendar,2005,20,SOLAR,4,14,3,4,3,2,2,5,5,4,6,5,57
