yearType,year,serial,vehicle_class,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2018,1,ADAPTED VEHICLE,1298,1040,1767,1423,1392,2298,2204,1153,1102,1284,902,1115,16978
calendar,2018,2,AGRICULTURAL TRACTOR,43916,43944,52478,43009,46040,47929,63400,48000,38657,42839,41148,56327,567687
calendar,2018,3,AMBULANCE,875,684,863,734,666,642,621,444,358,396,765,540,7588
calendar,2018,4,ANIMAL AMBULANCE,2,2,3,7,3,4,4,0,0,5,2,2,34
calendar,2018,5,ARMOURED/SPECIALISED VEHICLE,0,0,0,1,0,0,0,0,0,1,0,0,2
calendar,2018,6,ARTICULATED VEHICLE,3393,3292,4195,2793,1536,1292,1805,2081,2218,2952,2285,1596,29438
calendar,2018,7,AUXILIARY TRAILER,151,209,194,118,115,144,135,103,128,97,137,299,1830
calendar,2018,8,BREAKDOWN VAN,10,2,4,4,7,5,5,5,8,5,9,7,71
calendar,2018,9,BULLDOZER,0,2,0,0,0,1,1,1,2,1,0,0,8
calendar,2018,10,BUS,3665,3526,4112,4708,4784,5823,5037,4309,4057,4387,3705,3469,51582
calendar,2018,11,CAMPER VAN / TRAILER,150,97,93,135,94,82,131,82,105,150,107,203,1429
calendar,2018,12,CAMPER VAN / TRAILER (PRIVATE USE),27,48,45,42,37,41,24,28,35,25,41,28,421
calendar,2018,13,CASH VAN,29,32,15,25,25,18,44,17,10,7,34,20,276
calendar,2018,14,CONSTRUCTION EQUIPMENT VEHICLE,1468,1792,2357,2105,2172,1806,2197,1921,2017,2587,2605,2399,25426
calendar,2018,15,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),50,80,48,55,43,40,42,45,43,64,62,70,642
calendar,2018,16,CRANE MOUNTED VEHICLE,398,417,402,378,390,377,381,428,440,437,422,620,5090
calendar,2018,17,DUMPER,869,824,981,783,830,659,832,695,646,995,1160,1063,10337
calendar,2018,18,EARTH MOVING EQUIPMENT,1218,1385,1353,1402,1400,1273,1378,941,904,904,856,998,14012
calendar,2018,19,EDUCATIONAL INSTITUTION BUS,835,943,1474,1928,3611,4743,4011,2830,1949,1546,966,987,25823
calendar,2018,20,E-RICKSHAW(P),8446,6850,6854,6384,7186,7427,9654,9732,10911,12063,10210,12162,107879
calendar,2018,21,E-RICKSHAW WITH CART (G),191,192,173,250,196,197,272,250,189,249,296,358,2813
calendar,2018,22,EXCAVATOR (COMMERCIAL),599,618,684,666,640,484,472,336,417,475,490,547,6428
calendar,2018,23,EXCAVATOR (NT),867,900,1028,903,962,885,889,593,556,669,782,877,9911
calendar,2018,24,FIRE FIGHTING VEHICLE,36,42,35,47,24,31,20,26,44,31,39,21,396
calendar,2018,25,FIRE TENDERS,8,26,36,30,12,15,19,12,12,27,31,15,243
calendar,2018,26,FORK LIFT,74,112,82,127,116,110,145,131,76,122,86,132,1313
calendar,2018,27,GOODS CARRIER,76588,74884,80079,79401,72446,63710,66620,65305,70840,79861,76738,71213,877685
calendar,2018,28,HARVESTER,490,463,622,473,506,410,263,344,416,728,452,513,5680
calendar,2018,29,HEARSES,6,9,14,9,8,11,67,25,8,6,6,5,174
calendar,2018,30,LIBRARY VAN,0,0,1,0,1,3,2,0,2,0,0,1,10
calendar,2018,31,LUXURY CAB,844,883,848,1098,865,621,517,704,753,786,792,949,9660
calendar,2018,32,MAXI CAB,2665,2727,3152,3355,3201,3176,3216,3160,2798,2821,2880,2343,35494
calendar,2018,33,M-CYCLE/SCOOTER,1555320,1434771,1662287,1633819,1815220,1631872,1628774,1493127,1467498,1514925,1891503,1681526,19410642
calendar,2018,34,M-CYCLE/SCOOTER-WITH SIDE CAR,906,901,834,1066,1339,1903,1539,1748,1687,1697,2366,1520,17506
calendar,2018,35,MOBILE CANTEEN,2,4,2,3,3,6,1,3,1,3,2,1,31
calendar,2018,36,MOBILE CLINIC,5,6,5,9,12,3,6,3,8,4,3,5,69
calendar,2018,37,MOBILE WORKSHOP,1,3,1,2,4,3,3,4,3,2,5,2,33
calendar,2018,38,MOPED,51864,47823,50639,48661,50989,49614,52489,45620,50124,48238,51332,54278,601671
calendar,2018,39,MOTOR CAB,13221,11169,14237,12773,12875,13635,14460,14642,14048,12760,12334,10943,157097
calendar,2018,40,MOTOR CAR,313679,242758,276701,262427,268806,244718,247483,238227,230612,254101,286009,254326,3119847
calendar,2018,41,MOTOR CYCLE/SCOOTER-SIDECAR(T),133,228,76,31,165,347,33,73,66,57,62,73,1344
calendar,2018,42,MOTOR CYCLE/SCOOTER-USED FOR HIRE,635,643,740,711,1157,1283,1205,1382,2781,1709,1371,1387,15004
calendar,2018,43,MOTOR CYCLE/SCOOTER-WITH TRAILER,0,0,2,0,0,0,0,0,0,0,0,1,3
calendar,2018,44,MOTORISED CYCLE (CC > 25CC),19141,18105,26780,27286,26371,26956,33833,31173,30177,30228,38089,33141,341280
calendar,2018,45,OMNI BUS,418,379,455,518,449,446,442,444,606,428,383,381,5349
calendar,2018,46,OMNI BUS (PRIVATE USE),2765,2626,2758,2539,2578,2343,2380,3598,2787,2106,2515,2648,31643
calendar,2018,47,POWER TILLER,0,3,0,2,0,1,19,20,15,20,7,4,91
calendar,2018,48,POWER TILLER (COMMERCIAL),13,20,35,38,21,19,1,0,0,0,0,0,147
calendar,2018,49,PRIVATE SERVICE VEHICLE,255,168,312,298,280,248,318,216,216,202,171,189,2873
calendar,2018,50,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),451,376,429,401,395,350,411,342,403,365,261,300,4484
calendar,2018,51,PULLER TRACTOR,0,0,1,0,0,0,0,0,0,0,0,0,1
calendar,2018,52,QUADRICYCLE (COMMERCIAL),0,0,0,0,0,0,0,0,0,0,1,0,1
calendar,2018,53,QUADRICYCLE (PRIVATE),0,0,0,0,0,0,0,1,0,2,1,0,4
calendar,2018,54,RECOVERY VEHICLE,20,23,15,26,24,14,41,14,13,25,18,44,277
calendar,2018,55,ROAD ROLLER,45,50,50,59,77,36,42,36,28,49,46,42,560
calendar,2018,56,SCHOOL BUS,0,0,0,0,1,0,0,0,0,0,1,1,3
calendar,2018,57,SEMI-TRAILER (COMMERCIAL),0,32,0,0,0,0,0,0,0,0,0,0,32
calendar,2018,58,SNORKED LADDERS,0,1,1,0,0,0,0,0,0,0,0,1,3
calendar,2018,59,THREE WHEELER (GOODS),9872,10102,10903,9680,9912,9414,10023,9468,9895,11200,11054,11159,122682
calendar,2018,60,THREE WHEELER (PASSENGER),51573,51663,53491,50028,48400,46044,48017,46054,46144,50033,46469,43544,581460
calendar,2018,61,THREE WHEELER (PERSONAL),200,168,171,185,176,189,157,187,186,186,181,139,2125
calendar,2018,62,TOWER WAGON,0,0,0,0,1,1,0,1,0,1,3,0,7
calendar,2018,63,TOW TRUCK,21,12,8,15,11,15,14,13,12,13,8,15,157
calendar,2018,64,TRACTOR (COMMERCIAL),11335,10706,13329,11108,11090,12030,12916,11427,9909,11589,12336,16999,144774
calendar,2018,65,TRACTOR-TROLLEY(COMMERCIAL),393,315,314,268,253,204,189,159,120,180,184,225,2804
calendar,2018,66,TRAILER (AGRICULTURAL),5728,5932,5924,6129,5320,5133,4809,3711,3786,4362,4392,4588,59814
calendar,2018,67,TRAILER (COMMERCIAL),5692,5142,5816,5526,5691,5106,5100,4605,4938,6217,6524,7879,68236
calendar,2018,68,TRAILER FOR PERSONAL USE,8,8,5,3,11,8,3,1,2,1,0,3,53
calendar,2018,69,TREE TRIMMING VEHICLE,1,0,0,1,2,0,0,0,0,0,0,0,4
calendar,2018,70,VEHICLE FITTED WITH COMPRESSOR,53,58,56,66,43,27,36,26,48,51,45,48,557
calendar,2018,71,VEHICLE FITTED WITH GENERATOR,23,17,26,25,3,21,16,20,12,12,15,10,200
calendar,2018,72,VEHICLE FITTED WITH RIG,162,145,93,104,97,58,80,60,113,89,116,71,1188
calendar,2018,73,X-RAY VAN,1,1,4,0,2,0,0,1,0,0,0,0,9
