yearType,year,serial,vehicle_class,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2003,1,ADAPTED VEHICLE,22,18,14,19,15,18,13,16,24,20,23,20,222
calendar,2003,2,AGRICULTURAL TRACTOR,9334,8591,10697,7740,8349,8945,9083,7054,7832,7602,8144,9881,103252
calendar,2003,3,AMBULANCE,143,170,148,147,169,150,199,185,164,174,152,149,1950
calendar,2003,4,ANIMAL AMBULANCE,1,1,0,0,2,2,0,1,2,0,4,1,14
calendar,2003,5,ARMOURED/SPECIALISED VEHICLE,1,1,0,0,0,0,0,0,0,0,0,0,2
calendar,2003,6,ARTICULATED VEHICLE,208,236,283,203,292,291,247,286,354,321,279,280,3280
calendar,2003,7,AUXILIARY TRAILER,0,0,2,0,0,1,0,0,1,0,1,0,5
calendar,2003,8,BREAKDOWN VAN,2,4,4,0,5,0,3,4,6,3,3,2,36
calendar,2003,9,BULLDOZER,0,0,1,0,1,0,1,0,0,0,0,3,6
calendar,2003,10,BUS,2185,1894,2103,1942,2026,2058,2122,2074,2421,2483,2288,2220,25816
calendar,2003,11,CAMPER VAN / TRAILER,12,4,5,12,11,5,4,10,5,7,8,16,99
calendar,2003,12,CAMPER VAN / TRAILER (PRIVATE USE),3,9,7,7,8,6,3,7,7,5,5,7,74
calendar,2003,13,CASH VAN,6,6,10,2,6,9,6,3,3,2,6,8,67
calendar,2003,14,CONSTRUCTION EQUIPMENT VEHICLE,56,49,76,55,56,64,63,65,70,63,68,54,739
calendar,2003,15,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),0,0,0,1,1,0,0,3,0,0,2,0,7
calendar,2003,16,CRANE MOUNTED VEHICLE,126,92,255,80,89,80,135,120,146,138,142,150,1553
calendar,2003,17,DUMPER,52,42,64,35,20,39,22,33,39,45,54,53,498
calendar,2003,18,EARTH MOVING EQUIPMENT,107,100,162,89,82,96,88,112,105,79,88,87,1195
calendar,2003,19,EDUCATIONAL INSTITUTION BUS,351,349,490,355,522,809,757,541,523,430,324,341,5792
calendar,2003,20,E-RICKSHAW(P),1,3,5,4,1,2,0,3,1,2,4,1,27
calendar,2003,21,E-RICKSHAW WITH CART (G),0,0,0,0,0,0,0,0,0,1,0,0,1
calendar,2003,22,EXCAVATOR (COMMERCIAL),54,36,46,28,26,29,39,31,45,32,47,38,451
calendar,2003,23,EXCAVATOR (NT),79,88,106,78,84,94,113,116,140,110,119,77,1204
calendar,2003,24,FIRE FIGHTING VEHICLE,4,4,9,5,10,6,3,11,1,7,19,3,82
calendar,2003,25,FIRE TENDERS,4,8,1,6,1,20,14,3,5,2,5,9,78
calendar,2003,26,FORK LIFT,14,9,36,7,16,4,14,62,16,19,12,13,222
calendar,2003,27,GOODS CARRIER,17154,16025,17685,14554,14367,15283,16427,16706,19048,20887,19317,17647,205100
calendar,2003,28,HARVESTER,58,93,108,69,56,43,33,54,103,67,55,116,855
calendar,2003,29,HEARSES,5,1,2,3,5,4,6,3,9,8,6,5,57
calendar,2003,30,LIBRARY VAN,1,0,2,0,0,1,2,2,0,1,1,0,10
calendar,2003,31,LUXURY CAB,105,97,106,94,88,116,117,103,117,113,108,94,1258
calendar,2003,32,MAXI CAB,1170,1124,1345,1242,1178,1236,1339,1486,1438,1635,1432,1395,16020
calendar,2003,33,M-CYCLE/SCOOTER,224910,217431,217151,207293,234664,239387,241448,231936,229021,284841,266147,209679,2803908
calendar,2003,34,M-CYCLE/SCOOTER-WITH SIDE CAR,153,139,116,118,302,137,113,178,215,174,298,296,2239
calendar,2003,35,MOBILE CANTEEN,3,1,1,1,2,0,2,2,0,0,0,2,14
calendar,2003,36,MOBILE CLINIC,6,2,6,1,7,2,4,2,5,3,6,3,47
calendar,2003,37,MOBILE WORKSHOP,7,4,3,1,1,1,0,1,0,0,3,0,21
calendar,2003,38,MOPED,6610,5958,5720,5181,6128,6265,7106,6783,5968,7027,6412,5339,74497
calendar,2003,39,MOTOR CAB,2169,2513,2113,1670,1904,1943,2216,2259,2461,2524,2052,1742,25566
calendar,2003,40,MOTOR CAR,58393,50604,65071,52445,59160,57516,61533,57321,59205,65101,58627,56556,701532
