yearType,year,serial,fuel,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2009,1,CNG ONLY,2420,2297,2223,2223,1802,2073,2286,2170,2074,2649,2295,2415,26927
calendar,2009,2,DIESEL,112841,116173,139279,119828,126669,138107,146329,131733,139325,164971,149688,138150,1623093
calendar,2009,3,DIESEL/HYBRID,3,5,3,1,3,6,7,3,7,1,3,3,45
calendar,2009,4,DUAL DIESEL/CNG,0,0,2,0,0,0,0,0,0,0,0,1,3
calendar,2009,5,ELECTRIC(BOV),1018,897,725,670,554,528,588,464,487,609,489,413,7442
calendar,2009,6,ETHANOL(E100),1,0,0,0,0,0,0,0,0,0,0,0,1
calendar,2009,7,FLEX-FUEL(ETHANOL),0,0,0,0,0,0,0,0,0,1,0,0,1
calendar,2009,8,FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,1,0,0,1
calendar,2009,9,LNG,0,0,1,0,0,0,1,0,0,0,0,0,2
calendar,2009,10,LPG ONLY,480,417,770,637,593,730,794,1007,1105,1527,2138,2515,12713
calendar,2009,11,NOT APPLICABLE,6302,5982,7160,5447,5516,5713,6288,5495,6112,5893,6391,6040,72339
calendar,2009,12,PETROL,657819,600727,622560,602181,643256,678955,692314,640861,646139,867448,758038,682722,8093020
calendar,2009,13,PETROL/CNG,13351,12045,12339,11231,12028,11842,11872,12049,12543,16390,12930,11574,150194
calendar,2009,14,PETROL(E20),7,5,5,3,3,13,5,6,6,13,6,12,84
calendar,2009,15,PETROL(E20)/LPG,0,0,1,0,0,0,0,0,0,0,1,0,2
calendar,2009,16,PETROL/HYBRID,0,2,2,0,0,1,1,0,2,2,1,1,12
calendar,2009,17,PETROL/LPG,11013,9624,10131,8409,8586,9700,10361,9161,9618,11847,10137,8650,117237
calendar,2009,18,PURE EV,0,0,0,0,0,0,1,0,1,0,0,0,2
calendar,2009,19,SOLAR,3,7,9,6,5,5,7,5,6,7,2,4,66
