yearType,year,serial,vehicle_class,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2022,1,ADAPTED VEHICLE,889,1419,2351,2507,1753,1354,1628,1281,927,793,935,1145,16982
calendar,2022,2,AGRICULTURAL TRACTOR,63201,55943,71194,51045,60187,64735,69125,59911,54800,54868,72626,73004,750639
calendar,2022,3,AMBULANCE,1159,837,1502,1194,1242,1453,890,1607,969,588,898,786,13125
calendar,2022,4,ANIMAL AMBULANCE,11,227,110,14,6,5,6,5,17,5,6,8,420
calendar,2022,5,ARMOURED/SPECIALISED VEHICLE,0,3,14,35,41,63,1,6,0,18,4,4,189
calendar,2022,6,ARTICULATED VEHICLE,1444,1424,1797,2169,1614,1495,1486,1392,1718,2407,2167,1951,21064
calendar,2022,7,AUXILIARY TRAILER,0,5,0,1,0,0,0,4,0,1,0,0,11
calendar,2022,8,BREAKDOWN VAN,1,1,1,3,2,1,1,2,0,1,2,0,15
calendar,2022,9,BULLDOZER,0,0,0,0,0,0,0,0,0,0,1,0,1
calendar,2022,10,BUS,1436,1558,1594,2020,2033,2756,3233,2954,2902,2603,2840,2757,28686
calendar,2022,11,CAMPER VAN / TRAILER,40,38,41,43,50,37,51,59,31,35,53,78,556
calendar,2022,12,CAMPER VAN / TRAILER (PRIVATE USE),54,43,62,71,95,121,92,76,37,63,62,44,820
calendar,2022,13,CASH VAN,491,277,150,157,189,58,297,192,313,43,70,58,2295
calendar,2022,14,CONSTRUCTION EQUIPMENT VEHICLE,2078,2185,2835,2541,2285,2574,2274,1853,2355,2500,3111,2953,29544
calendar,2022,15,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),481,379,414,455,433,443,409,363,376,532,500,561,5346
calendar,2022,16,CRANE MOUNTED VEHICLE,522,491,703,575,579,516,497,463,450,453,552,542,6343
calendar,2022,17,DUMPER,915,891,1185,880,934,804,669,649,723,902,1150,1012,10714
calendar,2022,18,EARTH MOVING EQUIPMENT,536,621,768,783,706,682,594,580,636,836,868,735,8345
calendar,2022,19,EDUCATIONAL INSTITUTION BUS,284,311,377,700,1221,2578,2766,2622,1727,1125,999,845,15555
calendar,2022,20,E-RICKSHAW(P),17030,16599,20682,18439,20960,24240,27029,29266,33694,31612,35653,30923,306127
calendar,2022,21,E-RICKSHAW WITH CART (G),1346,1760,2311,1600,1813,1840,1996,1450,1782,2020,1949,1962,21829
calendar,2022,22,EXCAVATOR (COMMERCIAL),59,69,94,65,64,67,68,62,67,46,54,31,746
calendar,2022,23,EXCAVATOR (NT),531,535,616,465,421,385,342,368,498,578,614,743,6096
calendar,2022,24,FIRE FIGHTING VEHICLE,16,11,68,69,38,72,71,67,27,22,46,56,563
calendar,2022,25,FIRE TENDERS,5,14,14,12,49,14,7,12,15,7,15,18,182
calendar,2022,26,FORK LIFT,132,135,157,133,112,138,134,109,120,102,110,106,1488
calendar,2022,27,GOODS CARRIER,65902,62485,75636,75373,63645,62813,61476,62701,67501,70870,76030,63387,807819
calendar,2022,28,HARVESTER,741,1241,2063,898,703,534,487,586,849,592,728,1264,10686
calendar,2022,29,HEARSES,7,6,6,5,8,13,9,11,8,4,6,15,98
calendar,2022,30,LIBRARY VAN,0,2,3,1,1,4,0,0,0,1,0,1,13
calendar,2022,31,LUXURY CAB,153,164,201,160,198,231,247,311,382,131,361,112,2651
calendar,2022,32,MAXI CAB,515,460,690,831,924,1067,1296,1462,1334,1179,1161,858,11777
calendar,2022,33,M-CYCLE/SCOOTER,1161488,1111838,1289658,1327500,1367181,1229147,1135543,1175659,1079758,1708463,1854446,1141795,15582476
calendar,2022,34,M-CYCLE/SCOOTER-WITH SIDE CAR,751,805,1045,984,1094,877,824,1772,1228,1692,2082,944,14098
calendar,2022,35,MOBILE CANTEEN,7,2,1,6,21,4,5,10,6,5,4,13,84
calendar,2022,36,MOBILE CLINIC,9,9,20,19,19,41,12,9,32,13,17,10,210
calendar,2022,37,MOBILE WORKSHOP,11,6,4,4,4,6,2,6,2,2,0,1,48
calendar,2022,38,MODULAR HYDRAULIC TRAILER,0,1,2,0,0,0,0,0,0,0,0,0,3
calendar,2022,39,MOPED,26048,26126,30293,30022,28992,29268,27396,27907,27731,39523,38953,25518,357777
calendar,2022,40,MOTOR CAB,7031,5730,7901,8098,8892,9524,11352,12017,12989,13824,13922,13757,125037
calendar,2022,41,MOTOR CAR,285682,264020,296373,288536,289199,284562,273869,294528,279160,358322,309497,285086,3508834
calendar,2022,42,MOTOR CYCLE/SCOOTER-SIDECAR(T),9,7,16,4,101,4,9,12,8,17,13,5,205
calendar,2022,43,MOTOR CYCLE/SCOOTER-USED FOR HIRE,1062,1067,864,1593,1574,1791,1235,2003,1421,2254,2523,2109,19496
calendar,2022,44,MOTOR CYCLE/SCOOTER-WITH TRAILER,0,0,0,1,0,0,0,0,0,0,1,0,2
calendar,2022,45,MOTORISED CYCLE (CC > 25CC),13830,13609,16602,14902,14725,16185,18822,18380,18282,26797,27105,18576,217815
calendar,2022,46,OMNI BUS,52,71,92,110,117,148,116,136,164,179,180,199,1564
calendar,2022,47,OMNI BUS (PRIVATE USE),478,372,509,631,550,434,469,460,409,306,257,185,5060
calendar,2022,48,POWER TILLER,3,1,1,4,1,3,0,0,0,0,2,0,15
calendar,2022,49,POWER TILLER (COMMERCIAL),0,0,0,1,0,0,0,0,0,0,0,0,1
calendar,2022,50,PRIVATE SERVICE VEHICLE,153,145,172,226,200,190,281,213,313,309,285,358,2845
calendar,2022,51,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),50,48,90,79,54,59,68,76,70,67,31,27,719
calendar,2022,52,PULLER TRACTOR,0,0,0,0,0,0,0,0,0,0,2,0,2
calendar,2022,53,QUADRICYCLE (COMMERCIAL),4,1,7,10,17,17,17,32,35,45,45,42,272
calendar,2022,54,QUADRICYCLE (PRIVATE),0,0,1,3,5,10,8,3,8,6,4,6,54
calendar,2022,55,RECOVERY VEHICLE,16,11,18,9,14,22,20,7,16,11,11,15,170
calendar,2022,56,ROAD ROLLER,19,10,31,21,26,23,22,8,15,20,33,36,264
calendar,2022,57,SEMI-TRAILER (COMMERCIAL),0,1,0,0,0,5,0,0,0,0,1,0,7
calendar,2022,58,SNORKED LADDERS,0,0,0,0,0,0,0,0,0,0,1,0,1
calendar,2022,59,THREE WHEELER (GOODS),7529,7864,9230,8355,7425,7958,7127,7596,7644,8645,10127,8860,98360
calendar,2022,60,THREE WHEELER (PASSENGER),19418,17617,21372,18822,16166,17562,19920,24176,28659,33022,36615,30933,284282
calendar,2022,61,THREE WHEELER (PERSONAL),73,52,98,68,59,59,47,64,63,51,57,50,741
calendar,2022,62,TOWER WAGON,3,2,2,3,3,4,1,0,1,1,0,0,20
calendar,2022,63,TOW TRUCK,6,9,7,16,8,8,26,11,10,2,1,7,111
calendar,2022,64,TRACTOR (COMMERCIAL),7017,6948,8989,5794,6335,8376,8414,6696,7986,6078,8838,7743,89214
