yearType,year,serial,fuel,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2006,1,BIO-CNG/BIO-GAS,0,0,0,0,0,0,0,0,0,0,0,1,1
calendar,2006,2,CNG ONLY,625,473,566,630,590,678,887,1286,1342,1192,1611,2069,11949
calendar,2006,3,DIESEL,105039,105619,123533,97948,104142,108284,103717,102694,107549,103677,120802,100262,1283266
calendar,2006,4,DIESEL/HYBRID,7,6,4,7,2,6,10,6,3,1,2,4,58
calendar,2006,5,DUAL DIESEL/CNG,0,1,0,0,0,0,1,0,0,0,0,0,2
calendar,2006,6,ELECTRIC(BOV),89,101,102,92,97,185,164,184,218,106,138,106,1582
calendar,2006,7,ETHANOL(E100),1,0,0,0,0,0,0,0,1,0,1,0,3
calendar,2006,8,FUEL CELL HYDROGEN,0,0,1,0,0,0,0,0,0,0,0,0,1
calendar,2006,9,LNG,0,0,0,0,0,0,0,0,0,0,1,1,2
calendar,2006,10,LPG ONLY,224,218,297,165,246,318,335,321,302,320,335,291,3372
calendar,2006,11,METHANOL,0,0,0,0,0,2,1,0,0,2,1,0,6
calendar,2006,12,NOT APPLICABLE,5922,6416,8308,5914,5734,6108,5937,5440,6321,5775,6802,5648,74325
calendar,2006,13,PETROL,453584,449797,497342,422048,489416,496840,437610,459022,454737,539583,612983,415463,5728425
calendar,2006,14,PETROL/CNG,8941,8075,9991,8079,7751,8249,7309,7609,8212,11184,9594,8164,103158
calendar,2006,15,PETROL(E20),2,6,6,2,3,2,2,3,3,6,8,2,45
calendar,2006,16,PETROL/HYBRID,0,0,1,0,0,1,0,0,0,1,0,2,5
calendar,2006,17,PETROL/LPG,6359,5853,7103,5501,6476,7735,7149,7775,8091,8022,9156,7394,86614
calendar,2006,18,SOLAR,4,4,4,3,7,2,1,3,8,3,1,4,44
