yearType,year,serial,vehicle_class,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2004,1,ADAPTED VEHICLE,25,25,20,23,23,34,25,27,22,36,28,28,316
calendar,2004,2,AGRICULTURAL TRACTOR,10979,10118,12730,9609,9734,12322,13092,10157,9920,9652,9649,11873,129835
calendar,2004,3,AMBULANCE,240,184,296,182,156,200,188,178,216,134,158,176,2308
calendar,2004,4,ANIMAL AMBULANCE,0,1,0,1,1,0,1,2,2,1,0,0,9
calendar,2004,5,ARMOURED/SPECIALISED VEHICLE,0,0,0,0,0,0,0,0,0,0,0,1,1
calendar,2004,6,ARTICULATED VEHICLE,359,369,410,400,335,388,306,289,415,352,370,406,4399
calendar,2004,7,BREAKDOWN VAN,2,4,8,7,3,6,2,2,2,3,2,3,44
calendar,2004,8,BULLDOZER,2,0,5,1,0,0,1,0,1,1,0,0,11
calendar,2004,9,BUS,2381,2029,2509,2795,2497,2603,2581,2267,2362,2212,2466,2306,29008
calendar,2004,10,CAMPER VAN / TRAILER,7,11,6,4,16,5,7,7,16,8,9,15,111
calendar,2004,11,CAMPER VAN / TRAILER (PRIVATE USE),19,14,9,23,9,7,9,13,10,10,7,11,141
calendar,2004,12,CASH VAN,11,8,10,1,5,8,8,2,4,9,1,1,68
calendar,2004,13,CONSTRUCTION EQUIPMENT VEHICLE,96,69,103,101,87,87,102,91,96,103,99,100,1134
calendar,2004,14,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),1,0,1,2,0,0,1,1,2,1,2,3,14
calendar,2004,15,CRANE MOUNTED VEHICLE,188,176,152,176,137,158,154,149,170,169,191,160,1980
calendar,2004,16,DUMPER,75,71,74,70,43,45,47,47,52,44,77,67,712
calendar,2004,17,EARTH MOVING EQUIPMENT,92,94,147,131,102,123,101,128,134,95,96,114,1357
calendar,2004,18,EDUCATIONAL INSTITUTION BUS,308,351,494,455,620,1094,916,673,525,452,383,361,6632
calendar,2004,19,E-RICKSHAW(P),3,3,3,2,0,1,2,1,3,3,3,1,25
calendar,2004,20,E-RICKSHAW WITH CART (G),0,0,0,0,0,0,0,0,2,0,1,0,3
calendar,2004,21,EXCAVATOR (COMMERCIAL),45,56,46,44,48,59,49,40,55,37,55,83,617
calendar,2004,22,EXCAVATOR (NT),138,152,155,198,134,131,146,116,179,111,110,157,1727
calendar,2004,23,FIRE FIGHTING VEHICLE,18,7,16,13,14,10,8,5,11,2,3,7,114
