yearType,year,serial,state,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2020,1,ANDAMAN & NICOBAR ISLAND,871,662,693,158,121,612,615,2,581,651,687,565,6218
calendar,2020,2,ANDHRA PRADESH,95778,96361,102836,11486,32869,82478,61629,85633,90635,128350,118536,80008,986599
calendar,2020,3,ARUNACHAL PRADESH,4391,1715,3541,861,356,871,594,1147,1689,1758,2095,2005,21023
calendar,2020,4,ASSAM,37040,43261,50256,1471,11630,27128,23372,29528,40392,50100,46886,45485,406549
calendar,2020,5,BIHAR,92311,115340,178543,3782,10853,96062,61685,84195,90122,77833,122098,104245,1037069
calendar,2020,6,CHANDIGARH,3376,3590,3368,261,729,1911,2302,2339,2240,3415,3941,3192,30664
calendar,2020,7,CHHATTISGARH,49612,56933,62810,1315,9976,33501,34305,33292,28888,44854,80155,46171,481812
calendar,2020,8,DELHI,53631,44621,34994,1931,9028,33088,37244,37743,31078,44719,60217,34207,422501
calendar,2020,9,GOA,4567,4941,4109,347,2393,2122,2221,3772,3115,5109,5766,3943,42405
calendar,2020,10,GUJARAT,123586,121741,156035,12123,5836,62322,84183,89904,70089,118412,154951,125562,1124744
calendar,2020,11,HARYANA,69815,63688,66644,29438,3374,31898,54779,46789,47536,47143,63723,79873,604700
calendar,2020,12,HIMACHAL PRADESH,11082,10371,13601,3671,729,7065,13965,12838,12794,13389,18462,15850,133817
calendar,2020,13,JAMMU AND KASHMIR,15492,21218,33212,9750,105,1938,8911,24693,21711,18660,15822,12959,184471
calendar,2020,14,JHARKHAND,41015,49684,77103,4520,899,34826,40202,36648,42171,41281,67411,47361,483121
calendar,2020,15,KARNATAKA,141341,128740,152293,17319,37865,92379,79847,96010,114477,104540,131580,109765,1206156
calendar,2020,16,KERALA,77908,64721,68442,2357,15749,48331,42127,42718,74857,72150,69191,62860,641411
calendar,2020,17,LADAKH,77,78,562,221,0,8,9,113,348,192,543,310,2461
calendar,2020,18,LAKSHADWEEP,150,116,123,59,43,69,61,56,62,61,135,128,1063
calendar,2020,19,MADHYA PRADESH,130814,122959,167864,97049,2416,58236,100340,98954,95413,85134,128827,174399,1262405
calendar,2020,20,MAHARASHTRA,214302,172938,267979,21518,5755,60098,100691,121187,155177,175410,235811,243925,1774791
calendar,2020,21,MANIPUR,2951,3321,4013,467,22,67,234,129,890,317,1586,2268,16265
calendar,2020,22,MEGHALAYA,3127,2982,2573,271,153,1372,1581,1852,2598,2401,2310,2264,23484
calendar,2020,23,MIZORAM,2801,2465,2288,320,1182,1005,1938,1328,1996,2700,2134,3159,23316
calendar,2020,24,NAGALAND,2150,2722,2745,979,225,280,36,703,1769,1460,1972,1394,16435
calendar,2020,25,ODISHA,61603,63233,92672,2627,15197,43339,39314,40044,48908,71620,68947,53726,601230
calendar,2020,26,PUDUCHERRY,5975,4453,4289,2,1517,2980,3210,3510,4690,4255,4148,3152,42181
calendar,2020,27,PUNJAB,59356,58934,89883,1457,6588,25249,37239,35768,36363,45383,62543,56921,515684
calendar,2020,28,RAJASTHAN,105389,110667,172115,33047,14568,63852,87807,77369,66479,88467,156865,132848,1109473
calendar,2020,29,SIKKIM,1050,859,900,69,154,467,314,361,443,727,925,912,7181
calendar,2020,30,TAMIL NADU,173940,178894,178104,35,32844,110732,110766,128764,170398,137056,147660,123704,1492897
calendar,2020,31,TELANGANA,88677,98105,266699,59,11792,51193,63160,58276,91820,66195,90708,89771,976455
calendar,2020,32,TRIPURA,5287,5363,7300,71,1530,3489,3687,4112,4432,5324,5626,4871,51092
calendar,2020,33,UT OF DNH AND DD,1850,362,2696,756,50,263,665,1153,1138,1177,1530,1502,13142
calendar,2020,34,UTTARAKHAND,18957,17914,19280,8035,891,9881,15705,15949,12982,16771,27217,21740,185322
calendar,2020,35,UTTAR PRADESH,306805,274307,396828,180133,16798,161200,201452,165908,167594,153996,211490,389444,2625955
calendar,2020,36,WEST BENGAL,84175,111156,173062,38886,1056,40616,77144,76982,120623,99222,102197,130142,1055261
