yearType,year,serial,fuel,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2024,1,CNG ONLY,39763,37623,36511,33019,37224,35554,39617,41683,41314,58656,48695,34692,484351
calendar,2024,2,DIESEL,256131,239984,241657,217874,217653,207700,231326,207475,199052,264386,237665,231189,2752092
calendar,2024,3,DIESEL/HYBRID,442,402,579,631,461,343,370,343,373,513,403,397,5257
calendar,2024,4,DUAL DIESEL/LNG,0,0,0,0,20,1,0,0,0,0,0,0,21
calendar,2024,5,ELECTRIC(BOV),150354,148860,220215,116062,128897,115567,137903,112150,103781,116114,104596,78630,1533129
calendar,2024,6,ETHANOL(E100),0,0,0,0,0,0,0,0,0,12,60,108,180
calendar,2024,7,FUEL CELL HYDROGEN,0,0,1,6,4,0,2,0,0,0,0,2,15
calendar,2024,8,LNG,0,38,41,42,45,39,16,29,48,40,0,11,349
calendar,2024,9,LPG ONLY,2557,2657,2734,2115,2453,2476,2966,3348,2987,3203,2700,2446,32642
calendar,2024,10,NOT APPLICABLE,7084,7643,6994,5726,5804,5317,5017,4900,5131,7833,7369,6735,75553
calendar,2024,11,PETROL,1629429,1565471,1585387,1776319,1639723,1466107,1529631,1424392,1267358,2176305,2693432,1302440,20055994
calendar,2024,12,PETROL/CNG,72158,55592,55848,62121,60594,56065,64667,63172,56015,107727,65241,55889,775089
calendar,2024,13,PETROL(E20),57169,52618,52078,55675,54359,50015,54575,52022,50100,68302,68429,41674,657016
calendar,2024,14,PETROL(E20)/CNG,6,10,6,7,4,5,3,4,4,9,4,5,67
calendar,2024,15,PETROL(E20)/HYBRID/CNG,0,2,3,5,5,3,3,2,4,3,1,3,34
calendar,2024,16,PETROL(E20)/LPG,3,1,0,2,1,2,3,1,2,0,1,0,16
calendar,2024,17,PETROL/HYBRID,31103,30321,27032,26592,22990,20482,22307,21113,19460,31904,20664,19516,293484
calendar,2024,18,PETROL/HYBRID/CNG,76,47,53,50,34,38,43,39,32,54,30,24,520
calendar,2024,19,PETROL/LPG,1495,1540,1296,1325,1309,1399,1735,1568,1736,2386,1981,1169,18939
calendar,2024,20,PLUG-IN HYBRID EV,0,0,0,0,1,0,2,1,11,14,6,7,42
calendar,2024,21,PURE EV,0,1,3227,2516,16711,30676,51495,50131,63015,109095,96588,69816,493271
calendar,2024,22,STRONG HYBRID EV,0,1,1704,3080,3508,4224,7075,7806,6863,9942,7083,7214,58500
