yearType,year,serial,state,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2017,1,ANDAMAN & NICOBAR ISLAND,776,721,1499,523,717,852,740,674,741,1038,916,769,9966
calendar,2017,2,ANDHRA PRADESH,78024,89777,100066,103677,94202,110218,93442,92842,103747,121537,85891,70855,1144278
calendar,2017,3,ARUNACHAL PRADESH,1506,1498,2945,2067,2025,1889,1982,2055,1640,1647,1950,1840,23044
calendar,2017,4,ASSAM,24594,32508,42730,35522,33450,32654,33957,34235,33233,42221,45922,35770,426796
calendar,2017,5,BIHAR,48983,46471,68684,58959,90089,94718,80945,81181,74648,69425,106621,93617,914341
calendar,2017,6,CHANDIGARH,3903,3480,4517,3856,4006,3969,3999,3854,3483,4482,5696,3170,48415
calendar,2017,7,CHHATTISGARH,40026,38994,62873,46692,36093,42128,34912,35116,35830,71518,67836,44339,556357
calendar,2017,8,DELHI,64815,56320,59344,55566,55359,56819,54126,53000,53341,83378,64758,41857,698683
calendar,2017,9,GOA,7487,6396,9201,6473,5903,6370,4541,9211,8606,8515,7698,6273,86674
calendar,2017,10,GUJARAT,118386,129885,152312,142855,111413,138380,130473,137569,134287,195674,209980,124506,1725720
calendar,2017,11,HARYANA,54998,55705,79443,54792,64308,48041,50275,52324,63351,61957,92364,69649,747207
calendar,2017,12,HIMACHAL PRADESH,9316,9915,12098,12256,12065,10076,9872,10639,9219,13677,17564,12478,139175
calendar,2017,13,JAMMU AND KASHMIR,9668,10216,15545,11652,17524,13821,15280,13783,13568,15250,17719,11706,165732
calendar,2017,14,JHARKHAND,58219,16073,52761,59979,61915,47804,47647,40597,39020,53796,62883,44413,585107
calendar,2017,15,KARNATAKA,130840,132515,162052,134386,137907,140879,117433,129853,130694,135819,148155,102581,1603114
calendar,2017,16,KERALA,81253,72807,87777,73953,84637,83627,75942,88239,110240,107462,85100,70058,1021095
calendar,2017,17,LADAKH,142,52,79,57,209,515,368,356,267,320,325,202,2892
calendar,2017,18,LAKSHADWEEP,199,171,134,108,113,106,98,77,92,89,140,191,1518
calendar,2017,19,MADHYA PRADESH,78955,76140,125764,106591,114064,105680,103283,95522,89883,104188,156881,139753,1296704
calendar,2017,20,MAHARASHTRA,184485,176877,229810,205789,218151,185417,188393,169460,216756,256559,318229,207421,2557347
calendar,2017,21,MANIPUR,1533,1723,3144,1873,1935,3046,2979,1364,1236,3215,3059,3263,28370
calendar,2017,22,MEGHALAYA,1907,1962,2550,3084,3077,2230,2273,2536,2357,2296,2637,1966,28875
calendar,2017,23,MIZORAM,1354,1570,2006,1529,1663,1469,1744,1510,1403,2129,1909,1767,20053
calendar,2017,24,NAGALAND,1976,1012,5680,3608,2019,2000,2197,2101,2568,2416,2089,1947,29613
calendar,2017,25,ODISHA,43637,58235,67134,73356,79770,57758,68875,55008,49629,86176,74917,54851,769346
calendar,2017,26,PUDUCHERRY,6156,5602,6873,5861,6263,8056,5435,5934,5151,5808,4225,3371,68735
calendar,2017,27,PUNJAB,58308,62483,88484,78811,65304,68515,71029,56198,55906,83262,91345,65394,845039
calendar,2017,28,RAJASTHAN,87899,100171,144109,122757,109551,102224,97626,84148,103933,156928,168947,114744,1393037
calendar,2017,29,SIKKIM,328,374,510,493,510,436,434,418,420,457,531,461,5372
calendar,2017,30,TAMIL NADU,147497,167119,198619,113932,173164,196450,155982,164942,158358,158094,161830,115430,1911417
calendar,2017,31,TELANGANA,69827,72539,90157,88404,87162,77468,90395,77780,73236,97232,106477,78395,1009072
calendar,2017,32,TRIPURA,2681,3091,3102,4334,3397,3206,3734,3640,3226,5365,5803,4639,46218
calendar,2017,33,UT OF DNH AND DD,1601,1501,1904,1506,1750,1601,1447,1397,1496,1603,1962,1383,19151
calendar,2017,34,UTTARAKHAND,19380,17144,21034,23046,22249,19907,22867,20505,17097,22319,36525,22905,264978
calendar,2017,35,UTTAR PRADESH,196712,218338,352054,290100,306553,273040,234684,197095,182961,314038,289106,223007,3077688
calendar,2017,36,WEST BENGAL,75285,66431,96781,90261,90858,83939,92909,87899,82985,61118,114400,93740,1036606
