yearType,year,serial,state,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2024,1,ANDAMAN & NICOBAR ISLAND,720,722,653,670,741,604,784,711,615,804,706,728,8458
calendar,2024,2,ANDHRA PRADESH,70555,71455,86833,72899,74157,68856,75210,62651,59645,107378,105744,56260,911643
calendar,2024,3,ARUNACHAL PRADESH,2472,2668,2768,3019,4736,3285,3071,2937,2725,3044,3136,2956,36817
calendar,2024,4,ASSAM,59970,55885,61161,57826,56155,46365,44270,48175,49062,65738,44683,40227,629517
calendar,2024,5,BIHAR,93623,104243,125242,144145,116696,115277,109945,88485,83652,116441,217637,79850,1395236
calendar,2024,6,CHANDIGARH,3719,3304,3408,3518,3747,3458,4271,3934,3039,6922,3550,3529,46399
calendar,2024,7,CHHATTISGARH,57504,53629,59566,58545,56131,54203,55682,47439,40339,87514,101103,42351,714006
calendar,2024,8,DELHI,67210,52907,54759,57758,54054,49182,58608,53911,45765,87988,83392,45575,711109
calendar,2024,9,GOA,7838,6916,7146,7273,5843,4918,5183,7085,8060,10493,7171,6389,84315
calendar,2024,10,GUJARAT,156635,138611,139274,142063,136649,125208,153148,139690,126641,294628,196546,150227,1899320
calendar,2024,11,HARYANA,85150,75337,78860,73152,70386,74106,66969,82302,80113,101031,124232,84641,996279
calendar,2024,12,HIMACHAL PRADESH,12273,10955,10239,10958,12495,9684,11692,12371,9952,12145,19301,15676,147741
calendar,2024,13,JAMMU AND KASHMIR,12534,11925,14424,16088,14509,13736,19237,17284,12763,21911,14865,10147,179423
calendar,2024,14,JHARKHAND,40040,44194,47680,56013,46338,47369,48495,37916,35313,63173,74047,38627,579205
calendar,2024,15,KARNATAKA,168036,156464,172877,145414,155968,151478,138832,165630,136583,201727,182512,112647,1888168
calendar,2024,16,KERALA,68198,59191,63886,59269,62812,58607,63156,67774,87451,72166,61991,54847,779348
calendar,2024,17,LADAKH,281,116,229,466,751,784,681,570,385,433,422,317,5435
calendar,2024,18,LAKSHADWEEP,51,77,100,17,62,42,36,25,61,34,35,35,575
calendar,2024,19,MADHYA PRADESH,134260,126798,131966,153870,124739,111123,118722,103490,90532,189645,284024,98567,1667736
calendar,2024,20,MAHARASHTRA,255057,214240,220829,246832,225028,192704,206117,202300,197507,366017,332838,228087,2887556
calendar,2024,21,MANIPUR,2109,2129,1841,2268,2307,2605,3208,2997,1821,2796,1778,2204,28063
calendar,2024,22,MEGHALAYA,3549,3707,4351,3388,3933,3189,3720,3417,3377,3919,3594,2234,42378
calendar,2024,23,MIZORAM,2682,2979,2702,2561,2671,2271,2582,2123,2007,2285,2746,2387,29996
calendar,2024,24,NAGALAND,2781,2905,2627,2886,2885,1666,2431,1943,1928,2034,2010,1608,27704
calendar,2024,25,ODISHA,68244,72067,85191,71596,65970,61204,61934,50341,47230,108263,67987,50971,810998
calendar,2024,26,PUDUCHERRY,6464,5832,5502,5343,5876,5344,6201,5496,5373,5465,4772,3803,65471
calendar,2024,27,PUNJAB,54746,55956,59486,54451,55159,45490,57056,57695,47166,65861,77621,75049,705736
calendar,2024,28,RAJASTHAN,125025,121276,130319,117080,125374,113145,128398,125098,95183,194513,288474,89876,1653761
calendar,2024,29,SIKKIM,983,855,902,874,1212,1059,927,965,992,1109,915,886,11679
calendar,2024,30,TAMIL NADU,196083,184738,164626,159585,155074,155973,179198,164001,158249,154741,169037,112197,1953502
calendar,2024,31,TELANGANA,91314,88940,86727,74604,81820,80160,91635,75437,76167,86280,117006,76123,1026213
calendar,2024,32,TRIPURA,4937,5123,6331,4752,5251,4836,5379,4066,4892,7433,5946,4728,63674
calendar,2024,33,UT OF DNH AND DD,2264,2270,1698,2036,1788,1519,2010,1901,1826,2657,2285,1967,24221
calendar,2024,34,UTTARAKHAND,19185,21713,19371,21260,25759,20692,22722,19997,18840,28779,43277,20198,281793
calendar,2024,35,UTTAR PRADESH,282411,293402,297091,371829,334346,273212,282844,243202,193183,367259,582602,236775,3758156
calendar,2024,36,WEST BENGAL,88867,89282,84701,98859,100378,92659,114402,86820,88849,113872,126963,99278,1184930
