yearType,year,serial,state,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2006,1,ANDAMAN & NICOBAR ISLAND,283,423,370,250,358,344,396,311,415,361,437,318,4266
calendar,2006,2,ANDHRA PRADESH,21678,28700,31855,26071,26506,26971,25560,27806,27525,27478,32354,21054,323558
calendar,2006,3,ARUNACHAL PRADESH,208,154,235,277,400,384,315,328,343,396,398,395,3833
calendar,2006,4,ASSAM,4521,4393,4890,4222,5355,5267,4812,5084,6130,5339,4545,4061,58619
calendar,2006,5,BIHAR,2217,1917,2082,1803,2364,1953,2446,2328,2135,2094,3272,3076,27687
calendar,2006,6,CHANDIGARH,1866,2037,1914,1601,2212,2009,2194,1966,1872,1931,2865,1963,24430
calendar,2006,7,CHHATTISGARH,9982,10540,10202,9328,10017,13136,9724,8344,7414,12183,17616,11174,129660
calendar,2006,8,DELHI,33946,32165,32178,31409,32431,31915,30919,31882,27522,39480,33452,25953,383252
calendar,2006,9,GOA,2356,2067,2293,1806,1769,1583,1530,2830,2748,2899,2776,3236,27893
calendar,2006,10,GUJARAT,27212,28900,34805,25305,27498,27851,23561,21990,26341,44139,55131,31576,374309
calendar,2006,11,HARYANA,24962,23955,28219,24609,27718,30670,26077,26577,23563,24044,31605,26839,318838
calendar,2006,12,HIMACHAL PRADESH,3450,3562,3549,3734,5252,4348,4216,4150,3416,4245,5827,3646,49395
calendar,2006,13,JAMMU AND KASHMIR,822,1180,1482,2707,2871,2946,4124,3250,3630,2989,3822,2716,32539
calendar,2006,14,JHARKHAND,11629,11639,12420,12390,14236,13724,16106,12154,10658,13842,20058,13831,162687
calendar,2006,15,KARNATAKA,77713,73286,81824,70585,77987,81673,67852,80839,78526,76947,86727,55823,909782
calendar,2006,16,KERALA,36585,33758,38744,30750,36509,34199,35253,49593,50322,37370,38958,37920,459961
calendar,2006,17,LADAKH,8,17,13,35,38,58,96,60,61,45,62,30,523
calendar,2006,18,LAKSHADWEEP,53,43,69,65,45,55,37,49,57,41,50,65,629
calendar,2006,19,MADHYA PRADESH,39850,42007,44791,37901,42860,42570,33359,29115,39473,45241,63419,42277,502863
calendar,2006,20,MAHARASHTRA,40539,32409,44045,33997,31867,31258,27224,32484,37427,53889,51847,34755,451741
calendar,2006,21,MANIPUR,868,781,828,823,839,934,832,876,771,796,860,847,10055
calendar,2006,22,MEGHALAYA,1456,1112,1437,1112,1449,1334,1179,1415,1092,1160,1270,1087,15103
calendar,2006,23,MIZORAM,578,502,585,432,568,499,557,699,563,581,613,605,6782
calendar,2006,24,NAGALAND,669,710,750,854,863,997,1010,988,929,811,1070,924,10575
calendar,2006,25,ODISHA,16999,17294,19140,16244,20046,18705,18428,15966,15674,24335,20479,17354,220664
calendar,2006,26,PUDUCHERRY,1823,3502,3533,2668,3113,3459,3540,4079,3511,3650,3151,2970,38999
calendar,2006,27,PUNJAB,22800,24491,35019,18139,21941,24135,23656,23662,23212,24762,26883,24515,293215
calendar,2006,28,RAJASTHAN,20805,22808,25818,20885,24578,26604,23729,22926,21534,44057,33435,23405,310584
calendar,2006,29,SIKKIM,98,104,122,63,81,85,55,66,64,41,49,51,879
calendar,2006,30,TAMIL NADU,60757,64576,68994,55623,57423,65917,64017,66113,65866,54427,62115,42845,728673
calendar,2006,31,TELANGANA,12111,14279,15661,14484,14841,16218,15668,15497,15950,16160,21223,13951,186043
calendar,2006,32,TRIPURA,846,883,1147,799,1226,1103,983,1341,1261,838,1304,988,12719
calendar,2006,33,UT OF DNH AND DD,907,884,816,853,924,871,794,702,846,893,1495,1154,11139
calendar,2006,34,UTTARAKHAND,5147,4873,4790,4656,5627,5398,4845,4869,5307,4868,9578,5072,65030
calendar,2006,35,UTTAR PRADESH,75099,68294,70483,67865,91273,85438,67915,63724,57854,78709,93641,61989,882284
calendar,2006,36,WEST BENGAL,19954,18324,22156,16044,21379,23799,20114,20280,22775,18831,29048,20946,253650
