yearType,year,serial,vehicle_class,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2020,1,ADAPTED VEHICLE,921,1551,3945,743,62,213,793,324,764,655,619,1269,11859
calendar,2020,2,AGRICULTURAL TRACTOR,58573,51519,56673,5643,10207,49880,85620,73105,74099,59369,56561,75462,656711
calendar,2020,3,AMBULANCE,787,808,1876,294,44,128,372,551,966,737,844,758,8165
calendar,2020,4,ANIMAL AMBULANCE,6,7,8,8,87,147,1,131,84,1,3,10,493
calendar,2020,5,ARMOURED/SPECIALISED VEHICLE,0,0,2,0,0,0,0,1,1,0,0,0,4
calendar,2020,6,ARTICULATED VEHICLE,1076,1589,2167,141,1,5,61,116,233,247,309,526,6471
calendar,2020,7,AUXILIARY TRAILER,6,4,9,0,0,0,0,4,4,0,0,0,27
calendar,2020,8,BREAKDOWN VAN,4,3,3,0,0,0,0,0,1,2,3,0,16
calendar,2020,9,BUS,5074,6677,13734,3239,5,47,119,187,504,409,484,464,30943
calendar,2020,10,CAMPER VAN / TRAILER,74,76,81,32,3,12,30,30,31,14,14,31,428
calendar,2020,11,CAMPER VAN / TRAILER (PRIVATE USE),42,41,72,16,0,8,9,13,31,25,24,31,312
calendar,2020,12,CASH VAN,145,272,229,37,0,4,0,4,5,2,69,87,854
calendar,2020,13,CONSTRUCTION EQUIPMENT VEHICLE,2305,2640,3414,501,362,1776,2191,2311,3135,2656,2816,3316,27423
calendar,2020,14,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),55,72,95,29,11,35,19,20,109,138,152,415,1150
calendar,2020,15,CRANE MOUNTED VEHICLE,535,591,677,139,29,207,353,365,483,436,414,523,4752
calendar,2020,16,DUMPER,873,1206,2196,263,1,16,92,154,370,519,628,913,7231
calendar,2020,17,EARTH MOVING EQUIPMENT,1017,1154,1272,285,126,791,886,815,1177,991,828,1111,10453
