yearType,year,serial,fuel,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2007,1,CNG ONLY,2478,1764,1663,1976,1768,2390,2352,2731,2932,2746,2867,2328,27995
calendar,2007,2,DIESEL,122940,127492,140367,111473,121430,114939,118147,117429,113982,120665,127081,110020,1445965
calendar,2007,3,DIESEL/HYBRID,4,2,5,3,3,4,2,3,5,1,3,2,37
calendar,2007,4,DI-METHYL ETHER,0,0,0,0,0,0,1,0,0,0,0,0,1
calendar,2007,5,DUAL DIESEL/CNG,1,0,0,0,0,1,0,1,0,0,2,0,5
calendar,2007,6,ELECTRIC(BOV),149,164,228,170,234,185,211,201,176,323,561,562,3164
calendar,2007,7,ETHANOL(E100),0,0,2,0,0,1,0,1,0,0,0,0,4
calendar,2007,8,FUEL CELL HYDROGEN,0,1,0,0,0,0,0,0,0,0,3,0,4
calendar,2007,9,LNG,1,0,0,0,0,0,0,0,0,0,0,0,1
calendar,2007,10,LPG ONLY,368,369,385,358,436,434,405,463,518,484,421,289,4930
calendar,2007,11,METHANOL,0,1,0,0,0,0,1,0,0,1,2,3,8
calendar,2007,12,NOT APPLICABLE,6170,6134,7164,5253,6753,5601,5624,5614,5766,6565,6880,6104,73628
calendar,2007,13,PETROL,521872,512916,559544,493087,564084,509921,519922,518508,475511,524736,723209,526980,6450290
calendar,2007,14,PETROL/CNG,11840,10660,10814,8827,9421,8344,9898,9963,10293,11232,12336,8417,122045
calendar,2007,15,PETROL(E20),8,6,6,3,3,3,5,5,4,2,7,4,56
calendar,2007,16,PETROL(E20)/CNG,0,0,0,0,0,0,0,0,0,0,1,0,1
calendar,2007,17,PETROL/HYBRID,1,0,1,1,1,0,0,0,1,0,1,1,7
calendar,2007,18,PETROL/LPG,10197,10297,11155,8203,9391,8810,9349,9391,9924,10089,11371,8168,116345
calendar,2007,19,PETROL/METHANOL,0,0,0,1,0,0,0,0,0,0,0,0,1
calendar,2007,20,PURE EV,0,0,0,1,1,0,0,0,0,2,0,0,4
calendar,2007,21,SOLAR,8,4,6,3,9,3,3,0,5,6,3,4,54
