yearType,year,serial,fuel,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2019,1,CNG ONLY,3216,2812,3060,3131,2856,2482,2937,2746,2543,2857,3004,2342,33986
calendar,2019,2,DIESEL,301672,275861,298025,253772,253747,236585,266976,238630,209880,247599,277843,242478,3103068
calendar,2019,3,DIESEL/HYBRID,7922,6203,6205,4817,3807,2162,1715,1275,1075,1495,1539,976,39191
calendar,2019,4,DUAL DIESEL/CNG,0,1,3,1,0,1,0,0,2,0,0,0,8
calendar,2019,5,ELECTRIC(BOV),13464,12329,15256,11308,10250,11203,12545,13364,16203,15791,19073,17192,167978
calendar,2019,6,ETHANOL(E100),0,0,0,1,2,2,0,0,2,0,0,1,8
calendar,2019,7,LNG,0,0,0,0,0,0,1,0,2,0,4,1,8
calendar,2019,8,LPG ONLY,353,576,580,647,241,217,235,221,213,54,265,284,3886
calendar,2019,9,METHANOL,0,0,0,0,0,0,0,0,0,0,1,1,2
calendar,2019,10,NOT APPLICABLE,10780,12100,11875,8091,8186,6946,8020,7015,6818,8258,9384,9726,107199
calendar,2019,11,PETROL,1827179,1636585,1803563,1727557,1833211,1708600,1795302,1583134,1450953,1872081,2271223,1658389,21167777
calendar,2019,12,PETROL/CNG,41032,35885,34659,36219,36828,31245,35854,33401,29196,43505,42607,33135,433566
calendar,2019,13,PETROL(E20),4,1,2,1,1,0,1,0,0,1,1,0,12
calendar,2019,14,PETROL(E20)/CNG,1,3,2,2,2,4,2,0,0,2,2,1,21
calendar,2019,15,PETROL(E20)/HYBRID/CNG,0,2,0,1,0,0,1,0,0,1,2,0,7
calendar,2019,16,PETROL(E20)/LPG,0,0,1,0,1,2,3,1,0,0,0,0,8
calendar,2019,17,PETROL/HYBRID,6715,5545,6202,6560,6722,6137,5834,5741,5849,8738,7257,5482,76782
calendar,2019,18,PETROL/HYBRID/CNG,21,15,23,21,23,24,17,7,18,34,17,9,229
calendar,2019,19,PETROL/LPG,10450,10627,11364,9735,10205,8844,11048,9854,9336,9825,11162,8570,121020
calendar,2019,20,PURE EV,7,13,14,2,5,11,11,12,3,3,2,14,97
calendar,2019,21,SOLAR,0,0,0,0,0,0,0,0,1,0,0,0,1
