yearType,year,serial,fuel,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2022,1,CNG ONLY,23604,20973,25358,23938,19522,19932,21572,24467,27093,31197,33490,27353,298499
calendar,2022,2,DIESEL,188615,181258,225737,199438,193768,204450,209020,201236,200789,215619,233608,213192,2466730
calendar,2022,3,DIESEL/HYBRID,4,4,2,4,23,58,80,123,73,106,116,147,740
calendar,2022,4,DUAL DIESEL/CNG,3,0,0,0,0,1,0,0,0,1,0,0,5
calendar,2022,5,DUAL DIESEL/LNG,0,0,0,0,0,0,0,0,1,0,0,0,1
calendar,2022,6,ELECTRIC(BOV),53099,60402,85970,80645,72285,78331,83258,92003,98176,120666,125872,108832,1059539
calendar,2022,7,ETHANOL(E100),0,0,1,1,0,0,0,0,0,0,0,0,2
calendar,2022,8,LNG,0,0,0,0,0,0,0,0,0,0,10,10,20
calendar,2022,9,LPG ONLY,1242,1022,1277,1011,770,999,865,1124,1381,1549,1797,1390,14427
calendar,2022,10,NOT APPLICABLE,7542,8898,10611,6808,6950,8004,7519,6100,7934,7214,8597,8211,94388
calendar,2022,11,PETROL,1376904,1294920,1480586,1515447,1563293,1420694,1316622,1364998,1257438,1928018,2044453,1309507,17872880
calendar,2022,12,PETROL/CNG,34007,36761,41866,39561,37917,38595,37668,38038,34513,48306,42179,36222,465633
calendar,2022,13,PETROL(E20),0,0,0,0,0,0,0,1,1,1,1,0,4
calendar,2022,14,PETROL(E20)/CNG,3,1,5,5,8,2,4,4,5,3,3,1,44
calendar,2022,15,PETROL(E20)/HYBRID/CNG,2,2,3,2,5,3,2,0,2,7,2,3,33
calendar,2022,16,PETROL(E20)/LPG,0,0,0,1,0,2,4,1,1,0,1,1,11
calendar,2022,17,PETROL/HYBRID,11512,9913,8613,7555,16071,12959,12410,18764,19431,27521,25830,24443,195022
calendar,2022,18,PETROL/HYBRID/CNG,28,30,26,14,56,42,51,50,58,66,63,55,539
calendar,2022,19,PETROL/LPG,1673,1253,1581,1408,1375,1419,1289,1401,1304,1577,1223,1097,16600
calendar,2022,20,PURE EV,0,0,0,0,0,0,3,1,3,0,0,0,7
calendar,2022,21,STRONG HYBRID EV,0,0,0,0,0,0,0,1,0,0,1,0,2
