yearType,year,serial,fuel,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2025,1,CNG ONLY,47894,39051,38296,37077,36525,37413,40428,40239,39322,54915,44004,33819,488983
calendar,2025,2,DIESEL,280859,219956,246712,228250,222904,226291,237408,232218,203038,299390,311876,277027,2985929
calendar,2025,3,DIESEL/HYBRID,548,454,516,532,486,601,781,832,822,1315,1019,818,8724
calendar,2025,4,DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,1,0,0,0,1
calendar,2025,5,DUAL DIESEL/LNG,0,0,0,30,0,0,9,0,0,0,0,0,39
calendar,2025,6,ELECTRIC(BOV),84363,67844,74432,64787,63552,58059,64653,59255,54582,62245,68206,69201,791179
calendar,2025,7,ETHANOL(E100),189,131,134,157,118,158,118,103,60,68,36,20,1292
calendar,2025,8,FUEL CELL HYDROGEN,0,0,2,0,3,0,0,1,0,0,0,0,6
calendar,2025,9,LNG,19,27,52,39,30,53,66,82,72,74,66,27,607
calendar,2025,10,LPG ONLY,3435,2815,2733,2235,2582,2800,2979,7408,5743,3886,3317,2836,42769
calendar,2025,11,METHANOL,0,0,0,1,0,0,0,0,0,0,0,0,1
calendar,2025,12,NOT APPLICABLE,7671,6468,7781,6458,5522,5324,5064,5197,6592,7076,8958,9003,81114
calendar,2025,13,PETROL,1678929,1431449,1536979,1636177,1388734,1124975,1027350,1008720,891489,2195744,1478673,524537,15923756
calendar,2025,14,PETROL/CNG,109645,65850,77057,73670,65689,67007,74783,74194,70146,130212,41776,29159,879188
calendar,2025,15,PETROL(E20),60878,57399,80121,205011,378929,425321,448572,474936,497563,1184841,1252445,967319,6033335
calendar,2025,16,PETROL(E20)/CNG,17,22,29,57,69,102,154,192,797,6268,47031,55195,109933
calendar,2025,17,PETROL(E20)/HYBRID,0,0,0,0,0,0,0,5,156,3051,14334,18686,36232
calendar,2025,18,PETROL(E20)/HYBRID/CNG,7,0,3,2,1,5,3,0,3,2,16,21,63
calendar,2025,19,PETROL(E20)/LPG,4,5,4,4,5,13,11,9,12,30,235,254,586
calendar,2025,20,PETROL/HYBRID,31576,18971,19424,21217,17266,16332,17362,17590,15076,25119,9585,5668,215186
calendar,2025,21,PETROL/HYBRID/CNG,71,32,31,25,16,30,46,31,30,63,22,10,407
calendar,2025,22,PETROL/LPG,1923,1548,1851,1529,1625,1457,1427,958,953,1621,715,578,16185
calendar,2025,23,PETROL/METHANOL,0,0,0,0,0,0,0,0,0,2,0,0,2
calendar,2025,24,PLUG-IN HYBRID EV,11,8,13,8,5,6,10,4,1,3,2,1,72
calendar,2025,25,PURE EV,92828,77445,139272,110121,123367,130005,132679,136010,136954,182649,160340,144040,1565710
calendar,2025,26,STRONG HYBRID EV,9564,7605,9238,9457,8720,8569,9501,9208,7627,11809,8623,8546,108467
