yearType,year,serial,state,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2003,1,ANDAMAN & NICOBAR ISLAND,187,225,97,318,224,264,425,257,238,245,231,193,2904
calendar,2003,2,ANDHRA PRADESH,15114,17337,16794,15178,16011,16968,18361,16351,16801,16534,17332,13404,196185
calendar,2003,3,ARUNACHAL PRADESH,193,128,166,197,247,216,283,242,259,271,252,209,2663
calendar,2003,4,ASSAM,2176,1917,2515,2898,2981,2956,2902,3008,4229,4177,3318,3231,36308
calendar,2003,5,BIHAR,913,720,882,907,893,943,1083,890,1036,969,1344,1298,11878
calendar,2003,6,CHANDIGARH,905,824,784,842,966,762,802,911,850,821,1068,857,10392
calendar,2003,7,CHHATTISGARH,5125,4529,4559,4368,4657,4533,5220,4506,4031,6644,6057,5298,59527
calendar,2003,8,DELHI,24154,22629,22500,23503,21120,22433,24089,22280,20657,31053,23428,15054,272900
calendar,2003,9,GOA,1476,1276,1327,1129,1151,1007,1130,1863,1696,2179,1652,1945,17831
calendar,2003,10,GUJARAT,13824,13008,14946,10389,13284,11748,13464,13259,14047,25819,20953,16413,181154
calendar,2003,11,HARYANA,10820,9229,10697,11144,10739,10501,11011,9583,9843,10744,10004,8881,123196
calendar,2003,12,HIMACHAL PRADESH,3289,2584,3135,3290,3770,3572,4038,3457,2797,3217,3951,3169,40269
calendar,2003,13,JAMMU AND KASHMIR,506,680,916,1016,1020,968,939,717,1067,933,859,812,10433
calendar,2003,14,JHARKHAND,2995,2665,2764,2675,3501,4343,5037,3641,3793,3801,4834,4818,44867
calendar,2003,15,KARNATAKA,55158,50619,58983,37124,44497,50012,46113,52423,51737,57215,48001,38477,590359
calendar,2003,16,KERALA,23796,19862,21949,21192,22663,23519,21862,25612,29292,22465,20754,21518,274484
calendar,2003,17,LADAKH,1,0,1,29,28,113,125,76,103,61,51,31,619
calendar,2003,18,LAKSHADWEEP,31,26,30,19,36,45,30,26,20,35,53,48,399
calendar,2003,19,MADHYA PRADESH,27704,30416,24310,24036,27975,27587,29069,23679,21659,32128,41625,32732,342920
calendar,2003,20,MAHARASHTRA,20369,16376,16969,15803,15832,15477,17655,18250,19410,29896,23129,19545,228711
calendar,2003,21,MANIPUR,561,490,560,504,604,555,615,585,543,559,687,720,6983
calendar,2003,22,MEGHALAYA,663,431,663,668,714,726,731,787,844,844,805,751,8627
calendar,2003,23,MIZORAM,357,247,423,609,676,587,623,570,594,712,499,509,6406
calendar,2003,24,NAGALAND,286,259,372,389,409,354,415,409,476,380,427,340,4516
calendar,2003,25,ODISHA,11962,9877,9616,10088,11651,11935,13633,11493,11657,14834,13271,14374,144391
calendar,2003,26,PUDUCHERRY,2100,1745,1971,1671,2096,2385,2640,2362,2335,2045,1703,1850,24903
calendar,2003,27,PUNJAB,13294,14304,16509,14726,19810,15928,14854,20001,17496,17787,16785,18101,199595
calendar,2003,28,RAJASTHAN,9857,10158,10041,11112,11483,11329,12887,11409,10446,19172,15082,11092,144068
calendar,2003,29,SIKKIM,68,59,66,60,60,42,40,42,39,31,49,42,598
calendar,2003,30,TAMIL NADU,22415,20234,26775,15211,18490,22497,25068,22472,26437,23712,20200,16907,260418
calendar,2003,31,TELANGANA,5691,5495,5517,5718,5724,6209,6603,5740,6436,6924,6892,6403,73352
calendar,2003,32,TRIPURA,805,620,714,782,818,933,995,1082,1069,757,973,744,10292
calendar,2003,33,UT OF DNH AND DD,701,572,514,562,631,580,628,493,564,757,914,729,7645
calendar,2003,34,UTTARAKHAND,3248,2939,2639,3140,3410,3496,3785,3636,3134,3819,3849,3148,40243
calendar,2003,35,UTTAR PRADESH,46057,46167,45946,49812,62707,59459,57782,48102,41760,55202,57740,46894,617628
calendar,2003,36,WEST BENGAL,18309,14722,15989,17063,14774,16111,17778,16031,22242,16426,15588,14126,199159
