yearType,year,serial,state,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2013,1,ANDAMAN & NICOBAR ISLAND,674,612,672,731,565,684,752,707,654,712,622,702,8087
calendar,2013,2,ANDHRA PRADESH,58232,69884,65132,56896,62651,68743,60694,9791,1408,60457,111954,70776,696618
calendar,2013,3,ARUNACHAL PRADESH,1067,899,922,1331,1272,1178,1507,1275,1182,1217,1347,1108,14305
calendar,2013,4,ASSAM,16738,17443,17250,20791,20860,19040,20789,19333,19084,22809,24137,18046,236320
calendar,2013,5,BIHAR,40635,43569,59873,47457,63844,50336,50418,44120,43011,49531,67350,44240,604384
calendar,2013,6,CHANDIGARH,3659,3735,3741,3828,4153,3345,3917,3733,3959,3129,4664,3821,45684
calendar,2013,7,CHHATTISGARH,42886,39565,39691,34626,35991,35293,33816,29755,30363,39576,50562,40995,453119
calendar,2013,8,DELHI,45525,40079,38511,40877,41549,35501,40563,39780,34531,44586,50096,30066,481664
calendar,2013,9,GOA,6686,5589,6274,6156,5146,3640,4053,5034,6625,7866,6511,5917,69497
calendar,2013,10,GUJARAT,112330,112706,103042,115363,111649,91531,105899,88645,107828,145041,133943,113015,1340992
calendar,2013,11,HARYANA,54588,49213,53644,51932,52598,46910,54240,45322,49425,47001,59268,68574,632715
calendar,2013,12,HIMACHAL PRADESH,7993,6811,6614,7107,8106,7359,8269,7934,7138,8272,13164,8893,97660
calendar,2013,13,JAMMU AND KASHMIR,9192,7075,7992,9061,10869,9359,10751,7878,9876,9996,9889,9366,111304
calendar,2013,14,JHARKHAND,23029,24916,25603,24479,29314,28656,27880,26755,25408,24552,30482,33658,324732
calendar,2013,15,KARNATAKA,138089,117577,124707,111377,111762,112707,107179,109712,114186,124320,122030,90683,1384329
calendar,2013,16,KERALA,93569,73781,83581,89312,78851,70770,66407,70582,86649,95130,70109,62950,941691
calendar,2013,17,LADAKH,55,59,85,105,274,232,306,141,163,156,151,142,1869
calendar,2013,18,LAKSHADWEEP,136,124,123,115,128,104,89,101,76,79,95,120,1290
calendar,2013,19,MADHYA PRADESH,94801,85224,86636,78897,72883,94275,68655,70815,70190,81406,91471,99977,995230
calendar,2013,20,MAHARASHTRA,208479,158163,162437,172977,157310,129437,139351,145992,151135,222855,223141,164949,2036226
calendar,2013,21,MANIPUR,2069,1895,2697,2432,3184,2314,2652,2476,2446,2723,2118,2392,29398
calendar,2013,22,MEGHALAYA,2552,1635,2328,2629,2507,2044,2276,2196,1687,1960,2204,1458,25476
calendar,2013,23,MIZORAM,1517,1258,1306,1591,1324,1357,1512,1203,1166,1269,1298,1367,16168
calendar,2013,24,NAGALAND,1929,1496,2239,2559,2153,1994,2030,1777,1748,1826,1885,1432,23068
calendar,2013,25,ODISHA,40456,38912,41247,43378,44495,37262,39499,32106,32043,43845,45129,36102,474474
calendar,2013,26,PUDUCHERRY,5973,4757,4728,4793,4531,4487,4552,4128,4510,4328,3365,2963,53115
calendar,2013,27,PUNJAB,60982,65823,77737,55710,63910,59511,62789,65671,62862,60718,68751,67528,771992
calendar,2013,28,RAJASTHAN,94909,94567,86542,77811,99774,98873,91028,83017,102868,121481,126404,123767,1201041
calendar,2013,29,SIKKIM,506,424,480,519,518,512,456,385,430,444,361,406,5441
calendar,2013,30,TAMIL NADU,166296,166391,149442,155345,135132,132185,150085,125431,136035,134023,130808,95737,1676910
calendar,2013,31,TELANGANA,45379,46027,55932,56285,55036,62121,59415,52415,57948,55280,63449,54984,664271
calendar,2013,32,TRIPURA,2608,1718,2342,2657,2498,2344,2650,2257,2787,2747,2740,2193,29541
calendar,2013,33,UT OF DNH AND DD,1596,1507,1195,1299,1154,1015,1137,999,1042,1554,1478,1652,15628
calendar,2013,34,UTTARAKHAND,11826,17294,14758,15277,16030,12835,14590,14535,14557,16217,17489,16254,181662
calendar,2013,35,UTTAR PRADESH,165574,153321,152565,190480,233545,187670,167460,150288,126484,171077,207594,152607,2058665
calendar,2013,36,WEST BENGAL,63526,54927,57579,63811,59292,53265,53575,53173,54751,55050,61744,60317,691010
