yearType,year,serial,state,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2010,1,ANDAMAN & NICOBAR ISLAND,722,639,632,614,506,580,620,626,650,600,563,707,7459
calendar,2010,2,ANDHRA PRADESH,39780,57130,57448,49753,48313,54146,55994,51896,60730,54373,53279,46198,629040
calendar,2010,3,ARUNACHAL PRADESH,758,537,981,820,957,738,797,1110,656,821,1120,772,10067
calendar,2010,4,ASSAM,10187,11993,11716,11737,12189,12903,13103,12978,13800,16358,17484,17029,161477
calendar,2010,5,BIHAR,12964,15669,16947,16310,19907,22186,21455,19720,19860,20501,25645,27510,238674
calendar,2010,6,CHANDIGARH,3715,3742,5938,3857,3131,3533,3656,3674,3795,3480,9397,5675,53593
calendar,2010,7,CHHATTISGARH,25369,23804,28718,23351,23206,23744,26757,22312,22951,27909,28461,36808,313390
calendar,2010,8,DELHI,40442,34147,44062,33327,46620,27830,31645,33729,33297,35351,43955,32439,436844
calendar,2010,9,GOA,4395,3917,4438,3500,3430,3304,3251,4530,6580,6077,6187,6074,55683
calendar,2010,10,GUJARAT,60503,65922,69931,63751,62781,77030,81231,80962,88992,115834,110522,102477,979936
calendar,2010,11,HARYANA,35734,42016,46255,42437,40434,42383,46348,44467,44718,41941,47804,65930,540467
calendar,2010,12,HIMACHAL PRADESH,5898,6301,6709,7223,7338,7481,8341,7533,6930,7105,10167,7655,88681
calendar,2010,13,JAMMU AND KASHMIR,5395,4678,7027,5624,7166,7039,5554,5203,5028,6627,7134,8010,74485
calendar,2010,14,JHARKHAND,17182,21247,19471,17507,20701,20906,21008,20926,22936,24656,23260,26221,256021
calendar,2010,15,KARNATAKA,92220,88500,129030,64986,74898,92252,89245,90258,96012,98893,97307,77565,1091166
calendar,2010,16,KERALA,52703,44612,54873,42567,52145,49958,52690,65817,61313,50501,54579,55902,637660
calendar,2010,17,LADAKH,37,12,28,19,87,249,227,234,98,193,192,132,1508
calendar,2010,18,LAKSHADWEEP,144,87,125,68,96,117,64,79,72,105,84,87,1128
calendar,2010,19,MADHYA PRADESH,55561,58995,62899,63748,61235,70324,66095,52112,52780,60589,82105,83400,769843
calendar,2010,20,MAHARASHTRA,134123,118042,143765,118184,113285,117123,119664,125746,133244,169100,174689,145819,1612784
calendar,2010,21,MANIPUR,1475,1282,1854,1298,1550,1608,1905,1931,2022,1918,1867,2037,20747
calendar,2010,22,MEGHALAYA,1645,2005,2115,1639,1604,1894,1615,2054,1927,1737,2083,1888,22206
calendar,2010,23,MIZORAM,1313,1026,1211,1094,1046,1061,982,1141,921,917,1000,1064,12776
calendar,2010,24,NAGALAND,1372,1453,1834,1754,1931,1940,1819,1740,1619,1898,2030,1628,21018
calendar,2010,25,ODISHA,27940,28780,34350,30458,30840,31602,31972,32313,34866,35998,36928,35458,391505
calendar,2010,26,PUDUCHERRY,5699,5150,5710,5796,6063,5983,6109,6435,6390,5804,5680,5139,69958
calendar,2010,27,PUNJAB,34220,37356,36321,38994,39846,36838,40764,40065,49269,40857,44778,54551,493859
calendar,2010,28,RAJASTHAN,46155,53531,61081,55902,58784,65411,65451,58316,61262,69401,89106,82079,766479
calendar,2010,29,SIKKIM,402,395,445,361,491,447,483,601,525,506,519,474,5649
calendar,2010,30,TAMIL NADU,113056,120893,128062,113664,129683,110389,136263,135415,137238,127507,124250,105451,1481871
calendar,2010,31,TELANGANA,24519,30166,31093,27532,27978,34250,37885,35995,36931,37868,39761,37320,401298
calendar,2010,32,TRIPURA,1553,1998,2188,1814,1991,2146,2274,2424,2312,2461,2738,2481,26380
calendar,2010,33,UT OF DNH AND DD,1043,1012,1041,986,973,1072,1025,855,1031,1147,1141,1295,12621
calendar,2010,34,UTTARAKHAND,4390,14068,17636,11699,13040,14374,14246,12772,11970,11493,14348,12579,152615
calendar,2010,35,UTTAR PRADESH,123314,121652,134359,113310,144840,157291,141334,119528,99345,103865,158764,124044,1541646
calendar,2010,36,WEST BENGAL,37328,43771,46276,39478,44102,47358,45147,47138,49438,45477,54179,54696,554388
