yearType,year,serial,state,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2012,1,ANDAMAN & NICOBAR ISLAND,687,667,720,621,712,673,703,705,618,761,819,714,8400
calendar,2012,2,ANDHRA PRADESH,58503,65872,72297,66147,66214,66019,62448,61119,58846,53338,68517,55925,755245
calendar,2012,3,ARUNACHAL PRADESH,850,839,1041,1378,1322,1113,1088,1075,974,1039,926,840,12485
calendar,2012,4,ASSAM,16973,18709,19480,15691,16991,17741,16863,16830,17501,20461,20430,18004,215674
calendar,2012,5,BIHAR,37891,40935,50720,36075,46115,47248,37790,33892,33686,38937,58203,43384,504876
calendar,2012,6,CHANDIGARH,4483,4647,5001,4051,4468,3922,4055,4428,3726,3470,4144,5283,51678
calendar,2012,7,CHHATTISGARH,38473,31654,35764,28165,30950,20499,24644,25420,24469,25018,34379,43894,363329
calendar,2012,8,DELHI,45927,40090,40763,39016,36251,36343,37803,36482,34685,36974,52143,41746,478223
calendar,2012,9,GOA,7243,5984,7780,6753,5936,4978,5022,5479,7198,6713,6862,5419,75367
calendar,2012,10,GUJARAT,115312,131736,130245,110141,124970,115091,118549,108923,85969,104766,162588,125112,1433402
calendar,2012,11,HARYANA,54107,52930,58347,51196,55104,49578,54331,48999,44766,43057,50316,55136,617867
calendar,2012,12,HIMACHAL PRADESH,7174,7034,7578,8214,7806,6645,7849,7232,5836,5552,9951,9646,90517
calendar,2012,13,JAMMU AND KASHMIR,7082,7048,8733,8570,8805,8565,9860,9251,9590,8093,8776,8517,102890
calendar,2012,14,JHARKHAND,21763,24986,25760,22139,25665,22769,28572,25175,20752,22288,27304,35157,302330
calendar,2012,15,KARNATAKA,129256,121180,132879,106929,115443,118439,110797,113099,105549,103946,119665,92500,1369682
calendar,2012,16,KERALA,85647,66666,99086,69125,76256,82836,81577,77335,99039,81731,84185,73002,976485
calendar,2012,17,LADAKH,99,69,53,37,167,582,313,236,231,123,189,150,2249
calendar,2012,18,LAKSHADWEEP,138,200,147,101,181,108,100,87,123,69,131,117,1502
calendar,2012,19,MADHYA PRADESH,71715,74785,74941,73096,79422,76085,73465,58603,58977,59580,92339,116007,909015
calendar,2012,20,MAHARASHTRA,200081,167465,210828,153788,153035,145916,150461,149312,143592,179226,227069,170563,2051336
calendar,2012,21,MANIPUR,2041,2842,2518,2424,2329,2769,2549,2591,2333,2525,2310,1898,29129
calendar,2012,22,MEGHALAYA,2338,2443,2677,2076,1979,2197,2112,2171,1947,2166,2719,1674,26499
calendar,2012,23,MIZORAM,1302,1396,1404,1174,1513,1286,1458,1317,1055,1344,1268,1130,15647
calendar,2012,24,NAGALAND,1815,2058,2445,1998,2261,2303,2169,1973,1945,1897,2166,1705,24735
calendar,2012,25,ODISHA,33129,35915,40145,35343,36495,35940,34442,31352,27916,33131,48724,38642,431174
calendar,2012,26,PUDUCHERRY,7393,6476,6479,5738,5591,5546,5311,5591,4667,4775,4637,3754,65958
calendar,2012,27,PUNJAB,51609,74224,94143,63044,71541,66139,76699,93385,54810,58753,61541,73425,839313
calendar,2012,28,RAJASTHAN,78318,86818,89835,81684,91683,86870,92422,78995,69296,86928,115307,126959,1085115
calendar,2012,29,SIKKIM,713,1454,1717,1016,1107,731,551,542,480,415,475,358,9559
calendar,2012,30,TAMIL NADU,173930,185087,184995,149602,152392,164373,162340,153281,146977,143677,155791,117697,1890142
calendar,2012,31,TELANGANA,47876,41693,47900,42486,43406,43177,42021,41001,37775,36811,48155,41364,513665
calendar,2012,32,TRIPURA,2135,2407,2759,1740,2382,2413,2751,2527,2399,2511,3372,2483,29879
calendar,2012,33,UT OF DNH AND DD,1361,1239,1369,1175,1281,1248,1193,1095,1039,1244,1499,1513,15256
calendar,2012,34,UTTARAKHAND,15930,17107,18223,11855,18042,14959,15577,13859,11986,13751,24808,10269,186366
calendar,2012,35,UTTAR PRADESH,161005,153830,170152,175799,183479,173133,146519,132942,118365,136308,209211,143812,1904555
calendar,2012,36,WEST BENGAL,43928,47382,53934,53859,54578,52152,54358,62953,24628,46259,63726,68400,626157
