yearType,year,serial,state,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2026,1,ANDAMAN & NICOBAR ISLAND,1065,929,1131,948,881,406,,,,,,,5360
calendar,2026,2,ANDHRA PRADESH,71542,86704,100126,95277,83981,48771,,,,,,,486401
calendar,2026,3,ARUNACHAL PRADESH,3477,3396,3521,3843,3710,1732,,,,,,,19679
calendar,2026,4,ASSAM,54178,50355,58923,58483,55372,20440,,,,,,,297751
calendar,2026,5,BIHAR,119148,129250,141641,163508,145369,47810,,,,,,,746726
calendar,2026,6,CHANDIGARH,4826,4054,4945,4576,4117,1998,,,,,,,24516
calendar,2026,7,CHHATTISGARH,75196,64903,64057,51841,50350,19721,,,,,,,326068
calendar,2026,8,DELHI,85346,61258,70658,67984,69647,25790,,,,,,,380683
calendar,2026,9,GOA,8167,7348,9176,7080,6342,2928,,,,,,,41041
calendar,2026,10,GUJARAT,209443,174037,192053,164979,158414,64577,,,,,,,963503
calendar,2026,11,HARYANA,103674,87417,93053,92331,91325,35763,,,,,,,503563
calendar,2026,12,HIMACHAL PRADESH,15422,13172,13342,14117,13352,5845,,,,,,,75250
calendar,2026,13,JAMMU AND KASHMIR,14561,16652,20245,20123,19897,8364,,,,,,,99842
calendar,2026,14,JHARKHAND,58156,51449,63081,70914,61632,20731,,,,,,,325963
calendar,2026,15,KARNATAKA,196568,169333,202626,184741,172560,69656,,,,,,,995484
calendar,2026,16,KERALA,92319,80507,88696,80174,84130,35686,,,,,,,461512
calendar,2026,17,LADAKH,301,152,170,466,661,304,,,,,,,2054
calendar,2026,18,LAKSHADWEEP,94,150,128,100,126,49,,,,,,,647
calendar,2026,19,MADHYA PRADESH,163787,150619,171382,148712,133942,45245,,,,,,,813687
calendar,2026,20,MAHARASHTRA,342635,270974,332550,302069,252765,103866,,,,,,,1604859
calendar,2026,21,MANIPUR,3420,3736,4037,2833,4142,1854,,,,,,,20022
calendar,2026,22,MEGHALAYA,3811,3619,3832,3655,3984,2045,,,,,,,20946
calendar,2026,23,MIZORAM,3229,2480,3112,2821,3020,1465,,,,,,,16127
calendar,2026,24,NAGALAND,2900,2587,2710,2754,2356,1325,,,,,,,14632
calendar,2026,25,ODISHA,87224,84287,96493,88468,83204,31227,,,,,,,470903
calendar,2026,26,PUDUCHERRY,9384,7115,7742,6881,6573,3570,,,,,,,41265
calendar,2026,27,PUNJAB,82005,69052,71523,72366,67100,27155,,,,,,,389201
calendar,2026,28,RAJASTHAN,153415,128086,159953,150806,143939,48173,,,,,,,784372
calendar,2026,29,SIKKIM,1168,999,1117,1075,1104,526,,,,,,,5989
calendar,2026,30,TAMIL NADU,259454,236268,229164,214118,184387,107512,,,,,,,1230903
calendar,2026,31,TELANGANA,94872,85757,92287,82508,78428,27352,,,,,,,461204
calendar,2026,32,TRIPURA,4823,4745,4845,4377,4347,2071,,,,,,,25208
calendar,2026,33,UT OF DNH AND DD,2433,2409,2197,1837,1917,957,,,,,,,11750
calendar,2026,34,UTTARAKHAND,28388,22883,23155,27788,25745,10364,,,,,,,138323
calendar,2026,35,UTTAR PRADESH,368291,335840,366823,417378,408334,130353,,,,,,,2027019
calendar,2026,36,WEST BENGAL,121077,113743,118512,110939,118130,62551,,,,,,,644952
