yearType,year,serial,fuel,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2003,1,CNG ONLY,636,317,486,284,227,325,319,370,358,337,270,186,4115
calendar,2003,2,DIESEL,55271,52643,61472,48211,52667,54073,56936,54470,59907,62564,57616,55761,671591
calendar,2003,3,DIESEL/HYBRID,5,0,0,2,2,2,4,6,11,8,1,10,51
calendar,2003,4,ELECTRIC(BOV),79,94,148,79,86,69,52,57,46,47,28,34,819
calendar,2003,5,ETHANOL(E100),1,0,0,0,0,0,0,0,3,8,0,1,13
calendar,2003,6,LPG ONLY,59,58,71,42,50,45,50,49,62,54,54,67,661
calendar,2003,7,METHANOL,0,0,1,2,0,0,0,0,0,0,0,0,3
calendar,2003,8,NOT APPLICABLE,3974,3533,4058,3471,3293,4029,3780,3024,3873,3252,3311,4239,43837
calendar,2003,9,PETROL,276103,258844,267603,249213,281603,285306,292372,279944,276616,336484,314070,255698,3373856
calendar,2003,10,PETROL/CNG,4289,3669,4063,3234,3431,3425,4259,4052,4339,5376,4652,4315,49104
calendar,2003,11,PETROL(E20),1,0,1,0,1,1,2,1,0,0,0,0,7
calendar,2003,12,PETROL(E20)/LPG,0,0,0,1,0,0,0,0,0,0,0,0,1
calendar,2003,13,PETROL/HYBRID,0,0,0,0,1,1,1,0,0,0,1,0,4
calendar,2003,14,PETROL/LPG,4689,4210,4731,3631,4290,3814,4939,4269,4421,5035,4355,4350,52734
calendar,2003,15,PURE EV,0,1,0,0,0,0,0,1,0,0,0,0,2
calendar,2003,16,SOLAR,3,0,5,2,1,3,1,2,1,3,2,2,25
