yearType,year,serial,vehicle_class,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2026,1,ADAPTED VEHICLE,2955,5617,2184,1499,945,489,,,,,,,13689
calendar,2026,2,AGRICULTURAL TRACTOR,109222,84424,77646,71027,75948,37947,,,,,,,456214
calendar,2026,3,AMBULANCE,1269,1226,1118,1391,949,631,,,,,,,6584
calendar,2026,4,ANIMAL AMBULANCE,12,15,18,13,14,3,,,,,,,75
calendar,2026,5,ARMOURED/SPECIALISED VEHICLE,27,32,116,33,18,38,,,,,,,264
calendar,2026,6,ARTICULATED VEHICLE,3843,3831,4028,3893,2936,1302,,,,,,,19833
calendar,2026,7,AUXILIARY TRAILER,5,46,101,59,82,109,,,,,,,402
calendar,2026,8,BREAKDOWN VAN,5,2,2,1,46,0,,,,,,,56
calendar,2026,9,BUS,4824,6421,6372,6897,6378,3944,,,,,,,34836
calendar,2026,10,CAMPER VAN / TRAILER,31,25,21,26,15,16,,,,,,,134
calendar,2026,11,CAMPER VAN / TRAILER (PRIVATE USE),70,86,80,85,93,39,,,,,,,453
calendar,2026,12,CASH VAN,126,79,128,106,102,52,,,,,,,593
calendar,2026,13,CONSTRUCTION EQUIPMENT VEHICLE,4754,4809,5019,4541,3486,1609,,,,,,,24218
calendar,2026,14,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),577,516,576,555,494,171,,,,,,,2889
calendar,2026,15,CRANE MOUNTED VEHICLE,742,673,694,698,553,279,,,,,,,3639
calendar,2026,16,DUMPER,1197,1146,1200,971,764,338,,,,,,,5616
calendar,2026,17,EARTH MOVING EQUIPMENT,524,508,543,474,333,152,,,,,,,2534
calendar,2026,18,EDUCATIONAL INSTITUTION BUS,952,1587,2354,3298,3252,2138,,,,,,,13581
calendar,2026,19,E-RICKSHAW(P),44448,34844,28941,28140,29809,13541,,,,,,,179723
calendar,2026,20,E-RICKSHAW WITH CART (G),7656,7273,7430,7748,7486,3176,,,,,,,40769
calendar,2026,21,EXCAVATOR (COMMERCIAL),6,12,12,13,4,1,,,,,,,48
