yearType,year,serial,vehicle_class,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2024,1,ADAPTED VEHICLE,1213,2892,3552,1724,1278,1122,1973,1281,874,1108,1194,1733,19944
calendar,2024,2,AGRICULTURAL TRACTOR,84791,72347,73869,52815,65760,67287,74846,61203,58619,58821,75400,94376,840134
calendar,2024,3,AMBULANCE,840,1631,1051,893,827,777,920,938,925,1130,1343,1289,12564
calendar,2024,4,ANIMAL AMBULANCE,24,20,11,2,14,8,6,11,4,9,14,8,131
calendar,2024,5,ARMOURED/SPECIALISED VEHICLE,31,9,69,25,8,20,20,31,10,1,1,0,225
calendar,2024,6,ARTICULATED VEHICLE,2971,2636,2883,3124,2471,2001,2763,2016,2261,3191,2722,2378,31417
calendar,2024,7,AUXILIARY TRAILER,0,0,0,0,0,0,1,0,0,2,0,0,3
calendar,2024,8,BREAKDOWN VAN,2,4,5,0,2,1,2,0,2,0,2,2,22
calendar,2024,9,BULLDOZER,0,0,0,0,0,0,0,0,0,0,0,1,1
calendar,2024,10,BUS,5078,6006,6901,6828,7019,6215,6679,5496,5550,6534,4721,4718,71745
calendar,2024,11,CAMPER VAN / TRAILER,91,53,57,40,35,27,36,54,37,36,33,44,543
calendar,2024,12,CAMPER VAN / TRAILER (PRIVATE USE),64,84,57,81,60,82,62,62,56,60,60,51,779
calendar,2024,13,CASH VAN,80,83,32,24,30,50,66,145,21,14,20,20,585
calendar,2024,14,CONSTRUCTION EQUIPMENT VEHICLE,4313,4615,4822,4307,3852,3329,3316,3087,3247,4725,4101,4346,48060
calendar,2024,15,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),840,798,897,958,748,676,538,573,716,1049,820,811,9424
calendar,2024,16,CRANE MOUNTED VEHICLE,864,884,926,857,794,748,757,702,659,775,640,740,9346
calendar,2024,17,DUMPER,1289,1306,1317,1223,1071,841,789,506,707,1303,1228,941,12521
calendar,2024,18,EARTH MOVING EQUIPMENT,626,740,745,620,557,564,519,484,496,876,539,607,7373
calendar,2024,19,EDUCATIONAL INSTITUTION BUS,963,1243,1683,2369,3389,5243,4367,2821,2033,1493,1029,936,27569
calendar,2024,20,E-RICKSHAW(P),40534,36544,37360,31814,39499,37964,44459,44347,44043,43973,40363,40833,481733
calendar,2024,21,E-RICKSHAW WITH CART (G),3749,4445,5094,4215,5534,4612,5189,4401,4570,5915,5439,5835,58998
calendar,2024,22,EXCAVATOR (COMMERCIAL),6,10,15,10,14,2,4,7,6,7,4,2,87
calendar,2024,23,EXCAVATOR (NT),608,588,603,587,462,381,318,333,520,1031,734,816,6981
calendar,2024,24,FIRE FIGHTING VEHICLE,27,21,55,22,22,86,31,68,28,12,75,61,508
