yearType,year,serial,fuel,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2014,1,BIO-CNG/BIO-GAS,0,0,0,0,0,0,1,0,1,0,0,0,2
calendar,2014,2,CNG ONLY,2131,1680,2077,1779,1786,1713,2024,2163,2467,2483,2348,1530,24181
calendar,2014,3,DIESEL,279657,227483,267296,229891,244739,245264,262674,228870,240485,228426,263261,238141,2956187
calendar,2014,4,DIESEL/HYBRID,3,3,3,3,6,2,2,2,2,2,7,3,38
calendar,2014,5,DUAL DIESEL/CNG,0,0,1,1,0,0,0,1,0,0,1,0,4
calendar,2014,6,ELECTRIC(BOV),235,173,219,242,190,142,201,180,169,182,212,231,2376
calendar,2014,7,ETHANOL(E100),0,1,1,0,2,0,1,0,0,1,1,0,7
calendar,2014,8,FLEX-FUEL(BIO-DIESEL),0,0,0,1,0,0,0,0,0,0,0,0,1
calendar,2014,9,FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,1,1
calendar,2014,10,LNG,0,0,0,0,0,0,0,0,1,0,1,0,2
calendar,2014,11,LPG ONLY,189,115,105,121,103,96,191,148,167,155,142,153,1685
calendar,2014,12,METHANOL,0,0,1,0,0,0,0,0,0,0,0,0,1
calendar,2014,13,NOT APPLICABLE,10987,9895,12411,9246,10431,10411,11556,14778,9457,7834,10758,10176,127940
calendar,2014,14,PETROL,1393141,1217040,1373923,1340045,1447592,1385227,1399970,1246198,1328475,1508620,1661458,1261734,16563423
calendar,2014,15,PETROL/CNG,21558,15933,19598,20627,21625,22264,23819,20531,22426,26579,22602,20021,257583
calendar,2014,16,PETROL(E20),8,3,3,3,4,2,6,2,5,10,6,6,58
calendar,2014,17,PETROL(E20)/CNG,2,0,0,0,1,0,0,1,0,0,2,0,6
calendar,2014,18,PETROL(E20)/LPG,0,1,0,1,0,0,0,1,0,0,0,0,3
calendar,2014,19,PETROL/HYBRID,0,1,0,0,1,2,1,1,1,1,0,0,8
calendar,2014,20,PETROL/LPG,6673,5117,5853,5823,6603,7596,8943,8425,8949,8254,7823,6250,86309
calendar,2014,21,PURE EV,0,0,2,0,0,0,0,2,0,0,1,0,5
calendar,2014,22,SOLAR,8,15,14,18,14,14,21,3,7,12,16,9,151
