yearType,year,serial,vehicle_class,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2009,1,ADAPTED VEHICLE,50,42,64,64,62,92,97,65,147,93,96,163,1035
calendar,2009,2,AGRICULTURAL TRACTOR,18636,18342,21274,15756,17442,21743,21841,17309,17131,19216,22032,21096,231818
calendar,2009,3,AMBULANCE,280,479,433,324,395,437,483,541,487,604,553,467,5483
calendar,2009,4,ANIMAL AMBULANCE,0,3,2,1,1,0,1,0,1,0,0,0,9
calendar,2009,5,ARMOURED/SPECIALISED VEHICLE,2,0,0,0,0,0,0,0,0,1,2,0,5
calendar,2009,6,ARTICULATED VEHICLE,142,230,419,355,273,321,525,605,765,722,749,636,5742
calendar,2009,7,AUXILIARY TRAILER,1,2,3,2,3,0,3,0,3,0,2,0,19
calendar,2009,8,BREAKDOWN VAN,3,2,4,1,1,1,0,3,2,0,3,4,24
calendar,2009,9,BULLDOZER,2,0,1,2,5,5,4,1,2,8,1,1,32
calendar,2009,10,BUS,2864,2746,3743,3738,3589,4209,4295,3805,3707,4409,3886,4280,45271
calendar,2009,11,CAMPER VAN / TRAILER,11,11,12,9,10,10,14,4,6,5,12,11,115
calendar,2009,12,CAMPER VAN / TRAILER (PRIVATE USE),97,132,142,100,86,100,112,43,45,40,31,26,954
calendar,2009,13,CASH VAN,9,39,28,13,11,17,12,13,27,19,5,14,207
calendar,2009,14,CONSTRUCTION EQUIPMENT VEHICLE,231,309,305,219,250,293,279,265,322,344,340,350,3507
calendar,2009,15,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),6,8,4,9,9,5,10,7,11,9,6,7,91
calendar,2009,16,CRANE MOUNTED VEHICLE,270,298,309,268,302,306,389,343,321,362,323,355,3846
calendar,2009,17,DUMPER,108,123,144,115,100,113,143,82,174,165,216,186,1669
calendar,2009,18,EARTH MOVING EQUIPMENT,296,401,488,406,413,416,535,456,522,435,461,545,5374
calendar,2009,19,EDUCATIONAL INSTITUTION BUS,329,333,651,679,944,2038,1838,1217,1070,865,678,531,11173
calendar,2009,20,E-RICKSHAW(P),10,6,4,4,1,4,2,6,7,9,7,1,61
