yearType,year,serial,vehicle_class,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
calendar,2016,1,ADAPTED VEHICLE,629,954,796,799,737,761,802,619,649,718,642,886,8992
calendar,2016,2,AGRICULTURAL TRACTOR,34429,34623,36371,29870,36944,38641,35782,30123,28756,32211,39756,43032,420538
calendar,2016,3,AMBULANCE,897,987,1038,745,854,805,760,891,866,845,996,925,10609
calendar,2016,4,ANIMAL AMBULANCE,1,4,1,4,4,2,1,1,4,4,2,4,32
calendar,2016,5,ARTICULATED VEHICLE,1790,2212,2839,1913,1798,2310,1184,984,1556,2001,1760,1293,21640
calendar,2016,6,AUXILIARY TRAILER,2,0,0,0,0,2,0,0,0,0,0,0,4
calendar,2016,7,BREAKDOWN VAN,1,2,6,2,3,3,4,3,7,5,2,5,43
calendar,2016,8,BULLDOZER,1,0,0,1,0,0,0,0,1,0,1,0,4
calendar,2016,9,BUS,3991,4451,5279,5248,6060,6855,5616,5746,5748,5736,4285,4835,63850
calendar,2016,10,CAMPER VAN / TRAILER,15,16,19,16,17,17,19,13,12,18,12,8,182
calendar,2016,11,CAMPER VAN / TRAILER (PRIVATE USE),22,38,33,27,34,42,45,35,34,35,35,32,412
calendar,2016,12,CASH VAN,40,20,34,33,34,26,40,36,39,36,16,12,366
calendar,2016,13,CONSTRUCTION EQUIPMENT VEHICLE,695,611,775,643,754,843,757,738,741,738,765,759,8819
calendar,2016,14,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),26,50,43,37,46,25,15,16,18,28,37,38,379
calendar,2016,15,CRANE MOUNTED VEHICLE,307,290,314,279,361,326,327,312,352,328,349,329,3874
calendar,2016,16,DUMPER,374,482,495,350,345,267,187,241,367,427,452,425,4412
calendar,2016,17,EARTH MOVING EQUIPMENT,823,950,1141,947,925,954,944,854,908,849,955,825,11075
calendar,2016,18,EDUCATIONAL INSTITUTION BUS,520,704,1142,1229,2221,4143,2621,1963,1493,955,742,676,18409
calendar,2016,19,E-RICKSHAW(P),1657,2224,4232,3207,3822,4844,4125,3817,3974,6033,4556,4249,46740
calendar,2016,20,E-RICKSHAW WITH CART (G),8,8,10,7,14,15,15,18,22,29,17,59,222
calendar,2016,21,EXCAVATOR (COMMERCIAL),374,423,488,377,454,401,344,296,329,366,454,408,4714
calendar,2016,22,EXCAVATOR (NT),604,504,524,442,470,487,446,405,429,516,605,655,6087
calendar,2016,23,FIRE FIGHTING VEHICLE,17,56,59,24,25,41,28,24,22,50,16,27,389
calendar,2016,24,FIRE TENDERS,18,1,9,8,15,8,3,1,3,3,5,3,77
calendar,2016,25,FORK LIFT,41,61,65,38,61,72,54,64,66,60,48,46,676
