station_id,station_name,year,frequency,source_filepath,bytes,rows,first_timestamp,last_timestamp,pm25_non_missing_rows,pm10_non_missing_rows
site_307,"Sanjay Palace, Agra - UPPCB",2025,15M,/Raw_data/15Min/2025/site_307_Sanjay_Palace_Agra_UPPCB_15Min.csv,4957057,35040,2025-01-01 00:00:00,2025-12-31 23:45:00,30888,30679
site_307,"Sanjay Palace, Agra - UPPCB",2025,1H,/Raw_data/1Hr/2025/site_307_Sanjay_Palace_Agra_UPPCB_1Hr.csv,1248658,8760,2025-01-01 00:00:00,2025-12-31 23:00:00,8131,7987
site_307,"Sanjay Palace, Agra - UPPCB",2025,8H,/Raw_data/8Hrs/2025/site_307_Sanjay_Palace_Agra_UPPCB_8Hrs.csv,157358,1095,2025-01-01 00:00:00,2025-12-31 16:00:00,1068,1067
site_307,"Sanjay Palace, Agra - UPPCB",2025,1D,/Raw_data/1Day/2025/site_307_Sanjay_Palace_Agra_UPPCB_1Day.csv,53062,365,2025-01-01 00:00:00,2025-12-31 00:00:00,359,359
