station_id,station_name,city,frequency,listed_files,first_year,last_year,status
site_5714,"Railway Colony, Barmer - RSPCB",Barmer,15M,4,2017,2025,success
site_5959,"SVSPA Campus, Barrackpore - WBPCB",Barrackpore,15M,3,2023,2025,success
site_1549,"Hardev Nagar, Bathinda - PPCB",Bathinda,15M,9,2017,2025,success
site_6071,"Bir, Beed - MPCB",Beed,15M,0,,,success
site_5540,"Lohiyanagar, Begusarai - BSPCB",Begusarai,15M,1,2025,2025,success
site_5432,"Ramteerth Nagar, Belgaum - KSPCB",Belagavi,15M,9,2017,2025,success
site_162,"BTM Layout, Bengaluru - CPCB",Bengaluru,15M,17,2009,2025,success
site_164,"BWSSB Kadabesanahalli, Bengaluru - CPCB",Bengaluru,15M,16,2009,2025,success
site_1553,"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,15M,9,2017,2025,success
site_165,"City Railway Station, Bengaluru - KSPCB",Bengaluru,15M,11,2015,2025,success
site_1554,"Hebbal, Bengaluru - KSPCB",Bengaluru,15M,9,2017,2025,success
site_1555,"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,15M,9,2017,2025,success
site_1556,"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,15M,9,2017,2025,success
site_5681,"Kasturi Nagar, Bengaluru - KSPCB",Bengaluru,15M,6,2017,2025,success
site_163,"Peenya, Bengaluru - CPCB",Bengaluru,15M,17,2009,2025,success
site_5678,"RVCE-Mailasandra, Bengaluru - KSPCB",Bengaluru,15M,6,2017,2025,success
site_166,"Sanegurava Halli, Bengaluru - KSPCB",Bengaluru,15M,11,2015,2025,success
site_5686,"Shivapura_Peenya, Bengaluru - KSPCB",Bengaluru,15M,6,2017,2025,success
site_1558,"Silk Board, Bengaluru - KSPCB",Bengaluru,15M,9,2017,2025,success
site_5476,"Kamalnath Nagar, Bettiah - BSPCB",Bettiah,15M,9,2017,2025,success
site_5543,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",Bhagalpur,15M,9,2017,2025,success
site_5695,"Krishna Nagar, Bharatpur - RSPCB",Bharatpur,15M,6,2017,2025,success
site_6064,"Vidhyanagar, Bhavnagar - Nexteng Enviro",Bhavnagar,15M,0,,,success
site_5660,"32Bungalows, Bhilai - CECB",Bhilai,15M,9,2017,2025,success
site_5536,"Civic Center, Bhilai - Bhilai Steel Plant",Bhilai,15M,9,2017,2025,success
site_5770,"Pratap Nagar, Bhilwara - RSPCB",Bhilwara,15M,4,2017,2025,success
site_1391,"RIICO Ind. Area III, Bhiwadi - RSPCB",Bhiwadi,15M,9,2017,2025,success
site_5982,"Vasundhara Nagar_UIT, Bhiwadi - RSPCB",Bhiwadi,15M,2,2024,2025,success
site_5813,"Gokul Nagar, Bhiwandi - MPCB",Bhiwandi,15M,4,2017,2025,success
site_5047,"H.B. Colony, Bhiwani - HSPCB",Bhiwani,15M,9,2017,2025,success
site_5708,"Idgah Hills, Bhopal - MPPCB",Bhopal,15M,4,2017,2025,success
site_5650,"Paryavaran Parisar, Bhopal - MPPCB",Bhopal,15M,9,2017,2025,success
site_1403,"Sector-D Industrial Area, Mandideep - MPPCB",Bhopal,15M,9,2017,2025,success
site_5247,"T T Nagar, Bhopal - MPPCB",Bhopal,15M,9,2017,2025,success
site_5940,"Lingraj Mandir, Bhubaneswar - OSPCB",Bhubaneswar,15M,3,2023,2025,success
site_5943,"Patia, Bhubaneswar - OSPCB",Bhubaneswar,15M,3,2023,2025,success
site_5418,"Naubad, Bidar - KSPCB",Bidar,15M,9,2017,2025,success
site_5481,"D M Colony, Bihar Sharif - BSPCB",Bihar Sharif,15M,9,2017,2025,success
site_5696,"MM Ground, Bikaner - RSPCB",Bikaner,15M,6,2017,2025,success
site_5689,"Nawapara SECL Colony, Chhal - CECB",Bilaspur Division,15M,6,2017,2025,success
site_1542,"Yamunapuram, Bulandshahr - UPPCB",Bulandshahr,15M,9,2017,2025,success
site_5771,"New Colony, Bundi - RSPCB",Bundi,15M,4,2017,2025,success
site_5542,"Charitra Van, Buxar - BSPCB",Buxar,15M,1,2025,2025,success
site_5942,"Ferro Chrome Colony, Byasanagar - OSPCB",Byasanagar,15M,3,2023,2025,success
site_5999,"15th Mile-Nongthymmai, Byrnihat - Meghalaya PCB",Byrnihat,15M,0,,,success
site_5491,"Sector 22, Chandigarh - CPCC",Chandigarh,15M,9,2017,2025,success
site_5127,"Sector-25, Chandigarh - CPCC",Chandigarh,15M,9,2017,2025,success
site_5582,"Sector-53, Chandigarh - CPCC",Chandigarh,15M,9,2017,2025,success
site_271,"Chauhan Colony, Chandrapur - MPCB",Chandrapur,15M,4,2017,2025,success
site_5545,"Darshan Nagar, Chhapra - BSPCB",Chapra,15M,9,2017,2025,success
site_5339,"Mini Secretariat, Charkhi Dadri - HSPCB",Charkhi Dadri,15M,9,2017,2025,success
site_5659,"Hathkhoj, Bhilai - CECB",Charoda,15M,9,2017,2025,success
site_5556,"Eco Herbal Park, Moradabad - UPPCB",Chaudharpur,15M,9,2017,2025,success
site_5361,"Arumbakkam, Chennai - TNPCB",Chennai,15M,9,2017,2025,success
site_5365,"Kodungaiyur, Chennai - TNPCB",Chennai,15M,9,2017,2025,success
site_5092,"Manali Village, Chennai - TNPCB",Chennai,15M,9,2017,2025,success
site_5363,"Perungudi, Chennai - TNPCB",Chennai,15M,9,2017,2025,success
site_5364,"Royapuram, Chennai - TNPCB",Chennai,15M,9,2017,2025,success
site_288,"Velachery Res. Area, Chennai - CPCB",Chennai,15M,17,2009,2025,success
site_5788,"MIDC Chilkalthana, Aurangabad - MPCB",Chhatrapati Sambhajinagar,15M,4,2017,2025,success
site_5789,"Rachnakar Colony, Aurangabad - MPCB",Chhatrapati Sambhajinagar,15M,4,2017,2025,success
site_295,"MIDC Khutala, Chandrapur - MPCB",Chichala,15M,10,2016,2025,success
site_1557,"Chikkaballapur Rural, Chikkaballapur - KSPCB",Chikkaballapur,15M,9,2017,2025,success
site_5265,"Kalyana Nagara, Chikkamagaluru - KSPCB",Chikkamagaluru,15M,9,2017,2025,success
site_5665,"Gangineni Cheruvu, Chittoor - APPCB",Chittoor,15M,6,2017,2025,success
site_5712,"Shastri Nagar, Chittorgarh - RSPCB",Chittorgarh,15M,4,2017,2025,success
site_5699,"Subash Chowk, Churu - RSPCB",Churu,15M,4,2017,2025,success
site_5623,"PSG College of Arts and Science, Coimbatore - TNPCB",Coimbatore,15M,9,2017,2025,success
site_5094,"SIDCO Kurichi, Coimbatore - TNPCB",Coimbatore,15M,9,2017,2025,success
site_5941,"CDA Area, Cuttack - OSPCB",Cuttack,15M,3,2023,2025,success
site_5040,"Shrivastav Colony, Damoh - MPPCB",Damoh,15M,9,2017,2025,success
site_5477,"Town Hall - Lal Bagh, Darbhanga - BSPCB",Darbhanga,15M,9,2017,2025,success
site_5713,"Khatikan Mohalla, Dausa - RSPCB",Dausa,15M,4,2017,2025,success
site_5422,"Devaraj Urs Badavane, Davanagere - KSPCB",Davangere,15M,9,2017,2025,success
site_5594,"Doon University, Dehradun - UKPCB",Dehradun,15M,9,2017,2025,success
site_5024,"Alipur, Delhi - DPCC",Delhi,15M,9,2017,2025,success
site_301,"Anand Vihar, Delhi - DPCC",Delhi,15M,17,2009,2025,success
site_1420,"Ashok Vihar, Delhi - DPCC",Delhi,15M,9,2017,2025,success
site_1560,"Bawana, Delhi - DPCC",Delhi,15M,9,2017,2025,success
site_104,"Burari Crossing, Delhi - IITM",Delhi,15M,9,2017,2025,success
site_5393,"Chandni Chowk, Delhi - IITM",Delhi,15M,9,2017,2025,success
site_1422,"Dwarka-Sector 8, Delhi - DPCC",Delhi,15M,0,,,success
site_1423,"Jahangirpuri, Delhi - DPCC",Delhi,15M,9,2017,2025,success
site_6077,"NSUT Jaffarpur, Delhi - DPCC",Delhi,15M,0,,,success
site_1427,"Najafgarh, Delhi - DPCC",Delhi,15M,9,2017,2025,success
site_1426,"Narela, Delhi - DPCC",Delhi,15M,9,2017,2025,success
site_1431,"Patparganj, Delhi - DPCC",Delhi,15M,9,2017,2025,success
site_125,"Punjabi Bagh, Delhi - DPCC",Delhi,15M,17,2009,2025,success
site_1563,"Pusa, Delhi - DPCC",Delhi,15M,9,2017,2025,success
site_1430,"Rohini, Delhi - DPCC",Delhi,15M,9,2017,2025,success
site_1434,"Wazirpur, Delhi - DPCC",Delhi,15M,9,2017,2025,success
site_1404,"Bhopal Chauraha, Dewas - MPPCB",Dewas,15M,9,2017,2025,success
site_6094,"Pali Dungra, Mathura - UPPCB",Dhakpura,15M,0,,,success
site_5827,"Kalakusuma, Dhanbad - DMC",Dhanbad,15M,4,2017,2025,success
site_5710,"Sardar Patel Nagar, Dhanbad - JSPCB",Dhanbad,15M,4,2017,2025,success
site_5044,"Municipal Corporation Office, Dharuhera -  HSPCB",Dharuhera,15M,9,2017,2025,success
site_5718,"Dhoinda, Rajsamand - RSPCB",Dhoinda,15M,4,2017,2025,success
site_5700,"Raja Ganj, Dholpur - RSPCB",Dholpur,15M,4,2017,2025,success
site_5801,"Deopur, Dhule - MPCB",Dhule,15M,4,2017,2025,success
site_5608,"Mendonsa Colony, Dindigul - TNPCB",Dindigul,15M,9,2017,2025,success
site_5250,"Gole Bazar, Katni - MPPCB",Diwari,15M,9,2017,2025,success
site_5850,"Bhoiwada, Dungarpur - RSPCB",Dungarpur,15M,3,2023,2025,success
site_6008,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",Durgapur,15M,2,2024,2025,success
site_5983,"PCBL Residential Complex, Durgapur - WBPCB",Durgapur,15M,2,2024,2025,success
site_299,"Womens College_City Center, Durgapur - WBPCB",Durgapur,15M,0,,,success
site_6086,"District Court, Eluru - APPCB",Eluru,15M,0,,,success
site_5618,"Gandhi Nagar_Ennore, Chennai - TNPCB",Ennore,15M,9,2017,2025,success
site_5105,"Udyogamandal, Eloor - Kerala PCB",Ernakulam,15M,9,2017,2025,success
site_5270,"Vyttila, Kochi - Kerala PCB",Ernakulam,15M,9,2017,2025,success
site_5128,"Gomti Nagar, Lucknow - UPPCB",Ext,15M,9,2017,2025,success
site_5060,"Nathu Colony, Ballabgarh - HSPCB",Faridabad,15M,9,2017,2025,success
site_5340,"New Industrial Town, Faridabad - HSPCB",Faridabad,15M,9,2017,2025,success
site_5342,"Sector 11, Faridabad - HSPCB",Faridabad,15M,9,2017,2025,success
site_5341,"Sector 30, Faridabad - HSPCB",Faridabad,15M,9,2017,2025,success
site_263,"Sector- 16A, Faridabad - HSPCB",Faridabad,15M,17,2009,2025,success
site_5054,"Huda Sector, Fatehabad - HSPCB",Fatehabad,15M,9,2017,2025,success
site_255,"RIMT University, Mandi Gobindgarh - PPCB",Fatehgarh Sahib,15M,9,2017,2025,success
site_6096,"Dadupura, Fatehpur Sikri - UPPCB",Fatehpur Sikri,15M,0,,,success
site_5480,"Nagla Bhau, Firozabad - UPPCB",Firozabad,15M,9,2017,2025,success
site_5584,"Vibhab Nagar, Firozabad - UPPCB",Firozabad,15M,9,2017,2025,success
site_5419,"Panchal Nagar, Gadag - KSPCB",Gadag-Betageri,15M,9,2017,2025,success
site_5458,"GIFT City, Gandhinagar - IITM",Gandhinagar,15M,9,2017,2025,success
site_5066,"Sector-10, Gandhinagar - GPCB",Gandhinagar,15M,9,2017,2025,success
site_5590,"Zero Point GICI, Gangtok - SSPCB",Gangtok,15M,9,2017,2025,success
site_159,"Collectorate, Gaya - BSPCB",Gaya,15M,11,2015,2025,success
site_5548,"Kareemganj, Gaya - BSPCB",Gaya,15M,9,2017,2025,success
site_5657,"Urja Nagar, Korba - CECB",Gevra,15M,9,2017,2025,success
site_6088,"Govindpuram, Ghaziabad - UPPCB",Ghaziabad,15M,0,,,success
